date,CARLYON SECURITIES LTD,EVERBRIGHT SECURITIES INVESTMENT,UOB KAY HIAN (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,MIB SECURITIES (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,DBS VICKERS (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,DBS BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,84.80551288667095,0.0,0.0,0.0,0.0,0.0,15.194487113329041,0.0
2024-03-04,0.0,0.0,85.0217679044143,0.0,0.0,0.0,0.0,0.0,14.978232095585698,0.0
2024-03-05,0.0,0.0,84.83935733512133,0.0,0.0,0.0,0.0,0.0,15.160642664878669,0.0
2024-03-06,0.0,0.0,40.40108950725519,50.53916119819437,0.0,1.9266481756246914,0.0,0.0,7.133101118925747,0.0
2024-03-07,0.0,0.0,40.47238810005093,50.452859480049106,0.0,1.95610546401721,0.0,0.0,7.11864695588276,0.0
2024-03-08,0.0,0.0,40.51747387961669,50.3041242204561,0.0,2.078154360169062,0.0,0.0,7.1002475397581515,0.0
2024-03-11,0.0,0.0,40.4100836845403,50.28808161209331,0.0,2.158766972599506,0.0,0.0,7.143067730766885,0.0
2024-03-12,0.0,0.0,40.48471593890533,50.215341680239334,0.0,2.197946121883319,0.0,0.0,7.101996258972014,0.0
2024-03-13,0.0,0.0,40.51155000429914,50.12700941021032,0.0,2.1950255903386635,0.0,0.0,7.166414995151871,0.0
2024-03-14,0.0,0.0,40.49885555559648,50.16527414422649,0.0,2.1956487411693053,0.0,0.0,7.140221559007727,0.0
2024-03-15,0.0,0.0,40.50604265122627,50.1338439177443,0.0,2.1960383901422387,0.0,0.0,7.1640750408872,0.0
2024-03-18,0.0,0.0,37.681241840416625,46.582092110669294,0.0,2.0476941510707474,0.0,0.0,6.6301001079385,7.058871789904833
2024-03-19,0.0,50.81746679259918,18.56827676383671,22.878961994666483,0.0,1.0078429661525845,0.0,0.0,3.245798714741831,3.481652768003219
2024-03-20,0.0,50.83958594383584,18.568968989398606,22.816351361400553,0.0,1.0489262454102355,0.0,0.0,3.235609317379942,3.490558142574825
2024-03-21,0.0,50.84274202673428,18.56273135108548,22.78975822094896,0.0,1.1155048342505296,0.0,0.0,3.197010656044319,3.492252910936433
2024-03-22,0.0,50.88109718247603,18.57673485332753,22.735653477321907,0.0,1.1163463577392876,0.0,0.0,3.195280704422628,3.4948874247126205
2024-03-25,0.0,50.90681246038946,18.549125029961104,22.74714406380859,0.0,1.1169105585609396,0.0,0.0,3.1833541484274726,3.4966537388524346
2024-03-26,0.0,50.97776756737291,18.574979234680256,22.667699373476967,0.0,1.122024140797695,0.0,0.0,3.1560022269785764,3.501527456693586
2024-03-27,0.0,50.96877879993319,18.593930079139184,22.63910553664315,0.0,1.1218262974133204,0.0,0.0,3.1754492447387426,3.500910042132416
2024-03-28,0.0,50.96745718972148,18.630490512882403,22.637407232058578,0.0,1.121797208682428,0.0,0.0,3.1420285924179296,3.500819264237185
2024-04-02,0.0,50.94933916257892,18.653491226024865,22.608623569772742,0.0,1.1213984296693864,0.0,0.0,3.1668322388267667,3.50031537312732
2024-04-03,0.0,50.963908061494124,18.651417169952055,22.612273437680564,0.0,1.1217190921280964,0.0,0.0,3.149365954876293,3.5013162838688654
2024-04-05,0.0,50.96398356971415,18.62551677170284,22.60445445030749,0.0,1.121720754069169,0.0,0.0,3.1830029827808284,3.5013214714255185
2024-04-08,0.0,50.95896276032581,18.619978205398883,22.600820148344532,0.0,1.1216102457121166,0.0,0.0,3.160615710870259,3.5380129293484037
2024-04-09,0.0,48.32208978865392,17.630849343951407,21.41132169939321,0.0,1.0635724917731542,5.198173677596357,0.0,3.0190546485426,3.3549383500893497
2024-04-10,0.0,48.322594201913866,17.61703647450006,21.38245750422082,0.0,1.063586685954434,5.198243051165226,0.0,3.0365146665797873,3.379567415665806
2024-04-11,0.0,48.308546219346994,17.61191498163816,21.36381234333163,0.0,1.0632774880011906,5.19673185688919,0.0,3.0677226423552812,3.3879944684375536
