date,HANG SENG SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,CHINA MERCHANTS SECURITIES (HK) CO LTD,MERRILL LYNCH FAR EAST LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG)
2024-03-06,0.0,0.0,100.0,0.0,0.0
2024-03-26,0.0,0.0,100.0,0.0,0.0
2024-03-27,0.0,0.0,100.0,0.0,0.0
2024-04-15,0.0,0.0,100.0,0.0,0.0
2024-05-06,0.0,0.0,100.0,0.0,0.0
2024-05-07,38.46153846153847,0.0,61.53846153846154,0.0,0.0
2024-05-08,62.5,0.0,37.5,0.0,0.0
2024-07-29,36.809815950920246,36.809815950920246,26.380368098159508,0.0,0.0
2024-07-30,26.905829596412556,26.905829596412556,46.18834080717489,0.0,0.0
2024-08-05,34.68208092485549,34.68208092485549,30.63583815028902,0.0,0.0
2024-08-06,20.477815699658702,20.477815699658702,59.044368600682596,0.0,0.0
2024-08-13,16.997167138810198,16.997167138810198,66.0056657223796,0.0,0.0
2024-09-13,16.216216216216218,16.216216216216218,67.56756756756756,0.0,0.0
2024-09-16,19.35483870967742,19.35483870967742,61.29032258064516,0.0,0.0
2024-09-23,31.57894736842105,31.57894736842105,36.84210526315789,0.0,0.0
2024-09-26,24.0,24.0,52.0,0.0,0.0
2024-09-30,19.35483870967742,19.35483870967742,61.29032258064516,0.0,0.0
2024-10-10,28.57142857142857,28.57142857142857,42.857142857142854,0.0,0.0
2024-10-22,22.22222222222222,22.22222222222222,54.81481481481482,0.7407407407407408,0.0
2024-10-30,18.12688821752266,18.12688821752266,62.839879154078545,0.906344410876133,0.0
2024-11-07,33.14917127071823,33.14917127071823,32.04419889502763,1.6574585635359116,0.0
2024-11-08,48.38709677419355,48.38709677419355,0.8064516129032258,2.4193548387096775,0.0
2024-11-11,33.14917127071823,33.14917127071823,32.04419889502763,1.6574585635359116,0.0
2024-11-21,48.38709677419355,48.38709677419355,0.8064516129032258,2.4193548387096775,0.0
2024-12-04,30.927835051546392,30.927835051546392,36.597938144329895,1.5463917525773196,0.0
2024-12-05,44.776119402985074,44.776119402985074,8.208955223880597,2.2388059701492535,0.0
2025-02-06,41.66666666666667,41.66666666666667,14.583333333333334,2.083333333333333,0.0
2025-02-19,22.727272727272727,22.727272727272727,53.40909090909091,1.1363636363636365,0.0
2025-02-20,29.411764705882355,29.411764705882355,39.705882352941174,1.4705882352941175,0.0
2025-02-25,31.746031746031743,23.809523809523807,42.857142857142854,1.5873015873015872,0.0
2025-02-26,24.896265560165975,18.672199170124482,54.77178423236515,1.6597510373443984,0.0
2025-03-12,49.586776859504134,37.1900826446281,9.917355371900827,3.3057851239669422,0.0
2025-03-13,33.14917127071823,24.861878453038674,39.77900552486188,2.209944751381215,0.0
2025-03-18,29.850746268656714,22.388059701492537,45.77114427860697,1.9900497512437811,0.0
2025-03-20,29.850746268656714,22.388059701492537,45.77114427860697,1.9900497512437811,0.0
2025-04-10,48.0,36.0,12.8,3.2,0.0
