date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,39.1143897423718,23.009772096431924,11.314407860142028,9.796641882644346,3.750916140767086,4.199567783034971,0.0,6.348903881104173,0.0,2.4654006135036712
2024-03-04,38.19921799738553,22.32072272157707,11.044402390330339,9.501940344934,3.661643930845219,4.09027461828369,0.0,6.1320603352538425,2.648650317111247,2.4010873442790626
2024-03-05,38.2229749297203,22.38058470959457,11.032766671329249,9.357977943951541,3.672114102934342,4.1007962249544,0.0,6.156325122273777,2.664921310601653,2.4115389846401722
2024-03-06,38.24154139914,22.27046558829133,11.10341750743106,9.358372182251545,3.6727774408228635,4.106842822515983,0.0,6.164847465804657,2.6670120066177696,2.414723587124796
2024-03-07,38.219445765144506,22.08319688119119,11.162945030785899,9.52670822816489,3.6732816330300975,4.103030506717942,0.0,6.15402621024791,2.664119474546093,2.4132462701714736
2024-03-08,38.23083830482404,21.94969387659271,11.267581580625496,9.565930368528173,3.6699490758473488,4.103278704013704,0.0,6.147384577116228,2.6629220229070425,2.4024214895452563
2024-03-11,38.079254992167066,21.87990242970474,11.304659081831558,9.70172075820675,3.666312062446188,4.101120870390357,0.03852519447444382,6.152456107312579,2.6649277698766523,2.4111207335896694
2024-03-12,38.118496116305224,21.874510333215873,11.312869498153418,9.701649211020316,3.6617353071075742,4.0929177147979185,0.036082157864160844,6.119858195504438,2.6663102094588367,2.4155712565722416
2024-03-13,38.08589737667528,21.86194093304513,11.242589044416889,9.834656539080653,3.6497148008982605,4.089014018916742,0.03607192470807453,6.118122560280613,2.665036493756627,2.416956308221733
2024-03-14,38.15817938002951,21.829054572459654,11.189298865814502,9.798395473853608,3.641049457115015,4.109627876439266,0.03602715018650142,6.114663509588371,2.662710587848233,2.4609931266653384
2024-03-15,38.20941475956286,21.859463651796634,11.226147446324195,9.655543953085319,3.6527535398075144,4.114500862479466,0.03608212256099884,6.119438065761631,2.6610790578454204,2.4655765407759636
2024-03-18,38.22849621530863,21.86476645589044,11.342194931028642,9.580265907973693,3.6474575664090567,4.1120542149526225,0.036077461674684716,6.065385456103744,2.6607353145708794,2.4625664760876047
2024-03-19,38.50901632839916,20.559086714007996,11.519191331115392,9.330090147506484,3.666146858127265,5.166523451190743,0.03620982247843085,6.0777674274023425,2.6715360257503393,2.464431894021844
2024-03-20,38.473196845689614,20.547590326990562,11.479213013958926,9.402334673191444,3.6940715937951634,5.165256484034197,0.03618566085084063,6.073711932425852,2.665703925960574,2.46273554310283
2024-03-21,38.60700915047954,20.437339076638644,11.416122718479112,9.4992097538475,3.6586208675988683,5.160315348510583,0.036131071734074115,6.064549226478542,2.661682487096184,2.4590202991369496
2024-03-22,38.580639806286385,20.331737613722094,11.400634920308866,9.663463575527935,3.6613873684671665,5.152716740044059,0.03608221799176881,6.05634919501286,2.6628462041189853,2.4541423585198836
2024-03-25,38.53393843506255,20.312727872203954,11.299644178627902,9.593887556660846,3.871962581726618,5.140072847003103,0.03606142825583971,6.099837826324637,2.6592424115607987,2.4526248625737512
2024-03-26,38.638326914752234,20.36496202935135,11.332947720237692,9.367358439065221,3.874960438034738,5.1597135081378385,0.03610835875391146,6.1076207653694325,2.6595948375246428,2.4584069887729405
2024-03-27,38.52460599584175,20.33234353736969,11.261730912810092,9.852910868151495,3.6342372491234407,5.14804400171851,0.03604804819415306,6.09974676365097,2.6551526070019307,2.455180016137961
2024-03-28,38.403625828936946,20.30272498362267,11.282893727391006,10.023579249980608,3.62894607897219,5.143777751039784,0.03601093916647144,6.076727825062466,2.651076000765751,2.4506376150621065
2024-04-02,38.38726276084539,20.318098871505683,11.304944446954886,10.04152327173836,3.6272791976269647,5.127526331567122,0.036026711959579884,6.06713931631444,2.652237172183179,2.4379619193043998
2024-04-03,38.35759015897257,20.308256150854024,11.329761755803876,10.05276184739933,3.6192476011462875,5.149657092246851,0.03597585439807612,6.05609702898315,2.672029678640844,2.418622831554989
2024-04-05,38.37486377828069,20.422451929136564,11.169921497220278,9.689724326966633,4.029836723706017,5.111857188667053,0.036064218437177345,6.064866475480638,2.673884200944655,2.4265296611602967
2024-04-08,38.25139412695348,20.38016566231079,11.162316784585691,9.908031391917934,4.037561829024248,5.102789602130988,0.03596020780228804,6.036282700184087,2.666172612965972,2.4193250821245247
2024-04-09,38.32075590305704,20.425375612166256,11.182557566269095,10.139604695592485,3.6175530310311586,5.123206820886875,0.0360254149388944,6.045677782409924,2.6726611847590447,2.4365819888892264
2024-04-10,38.37507986304804,20.41243063242025,11.265860867285477,10.07727877295894,3.5937769549544334,5.094916623296188,0.032403310031918424,6.038770935649412,2.671086241805518,2.4383957985498186
2024-04-11,38.29946845192859,20.349985853481815,11.269727581623712,10.245376194184285,3.588432030781399,5.098689889182351,0.03231422466686209,6.025724850217229,2.6637427113848973,2.4265382125488566
2024-04-12,38.596617624202864,20.361520938357316,11.28183196380724,10.162881968548412,3.592902900816303,4.850497733595961,0.03233458874462732,6.025448142341467,2.665421373468869,2.4305427661169454
2024-04-15,38.70587390302442,20.329029147734857,11.32281090832451,10.10436667267798,3.57812293148283,4.840847725059674,0.03228879729806191,6.019129434617577,2.661646669502121,2.4058838102779734
2024-04-16,38.70821245474884,20.312462749881977,11.344108482011476,10.090570598332121,3.5601992150002517,4.870179506875078,0.03227056856867291,6.016554809910643,2.6601954977601485,2.4052461169107917
2024-04-17,38.879414828452525,20.321659478346486,11.289633296233832,9.96477351218183,3.5773390381897268,4.876538720482578,0.032284046687670404,6.0192221520717295,2.6613065544618335,2.377828372891791
2024-04-18,39.040098261662166,20.318996576552475,11.232666306188968,9.873577605784394,3.564131890251703,4.889232390143883,0.024981855343655532,6.021475130160205,2.661272494491846,2.3735674894207044
2024-04-19,39.02232712803257,20.291489588041443,11.238276245555616,9.93179403231198,3.580943213545381,4.881772582585645,0.02495793753878142,6.015452828986543,2.645345060488747,2.367641382913288
2024-04-22,39.01809960719757,20.194521994700207,11.283128725899672,9.996246680331868,3.580865256222788,4.863477085012473,0.024994027870293187,6.026728155781878,2.6487580791185263,2.363180387864725
2024-04-23,39.11989459325264,20.220440124116713,11.3407867254329,9.83161728064745,3.5826680979065815,4.840512408070617,0.026300406205957715,6.0308617279411845,2.6476353345004373,2.359283301925526
2024-04-24,39.24499932820672,20.17543155803285,11.307166765902892,9.752956347996356,3.5740787052017,4.866708867447877,0.026278960310838834,6.045112221383558,2.646249308492347,2.3610179370248603
2024-04-25,39.22659716808956,20.155068213753985,11.340147438284855,10.01605808855102,3.5787940251759034,4.6164894224311,0.02625081788669582,6.038638445019728,2.6425403840909523,2.3594159967161974
2024-04-26,39.41934568404903,20.14085123357829,11.266967868419874,9.845540193769944,3.5924169160462918,4.648190890961643,0.02627173378243478,6.044737688323502,2.646397333089749,2.369280457979248
2024-04-29,39.58071982612374,20.050230882909304,11.28184033581339,9.775982665836695,3.5781521264849707,4.645848120187503,0.02624569426648677,6.038746380527065,2.643774327462087,2.3784596403887637
2024-04-30,40.02718725735498,19.91229515664215,11.327955171471862,9.383315066585315,3.5737311782761267,4.697073941072421,0.026287861970754063,6.045871304736763,2.6478673190041198,2.3584157428855104
2024-05-02,39.974367110793324,19.848714862367387,11.311145923202002,9.481147948626054,3.5745530367099363,4.7019048981327405,0.025016442792044267,6.043660156714614,2.676614180219954,2.362875440441942
2024-05-03,39.924326809042846,19.947795491766232,11.233586894483514,9.471285561259837,3.575429556960491,4.70747269165203,0.02501889470775877,6.046419093626439,2.715307606655298,2.353357399845555
2024-05-06,39.87955159061544,19.945085703856254,11.220988402608386,9.509932746877938,3.5913485312208113,4.714662905131917,0.024990835963507173,6.040256351563949,2.7127776582998258,2.3604052738619727
2024-05-07,39.92223626834942,19.964965271285347,11.23299867490881,9.37143328873549,3.5894565045279068,4.748182819368205,0.024501758166212903,6.0686441050454025,2.716661322962167,2.3609199866510293
2024-05-08,40.12206292578113,19.927456084717253,11.179986443333393,9.296594750662377,3.572366480604553,4.744900373418841,0.028320218140581242,6.058073449636095,2.7159648895117643,2.3542743841940084
2024-05-09,40.102235102560016,19.919495082024902,11.239825463608707,9.25862725362238,3.5820809437184304,4.754523969308268,0.02836069905744689,6.052862462661577,2.719485477614758,2.342503545823521
2024-05-10,40.07408589886059,20.053152258858702,11.128019999996619,9.368827153425087,3.560553594499812,4.73293615747844,0.028293410612886562,6.039506430408862,2.712775559420922,2.301849536438081
2024-05-13,40.14381221443336,20.03647733705884,11.112960357024845,9.341395092379706,3.6257328556978794,4.737353306245164,0.028288397362692605,6.041244531790313,2.6322732470431034,2.300462660964092
2024-05-14,39.95237872568967,19.859357625736408,11.099680739653383,9.502624290222714,3.8887958066342176,4.7069708876034495,0.028243986067724235,6.002435738722134,2.6235620011786662,2.335950198491634
2024-05-16,39.94753141427231,19.834558406879445,11.435622564404659,9.521874463945554,3.6116506367749155,4.6802511111072125,0.02821719591475796,6.000340093792962,2.6186064073703696,2.3213477055378084
2024-05-17,40.12632014954992,19.714288387156746,11.510862213522097,9.403126539778881,3.6067735143776445,4.6759291966349155,0.02824884047090002,5.993124928931205,2.6211314382935047,2.320194791284191
2024-05-20,40.208630304417795,19.713208602025116,11.82174376301519,9.086123556549456,3.586899416136885,4.660368427494079,0.030988477311000556,5.949229181934122,2.6227568776430097,2.3200513934733498
2024-05-21,40.20450781958831,19.69784476658448,11.96348153789913,9.083616812118303,3.5891357950939056,4.538817316741609,0.031011225013091157,5.9531327078203375,2.625815464566317,2.3126365545745178
2024-05-22,40.14324670687107,19.703989484494244,12.075347140747866,9.008238251815703,3.5961742332592417,4.54579771168011,0.031037782241280107,5.95477644888081,2.628373493136102,2.313018746873578
