date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG SECURITIES LTD,GOLDMAN SACHS (ASIA) SECURITIES LTD
2024-03-01,46.50002444674236,36.149507382572935,5.569314750692454,0.09894097963546356,0.0,2.1906465226306713,6.992612251351793,2.4702314467870283,0.0,0.028722219587288753
2024-03-04,43.83324604690901,34.09039831888883,5.2567730231087495,0.09969989982659701,4.140498025507346,2.066631256949891,6.594652008036346,2.327767448604679,1.563058442600122,0.0272755295684336
2024-03-05,43.82707726958132,34.08019383813267,5.255691586726343,0.11348837027354906,4.148986684735496,2.064910953049683,6.591932290882172,2.3279569343298974,1.5617415688579586,0.028020503430908266
2024-03-06,43.823712919104196,34.08314090775797,5.255276872887764,0.08501632833824352,4.174022444981396,2.0658752669134186,6.59141213754005,2.3315307441247297,1.5616183356297142,0.02839404272251658
2024-03-07,43.79624482577732,34.06891629267477,5.268720242603762,0.0893440033864499,4.188701806453678,2.0783333721527515,6.591895134349512,2.3382777034254842,1.5617327658395037,0.017833853336764696
2024-03-08,43.79333936350603,34.09476013962171,5.265731621871299,0.07114315119994619,4.1872375641935005,2.0883161053652266,6.585455237124947,2.3359933424358674,1.560207043979665,0.017816430701806767
2024-03-11,43.784345716997,34.093384244683776,5.265519123133857,0.07358035156645616,4.187256285908161,2.096865929938051,6.5851894809064655,2.335899073363384,1.5601440817835635,0.01781571171927942
2024-03-12,43.75732862156894,34.08549692534843,5.264802830671277,0.0711369421544,4.191470501674237,2.1100934584933104,6.5778421519311365,2.338980180542017,1.5850335118502117,0.017814875766049322
2024-03-13,43.734811463666766,34.10957613149513,5.26426988092236,0.08844267448394395,4.200236055181559,2.092513326431369,6.5644531489627305,2.335582107934008,1.5922929835012571,0.017822227420875216
2024-03-14,44.06332072824049,34.06413595372305,4.960916714380648,0.09568765738497453,4.2050674293294,2.131802019620547,6.558164100843671,2.3227964711913907,1.580300850276248,0.017808075009577422
2024-03-15,44.02945769503044,34.10919762232619,4.964145429564951,0.09081718886031143,4.205418538529095,2.1346068800953133,6.558711685820039,2.3192377569039793,1.580432800161985,0.007974402707691364
2024-03-18,44.00325901124743,34.09399379383755,4.985044622312177,0.09434274091247602,4.221852425752384,2.158940172049564,6.551279663773022,2.326613920100325,1.5567025825741796,0.007971067440891882
2024-03-19,44.15666719001524,33.79413767113935,4.965525702690933,0.35420988689049115,4.172659947087403,2.153846639057446,6.487915065736166,2.313769194786013,1.5472182220893864,0.0540504805075644
2024-03-20,44.193663454264055,33.78023680037385,4.970521843845992,0.3526153116682264,4.186286502929342,2.132306934984474,6.4851900797904625,2.3146991313056438,1.5479643355632635,0.03651560527469163
2024-03-21,44.14203252815352,33.85603963183922,5.2739296584689415,0.07056344897717888,4.1811377838066655,2.11058279838473,6.4972587473584875,2.3096978958903507,1.55084503246547,0.007912474655436071
2024-03-22,44.05622707983108,33.86059588679791,5.3467336465511375,0.0741663948244619,4.183063429136432,2.1038613901040106,6.494900855636677,2.31816510903937,1.5512127636354487,0.01107344444346841
