date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,ABCI SECURITIES CO LTD,FUTU SECURITIES INTERNATIONAL,HANG SENG SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,5.60775,0.0,3.93,4.2035,0.0,1.783,0.0,0.0,0.0,15.52425
2024-03-04,0.0,5.60775,0.0,3.93,4.211,0.0,1.783,0.0,0.0,0.0,15.531749999999999
2024-03-05,0.0,5.60275,0.0,3.9375,4.211,0.0,1.7954999999999999,0.0,0.0,0.0,15.546750000000001
2024-03-06,0.0,5.60275,0.0,3.9375,4.211,0.0,1.8030000000000002,0.0,0.0,0.0,15.55425
2024-03-08,0.0,5.59975,0.0,3.9375,4.211,0.0,1.8065000000000002,0.0,0.0,0.0,15.55475
2024-03-11,6.405124750000001,5.59975,0.0,3.9375,4.211,0.0,1.8065000000000002,0.0,0.0,1.0125,22.97237475
2024-03-12,6.405124750000001,5.56225,0.0,3.9375,4.211,0.0,1.831,0.0,0.0,1.0125,22.95937475
2024-03-13,6.405124750000001,5.56225,0.0,3.9364999999999997,4.1965,0.0,1.831,0.0,0.0,1.0125,22.943874750000003
2024-03-14,6.39612475,5.56225,0.0,3.9364999999999997,4.182,0.0,1.831,0.0,0.0,1.0125,22.92037475
2024-03-15,6.39562475,5.55475,0.0,3.988,4.182,0.0,1.831,0.0,0.0,1.0125,22.96387475
2024-03-18,6.39562475,5.55475,0.0,3.987,4.182,0.0,1.831,0.0,0.0,1.0125,22.96287475
2024-03-19,6.39562475,5.55475,0.0,3.987,4.182,0.9785,1.831,0.0,0.0,1.0125,23.94137475
2024-03-21,6.39462475,5.55475,0.0,3.987,4.1815,0.9785,1.831,0.0,0.0,1.0125,23.93987475
2024-03-22,6.39462475,5.55475,0.0,3.987,4.1815,0.9884999999999999,1.8259999999999998,0.0,0.0,1.0125,23.94487475
