date,HANG SENG SECURITIES LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,DAH SING SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,PRUDENTIAL BROKERAGE LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,40.1359157394927,0.0,34.883621314407314,0.0,0.0,24.98046294609998,0.0,0.0,0.0
2024-03-04,29.71894383131129,0.0,25.82635351912105,25.958889407396878,0.0,18.495813242170783,0.0,0.0,0.0
2024-03-06,28.076841989020007,0.0,24.404828518095574,24.530069412961765,0.0,17.48662441215033,0.0,0.0,5.5016356677723195
2024-03-07,28.08807877919779,0.0,24.295929845497472,24.54651950889196,0.0,17.564146749867028,0.0,0.0,5.505325116545752
2024-03-08,24.058597841421335,0.0,20.80484263889085,21.019425021496023,14.362519836593101,15.04035085469632,0.0,0.0,4.714263806902368
2024-03-11,24.066303665793363,0.0,20.80213797117479,21.01669245767651,14.3606526826618,15.04056227873586,0.0,0.0,4.713650943957677
2024-03-12,24.05561881096812,0.0,20.80914534135261,21.018190232654057,14.354276901351934,15.051210516351412,0.0,0.0,4.711558197321864
2024-03-13,24.053274624816293,0.0,20.80711751946518,21.017224801755592,14.352878097297209,15.058405894050244,0.0,0.0,4.711099062615479
2024-03-14,24.063841691844267,0.0,20.794981975968476,21.01699723767095,14.35272269145286,15.060408349891699,0.0,0.0,4.71104805317175
2024-03-15,24.08746477855904,0.0,20.845449863716052,20.98499931162022,14.33456340903986,15.042435073334548,0.0,0.0,4.70508756373028
2024-03-18,24.1043371348003,0.0,20.846013425517818,20.952583649758775,14.33495094744441,15.056900075562963,0.0,0.0,4.705214766915733
2024-03-20,24.1120222349645,0.0,20.816276871659902,20.9498650032447,14.360122689260383,15.057108946526304,0.0,0.0,4.704604254344212
2024-03-21,24.132530528322903,0.0,20.810651391507623,20.944203421661438,14.356241947969767,15.053039848673139,0.0,0.0,4.703332861865129
2024-03-22,22.782723239603513,0.0,19.620281355533926,19.774730271868872,13.560543004467437,14.406025912410305,5.421394169415951,0.0,4.434302046699997
2024-03-25,22.794196044789214,0.0,19.602101931293543,19.756407740997002,13.547978308796615,14.452751680198311,5.4163709068646035,0.0,4.43019338706071
2024-03-26,22.829833892001993,0.0,19.522858895797473,19.75714039641542,13.538921338656396,14.660839199138481,5.4127500042875765,0.0,4.277656273702658
2024-03-27,22.824989180078074,0.0,19.515521620339584,19.75294773981906,13.536048248385274,14.682143331479178,5.411601366298749,0.0,4.27674851360008
2024-03-28,22.829588310108463,0.0,19.500587449023055,19.776603743664268,13.532744187691303,14.676525404414662,5.40824631779058,0.0,4.275704587307673
2024-04-02,22.832048896504315,0.0,19.485327842913254,19.74588424667624,13.547561044448988,14.71280495280897,5.404014255101698,0.0,4.272358761546538
2024-04-03,22.833857647780576,0.0,19.46702689802017,19.738662784645165,13.54260643231443,14.733837288867067,5.413212673276101,0.0,4.27079627509649
2024-04-05,22.160811580906653,0.0,18.873501950560325,19.155864097209502,13.143427365198862,14.313348968669393,5.283232267214748,2.9249026031145124,4.144911167126007
2024-04-08,22.160593089784104,0.0,18.873315870162834,19.145815886295193,13.14329777959282,14.31419378306181,5.283180177996601,2.924873765485946,4.154729647620691
2024-04-09,22.160046880826346,0.0,18.87285068522175,19.14534398483938,13.142973826756691,14.31630574616311,5.283049959444823,2.924801673902271,4.1546272428456295
2024-04-10,22.157862314225298,0.0,18.870990174750123,19.143456611619467,13.141678175090663,14.314894425891467,5.282529149423295,2.924513343101986,4.164075805897705
