date,PHILLIP SECURITIES (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,BRIGHT SMART SECURITIES INTERNATIONAL,BNP PARIBAS,UZEN SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD
2024-04-17,0.0,0.0,92.39149230503199,0.0,0.0,0.0,0.0,0.0,7.60850769496801
2024-06-17,0.0,0.0,85.70741097208855,0.0,0.0,0.0,0.0,7.234520372152711,7.058068655758742
2024-07-31,5.0365,0.0,2.6715,1.698,0.0,0.0,0.0,0.2255,0.22
2024-08-05,42.561372375036974,0.0,22.575738369882114,14.353318967338488,0.0,16.744834579794652,0.0,1.9056069632822075,1.859128744665568
2024-08-19,42.561372375036974,0.0,22.575738369882114,14.35754425994,0.0,16.744834579794652,0.0,1.9013816706806945,1.859128744665568
2024-08-20,42.569822960239996,0.0,22.575738369882114,14.35754425994,0.0,16.744834579794652,0.0,1.892931085477669,1.859128744665568
2024-08-21,27.403780769753844,0.0,14.5328437372501,9.242486060111519,35.62627498980008,10.779273765809874,0.0,1.2185502515979874,1.1967904256765944
2024-08-22,27.403780769753844,0.0,14.5328437372501,9.242486060111519,35.082279341765265,10.779273765809874,0.0,1.7625458996328032,1.1967904256765944
2024-09-03,26.806366047745357,0.0,14.172413793103447,9.013262599469495,34.212201591511935,10.509283819628648,2.4509283819628647,1.6684350132625994,1.16710875331565
2024-09-04,33.53580901856764,0.0,14.172413793103447,9.013262599469495,34.212201591511935,3.7798408488063657,2.4509283819628647,1.6684350132625994,1.16710875331565
2024-09-05,33.63139460836341,0.0,14.17692634260242,9.01613245595415,34.22309488431331,3.741243897261728,2.4225217575886226,1.6212056888134156,1.1674803651029506
2024-09-10,45.30619825939291,0.0,14.17692634260242,9.01613245595415,22.548291233283805,3.741243897261728,2.4225217575886226,1.6212056888134156,1.1674803651029506
2024-09-27,45.27701125026534,0.0,14.17692634260242,9.01613245595415,22.548291233283805,3.741243897261728,2.4225217575886226,1.6503926979409893,1.1674803651029506
2024-10-03,45.262487393173735,0.0,14.180688996231222,9.018525399437337,22.554275704655236,3.7422368490896543,2.4231647115027335,1.6508307234991242,1.167790222410956
2024-10-04,45.247955824572585,0.0,14.18445364765849,9.02091961346501,22.56026335350961,3.7432303281299775,2.4238080067962198,1.651268981628969,1.168100244239142
2024-10-09,35.73945877910636,20.975456261799874,11.20830711139081,7.1281728550451025,17.826725403817914,2.964128382630585,1.9152506817705057,1.3194881476819802,0.9230123767568701
2024-11-07,35.72971499276471,20.969737642346328,11.205251347440386,7.1262294738166645,17.82186523498941,2.990583646163203,1.9147285195981796,1.3191284105446386,0.922760732336472
2024-11-18,35.72072544291854,20.964461683614637,11.202432120767376,7.124436523744627,17.817381276863404,3.014991089212706,1.9142467763916555,1.3187965195513156,0.9225285669357375
2024-12-03,35.727463312368975,20.962264150943398,11.20125786163522,7.123689727463313,17.81551362683438,3.0146750524109014,1.9140461215932916,1.3186582809224319,0.9224318658280923
2024-12-12,35.76547504295713,20.952600477767067,11.196094044675412,7.120405682913542,17.807300616068062,3.004903398851683,1.9131637399941326,1.3180503750890575,0.9220066216839193
2024-12-13,35.79447865610992,20.943823048887772,11.191403795400277,7.115328222529429,17.79984081102593,3.0036445896694732,1.9123622805915126,1.3174982195970006,0.9216203761886808
2024-12-16,35.82839555285693,20.93549130043341,11.186951696991269,7.112497644521682,17.792759783086616,2.99407466342832,1.9116015158811581,1.3169741002072821,0.9212537425933294
2024-12-17,38.82037645777936,20.93549130043341,11.186951696991269,7.112497644521682,14.800778878164191,2.99407466342832,1.9116015158811581,1.3169741002072821,0.9212537425933294
2024-12-19,50.545424090785374,20.93549130043341,11.186951696991269,7.112497644521682,3.0757312451581833,2.99407466342832,1.9116015158811581,1.3169741002072821,0.9212537425933294
2024-12-23,50.547540777654476,20.936368014405662,11.187420172114157,7.112795494043008,3.0716723549488054,2.994200046064616,1.9116815678720243,1.3170292510312192,0.9212923218660357
2025-04-14,50.55600929823459,20.939875604699377,11.189294465037381,7.113987141630542,3.0721869699063893,2.9926074846600073,1.9120018428933425,1.3025905216644678,0.9214466712739001
