date,ABN AMRO CLEARING HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,ICBC (ASIA) SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CHIEF SECURITIES LTD,INTERACTIVE BROKERS HONG KONG LTD,CHINA MERCHANTS BANK CO LTD,BRIGHT SMART SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD
2024-03-06,0.0,0.0,0.0,21.875,0.0,0.0,0.0,78.125,0.0
2024-03-08,99.8040083454511,0.0,0.0,0.04425618005942973,0.0,0.0,0.0,0.15173547448947333,0.0
2024-03-12,99.79768603401403,0.0,0.0,0.050578491496491115,0.0,0.0,0.0,0.15173547448947333,0.0
2024-03-13,99.79136372257697,0.0,0.0,0.056900802933552506,0.0,0.0,0.0,0.15173547448947333,0.0
2024-03-15,99.66384842619945,0.0,0.0,0.09167770194560457,0.0,0.0,0.0,0.24447387185494548,0.0
2024-03-20,99.6841890790546,0.0,0.0,0.07131214343928281,0.0,0.0,0.0,0.24449877750611246,0.0
2024-03-21,99.67396841569027,0.0,0.0,0.0815078960774325,0.0,0.0,0.0,0.2445236882322975,0.0
2024-03-27,99.6637799286806,0.0,0.0,0.09169638308711156,0.0,0.0,0.0,0.2445236882322975,0.0
2024-03-28,99.66384842619945,0.0,0.0,0.09167770194560457,0.0,0.0,0.0,0.24447387185494548,0.0
2024-04-05,99.6638141809291,0.0,0.0,0.09168704156479218,0.0,0.0,0.0,0.24449877750611246,0.0
2024-04-08,99.61287693561532,0.0,0.0,0.14262428687856563,0.0,0.0,0.0,0.24449877750611246,0.0
2024-04-09,99.42020140372291,0.0,0.0,0.14240667276980978,0.0,0.0,0.0,0.24412572474824534,0.19326619875902756
2024-04-11,99.39985759332724,0.0,0.0,0.14240667276980978,0.0,0.0,0.0,0.26446953514393245,0.19326619875902756
2024-04-15,99.3997965412004,0.0,0.0,0.14242115971515767,0.0,0.0,0.0,0.2644964394710071,0.19328585961342828
2024-04-17,99.45066124109869,0.0,0.0,0.09155645981688708,0.0,0.0,0.0,0.2644964394710071,0.19328585961342828
2024-04-18,99.45071711931645,0.0,0.0,0.091547146780592,0.0,0.0,0.0,0.26446953514393245,0.19326619875902756
