date,PHILLIP SECURITIES (HONG KONG) LTD,CITIBANK N.A.,YUANTA SECURITIES (HONG KONG) CO LTD,SINOPAC SECURITIES (ASIA) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,100.0,0.0,0.0,0.0
2024-03-13,90.06792890800585,0.0,0.0,9.932071091994139,0.0,0.0,0.0
2024-03-14,90.07012173628787,0.0,0.0,9.929878263712123,0.0,0.0,0.0
2024-03-15,90.07265071988965,0.0,0.0,9.927349280110347,0.0,0.0,0.0
2024-03-28,87.48651459243526,0.0,0.0,9.640501252372466,0.0,0.0,2.8729841551922877
2024-04-02,80.16237380184748,0.0,0.0,8.832591528061053,8.37281723189963,0.0,2.6322174381918364
2024-04-03,76.6240482225852,0.0,0.0,8.44272552169544,7.985917703462424,4.431275825794776,2.5160327264621576
2024-04-05,76.62410434481363,0.0,0.0,8.441140976233529,7.988750009690874,4.430444156213407,2.5155605130485514
2024-04-08,76.63017739125576,0.0,0.0,8.438947971870006,7.986674536282756,4.42929312895367,2.5149069716378163
2024-04-09,76.6289384846171,0.0,0.0,8.436269180158257,7.992796545613174,4.427887129798054,2.5141086598134166
2024-04-10,76.6211996610804,0.0,0.0,8.43541719395325,8.002088433582912,4.427439953603061,2.513854757780384
2024-04-15,76.63086747998408,0.0,0.0,8.435052109685252,7.993086117698358,4.42724833431057,2.5137459583217443
2024-04-16,76.63491243742642,0.0,0.0,8.43359208857499,7.991702596373744,4.426482022977289,2.5133108546475458
2024-04-18,76.64212451058691,0.0,0.0,8.43359208857499,7.984490523213261,4.426482022977289,2.5133108546475458
2024-04-24,76.64323002375129,0.0,0.0,8.433713737695973,7.984605694334112,4.426545872122646,2.511904672095984
2024-04-25,76.65068375956318,0.0,0.0,8.433105527182732,7.9840298719528455,4.426226644814192,2.505954196487049
2024-04-30,16.99182458626956,0.0,0.0,1.8684906419149354,1.7689906823088117,0.9807019535296578,0.5520388808953328
2024-05-02,76.67193289376696,0.0,0.0,8.432601841550508,7.979303801037757,4.42520542676577,2.490956036879
2024-05-09,76.67524986194789,0.0,0.0,8.432966651343806,7.979649000327968,4.425396869253792,2.48673761712654
2024-05-14,76.76720673640257,0.0,0.0,8.433088261622714,7.979764073395447,4.428344850736096,2.391596077843173
2024-05-16,63.67257603625179,17.075026350943272,0.0,6.991206678186841,6.6035025761893715,3.6693675808278376,1.9883207776008838
2024-05-20,63.66212790378214,17.063021356741224,0.0,6.986780446900406,6.586181702566285,3.667044452599007,2.0348441374109334
2024-05-21,63.628684404454674,17.0540576735899,0.0,6.983110095392046,6.58272179680138,3.651984851020497,2.0994411787415084
2024-05-22,63.65571843395892,17.060983328717526,0.0,6.991917998158527,6.5853950410133075,3.597330550926313,2.1086546472254106
2024-05-23,63.66918350052656,17.06139089537341,0.0,6.993279467482028,6.585552358289973,3.5639721474107517,2.126621630917276
2024-05-24,63.66766255558362,17.060983328717526,0.0,6.993112410320997,6.586589453175777,3.56508142253963,2.126570829662457
2024-05-27,63.666902110361335,17.06077955269154,0.0,6.993028884733472,6.587705180986337,3.565038841282113,2.1265454299452013
2024-05-28,63.66614168330433,17.06057578153328,0.0,6.99294536114118,6.5888208821447565,3.564996261041763,2.1265200308346857
2024-05-31,17.034647208067323,4.564763654919719,0.0,1.8710472163506229,1.763557961632976,0.9538579219549408,0.5683370429228395
2024-06-07,63.666575643777335,17.06037201524259,0.0,6.992861839544048,6.591130926017382,3.564953681818544,2.124105893600107
2024-06-11,63.6624474597547,17.05894578748478,0.0,6.9922772442226115,6.597745532049639,3.564655655732608,2.123928320755665
