date,PRUDENTIAL BROKERAGE LTD,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CINDA INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BOCOM INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,61.43616169644901,0.0,17.784806817529642,0.0,0.0,10.278607107478969,10.500424378542379
2024-03-11,0.0,0.0,61.43426650545185,0.0,17.78425818941167,0.0,0.0,10.278290031621436,10.503185273515049
2024-03-12,0.0,44.30216305090532,34.24988787090389,0.0,9.862180426916687,0.0,0.0,5.730194256594945,5.85557439467916
2024-03-14,0.0,44.29713503131985,34.26354066850184,0.0,9.861061130861435,0.0,0.0,5.728856074193891,5.849407095122989
2024-03-15,0.0,44.303382136644345,34.25083034294117,0.0,9.865547530888193,0.0,0.0,5.730007968317591,5.85023202120869
2024-03-18,0.0,44.308106727659705,34.250698849308485,0.0,9.866599610322723,0.0,0.0,5.730619026500046,5.8439757862090405
2024-03-19,0.0,44.30848989160297,34.25734326896615,0.0,9.859651660706728,0.0,0.0,5.730579599458613,5.843935579265534
2024-03-20,0.0,44.305594049879716,34.26163996986535,0.0,9.859007269739543,0.0,0.0,5.730205069621484,5.843553640893908
2024-03-21,0.0,44.3060512628813,34.26199353396003,0.0,9.858077056868336,0.0,0.0,5.730264202656843,5.843613943633491
2024-03-27,0.0,41.20773024725495,31.86630061916389,0.0,9.16877316872052,0.0,6.992595242672857,5.329588353582036,5.435012368605739
2024-03-28,0.0,41.207410315187026,31.86630061916389,0.0,9.16877316872052,0.0,6.992915174740785,5.329588353582036,5.435012368605739
2024-04-02,0.0,41.20609200016454,31.865281146634654,0.0,9.168479839649034,0.0,7.027882857703305,5.329417848414727,5.402846307433735
2024-04-03,0.0,41.20240116681164,31.900814151808003,0.0,9.138548338965235,0.0,7.026933476428803,5.32894049198048,5.4023623740058335
2024-04-05,0.0,41.26721857597929,31.905502511757316,0.0,9.152924613408242,0.0,6.996656733886497,5.3373236955442795,5.340373869424376
