date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,CMB INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,DBS BANK LTD,CITIBANK N.A.,GF SECURITIES (HONG KONG) BROKERAGE LTD
2024-03-01,0.0,0.0,0.0,0.0,74.15995556789781,0.0,21.917522910302694,0.0,3.9225215217995006,0.0
2024-03-04,0.0,0.0,0.0,0.0,73.86851211072664,0.0,22.242214532871973,0.0,3.889273356401384,0.0
2024-03-05,0.0,0.0,0.0,0.0,72.22146646714732,0.47612569718405656,23.534213032240512,0.0,3.768194803428105,0.0
2024-03-06,0.0,0.060695980577286215,0.1483679525222552,0.0,71.30428918262746,0.5057998381440518,25.195575937415697,0.0,2.7852711087132453,0.0
2024-03-07,0.0,0.22683301087464142,0.23350457001801322,0.0,70.45166455400627,0.5003669357528854,26.15251184201748,0.0,2.435119087330709,0.0
2024-03-08,0.0,0.4101342859032877,0.6813521201296554,0.0,69.7129059998677,0.4961301845604287,26.731494344115898,0.0,1.9679830654230335,0.0
2024-03-11,0.0,6.221227621483376,3.21611253196931,0.0,67.31138107416879,0.49872122762148335,22.34015345268542,0.0,0.4124040920716113,0.0
2024-03-12,0.0,11.402176664135661,7.327258921791952,0.018982536066818528,66.51797013414325,1.006074411541382,13.300430270817515,0.0,0.4271070615034169,0.0
2024-03-13,0.0,10.977604428787116,8.675138399597383,0.01887267237040765,66.13298943130347,0.8744338198288878,12.965525918470055,0.0,0.3554353296426774,0.0
2024-03-14,0.0,8.610315647221595,8.996428456514046,0.019305640464622416,67.65018179478103,1.216255349271212,13.18575243733711,0.0,0.3217606744103736,0.0
2024-03-15,0.0,1.1741330336354023,1.3002717198014027,85.35985090976342,9.970172468572025,0.17545606722338403,1.968901597598623,0.0,0.05121420340574453,0.0
2024-03-18,0.0,1.1755162451791026,1.2646998828278804,85.38858923819147,9.973861604072088,0.1755209889896158,1.9762714598128093,0.0,0.045540580927035446,0.0
2024-03-19,0.0,1.185144418719399,1.232588150453562,85.3987171214939,9.971723535886438,0.18313280449387026,1.9803013625839754,0.0,0.04839260636884655,0.0
2024-03-20,0.0,1.1658707478472217,1.2095434305841697,85.44655318098529,9.981106817685538,0.1832353862658907,1.9652707231626618,0.0,0.048419713469224995,0.0
