date,GRANSING SECURITIES CO LTD,ASTRUM CAPITAL MANAGEMENT LTD,SUNCORP SECURITIES LTD,KGI ASIA LTD,VALUABLE CAPITAL LTD,KINGSTON SECURITIES LTD,CIS SECURITIES ASSET MANAGEMENT LTD,BANK OF CHINA (HONG KONG) LTD,LONG BRIDGE HK LTD,LUK FOOK SECURITIES (HK) LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6718780818615477,0.0,0.0,2.6718780818615477
2024-03-04,0.0,0.0,0.0,0.0,5.047996548179786,0.0,0.0,2.6718780818615477,0.0,0.0,7.719874630041333
2024-03-05,0.0,0.0,0.0,0.0,5.0682886406760135,0.0,0.0,2.6717089810907457,0.0,0.0,7.739997621766759
2024-03-06,0.0,0.0,0.0,0.0,5.244153442309987,0.0,0.0,2.6708634772367366,0.0,0.0,7.915016919546723
2024-03-07,0.0,0.0,0.0,0.0,5.247535457726025,0.0,0.0,2.6708634772367366,0.0,0.0,7.918398934962761
2024-03-08,0.0,0.0,0.0,0.0,5.284737627302443,0.0,0.0,2.6708634772367366,0.0,0.0,7.955601104539179
2024-03-11,0.0,0.0,0.0,0.0,5.298265688966594,0.0,0.0,2.6708634772367366,0.0,0.0,7.96912916620333
2024-03-12,0.0,0.0,0.0,0.0,5.298265688966594,0.0,0.0,2.6674814618206986,0.0,0.0,7.965747150787293
2024-03-13,0.0,0.0,0.0,0.0,5.335467858543011,0.0,0.0,2.633661307660319,0.0,0.0,7.96912916620333
2024-03-14,0.0,0.0,0.0,0.0,5.369288012703391,0.0,0.0,2.6539534001565466,0.0,0.0,8.023241412859939
2024-03-15,0.0,0.0,0.0,0.0,5.379434058951505,0.0,0.0,2.6539534001565466,0.0,0.0,8.033387459108052
2024-03-18,0.0,0.0,0.0,0.0,5.382816074367542,0.0,0.0,2.6708634772367366,0.0,0.0,8.05367955160428
2024-03-19,0.0,0.0,0.0,0.0,5.379434058951505,0.0,0.0,2.6708634772367366,0.0,0.0,8.050297536188241
2024-03-20,0.0,0.0,0.0,0.0,5.376052043535466,0.0,0.0,2.6708634772367366,0.0,0.0,8.046915520772204
2024-03-21,0.0,0.0,0.0,0.0,5.392962120615657,0.0,0.0,2.6708634772367366,0.0,0.0,8.063825597852393
2024-03-22,0.0,0.0,0.0,0.0,5.430164290192074,0.0,0.0,2.6708634772367366,0.0,0.0,8.10102776742881
2024-03-25,0.0,0.0,0.0,0.0,5.433546305608112,0.0,0.0,2.6708634772367366,0.0,0.0,8.104409782844849
2024-03-26,0.0,0.0,0.0,0.0,5.440310336440188,0.0,0.0,2.6640994464046606,0.0,0.0,8.104409782844849
2024-03-27,0.0,0.0,0.0,0.0,5.447074367272264,0.0,0.0,2.6607174309886226,0.0,0.0,8.107791798260887
2024-04-02,0.0,0.0,0.0,0.0,5.45383839810434,0.0,0.0,2.6607174309886226,0.0,0.0,8.114555829092962
2024-04-03,0.0,0.0,0.0,6.299281375836338,5.45383839810434,0.0,0.0,2.6607174309886226,0.0,0.0,14.4138372049293
2024-04-05,0.0,0.0,0.0,6.299281375836338,5.480894521432644,0.0,0.0,2.6607174309886226,0.0,0.0,14.440893328257603
2024-04-10,0.0,0.0,0.0,6.299281375836338,5.484276536848681,0.0,0.0,2.6607174309886226,0.0,0.0,14.444275343673644
2024-04-15,0.0,0.0,0.0,6.299281375836338,5.491040567680757,0.0,0.0,2.6607174309886226,0.0,0.0,14.45103937450572
2024-04-17,0.0,0.0,0.0,6.299281375836338,5.4978045985128325,0.0,0.0,2.6607174309886226,0.0,0.0,14.457803405337794
2024-04-18,0.0,0.0,0.0,6.299281375836338,5.666905369314731,0.0,0.0,2.6607174309886226,0.0,0.0,14.626904176139691
2024-04-19,0.0,0.0,0.0,6.299281375836338,5.670287384730768,0.0,0.0,2.6607174309886226,0.0,0.0,14.63028619155573
2024-04-25,0.0,0.0,0.0,6.299281375836338,5.673669400146807,0.0,0.0,2.6607174309886226,0.0,0.0,14.633668206971768
2024-04-26,0.0,0.0,0.0,6.299281375836338,5.670287384730768,0.0,0.0,2.6607174309886226,0.0,0.0,14.63028619155573
2024-04-29,0.0,0.0,0.0,6.299281375836338,5.839388155532666,0.0,0.0,2.6607174309886226,0.0,0.0,14.799386962357627
2024-05-02,0.0,0.0,0.0,6.299281375836338,5.836006140116628,0.0,0.0,2.6607174309886226,0.0,0.0,14.79600494694159
2024-05-06,0.0,0.0,0.0,6.299281375836338,5.836006140116628,0.0,0.0,2.6539534001565466,0.0,0.0,14.789240916109513
2024-05-07,0.0,0.0,0.0,6.299281375836338,5.836006140116628,0.0,0.0,2.653276997073339,0.0,0.0,14.788564513026307
2024-05-13,0.0,0.0,0.0,6.299281375836338,5.805568001372287,0.0,0.0,2.670187074153529,0.0,0.0,14.775036451362153
2024-05-16,21.364529584653333,0.0,0.0,6.299281375836338,5.808950016788325,0.0,0.0,2.670102523768128,0.0,0.0,36.14286350104612
2024-05-17,21.364529584653333,0.0,0.0,6.299281375836338,5.819096063036438,0.0,0.0,2.670102523768128,0.0,0.0,36.15300954729424
2024-05-21,21.364529584653333,0.0,0.0,6.299281375836338,5.808950016788325,0.0,0.0,2.670102523768128,0.0,0.0,36.14286350104612
2024-05-22,21.364529584653333,0.0,0.0,6.299281375836338,5.812332032204362,0.0,0.0,2.670102523768128,0.0,0.0,36.14624551646216
2024-05-27,21.364529584653333,0.0,0.0,6.299281375836338,5.795421955124173,0.0,0.0,2.6971586470964315,0.0,0.0,36.156391562710276
2024-05-28,21.364529584653333,0.0,0.0,6.299281375836338,5.812332032204362,0.0,0.0,2.6971586470964315,0.0,0.0,36.173301639790466
2024-05-31,21.364529584653333,0.0,0.0,6.299281375836338,5.812332032204362,0.0,0.0,2.680248570016242,0.0,0.0,36.156391562710276
2024-06-03,21.364529584653333,0.0,0.0,6.299281375836338,5.812332032204362,0.0,0.0,2.710686708760583,0.0,0.0,36.18682970145462
2024-06-04,21.364529584653333,0.0,0.0,6.299281375836338,5.808950016788325,0.0,0.0,2.710686708760583,0.0,0.0,36.183447686038576
2024-06-11,21.364529584653333,0.0,0.0,6.299281375836338,5.825860093868514,0.0,0.0,2.7073046933445455,0.0,0.0,36.19697574770273
2024-06-12,21.364529584653333,0.0,0.0,6.299281375836338,5.829242109284552,0.0,0.0,2.7073046933445455,0.0,0.0,36.20035776311877
2024-06-14,21.364529584653333,0.0,0.0,6.299281375836338,5.829242109284552,0.0,0.0,2.7071525026508234,0.0,0.0,36.20020557242505
2024-06-18,21.364529584653333,0.0,0.0,6.299281375836338,5.829242109284552,0.0,0.0,2.706983401880022,0.0,0.0,36.20003647165424
2024-06-20,21.364529584653333,0.0,0.0,6.299281375836338,5.83262412470059,0.0,3.4273344226128586,2.7052923941720026,0.0,0.0,39.62906190197513
2024-06-24,21.364529584653333,0.0,0.0,6.281356694131338,5.836006140116628,0.0,3.4273344226128586,2.704785091859597,0.0,0.0,39.61401193337375
