date,THE HONGKONG AND SHANGHAI BANKING,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,KOALA SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,ZH SECURITIES LIMITED,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT
2024-03-08,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,96.13293147090727,0.0,0.0,3.8670685290927334,0.0,0.0,0.0,0.0,0.0
2024-03-15,95.92446416475671,0.0,0.0,4.075535835243285,0.0,0.0,0.0,0.0,0.0
2024-03-18,80.86610929269585,0.0,0.0,3.3127333164884796,0.0,13.78694581848919,2.0342115723264804,0.0,0.0
2024-03-20,80.79511389068122,0.0,0.0,3.397618708254339,0.0,13.774841739666815,2.0324256613976215,0.0,0.0
2024-03-25,80.73840726060716,0.0,0.0,3.4654197823093478,0.0,13.765173768211056,2.030999188872441,0.0,0.0
2024-03-26,79.78642973686249,1.1790888079719928,0.0,3.424559405506891,0.0,13.602870144912183,2.0070519047464437,0.0,0.0
2024-04-02,79.80026673706585,1.1792932920193364,0.0,3.4424958597917397,0.0,13.60522922925249,1.972714881870581,0.0,0.0
2024-04-03,79.86963693071405,1.1792932920193364,0.0,3.373125666143543,0.0,13.60522922925249,1.972714881870581,0.0,0.0
2024-04-05,80.22791121252072,1.1845832929943525,0.0,3.388256624814729,0.0,13.21768490528625,1.9815639643839356,0.0,0.0
2024-04-10,79.9493621575285,1.180470453063258,0.0,3.7236898850304243,0.0,13.171793474437454,1.9746840299403763,0.0,0.0
2024-04-11,79.68930638068352,1.1824718887958223,0.0,3.9560640397213174,0.0,13.19412567093868,1.9780320198606587,0.0,0.0
2024-04-12,79.67545138340587,1.1822663010508132,0.0,3.7641272673161916,0.0,13.31353558867147,2.0646194595556477,0.0,0.0
2024-04-16,79.63713850323664,1.1824718887958223,0.0,3.799560407380694,0.0,13.31585071831472,2.0649784822721164,0.0,0.0
2024-04-18,79.48509764603212,1.5099801225001748,0.0,3.722882026164224,0.0,13.221004118557564,2.0610360867459283,0.0,0.0
2024-04-19,79.46774155267003,1.5099801225001748,0.0,3.740238119526295,0.0,13.221004118557564,2.0610360867459283,0.0,0.0
2024-04-29,79.45395145067641,1.5097180944182034,0.0,3.756942154500472,0.0,13.2187098669318,2.0606784334731225,0.0,0.0
2024-05-07,79.52294986235957,1.5110291450167237,0.0,3.291264631961714,0.0,13.230189094442405,2.4445672662195843,0.0,0.0
2024-05-08,79.09991420851881,1.5039763969055944,0.0,3.3969122068040156,0.0,13.168437015434902,2.8307601723366793,0.0,0.0
2024-05-09,78.99982201701006,1.5037164481647118,0.0,3.396325081199608,0.0,13.1661609699939,2.9339754836317224,0.0,0.0
2024-05-10,78.9452421277724,1.50267755117621,0.0,3.3939786069669573,0.0,13.226153273714743,2.9319484403696743,0.0,0.0
2024-05-13,78.94160488896814,1.502937140820157,0.0,3.273638944659998,0.0,13.228438110149831,3.053380915401871,0.0,0.0
