date,BNP PARIBAS,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,ICBC (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,HANG SENG SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,PLATINUM BROKING CO LTD
2024-03-01,21.006870224855234,8.613613238303975,4.117174681986437,2.3319006904546127,2.205875864912409,0.0,7.763992676866536,0.0,0.0,0.0
2024-03-04,21.103976170079644,7.910661267163841,4.617830125717684,2.3723293430645342,2.201435340773287,0.0,7.742519097447496,0.0,0.0,0.0
2024-03-05,21.110179648578477,7.912280898636228,4.6450525269848955,0.0,2.2319887979096373,0.0,0.0,2.0461984609053863,0.0,0.0
2024-03-06,21.037217893522154,8.005258150558445,4.711606705123185,2.3806139030255835,2.230596991836181,0.0,0.0,2.0474577140194654,2.323998048707768,0.0
2024-03-07,21.01375601971246,8.005324427038135,4.681109814962249,2.41010693648692,2.2321213508690136,0.0,0.0,2.045336866669437,0.0,0.0
2024-03-08,21.00679698934518,7.995366385964953,4.661823359372926,2.4200484084401794,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-11,21.03144189831731,0.0,4.592972038448636,2.4399313523466977,2.232452733267456,0.0,0.0,0.0,0.0,0.0
2024-03-12,21.037473057968953,7.978383999053758,4.575673877249964,2.451529736292167,2.230133056478362,0.0,0.0,2.044011337075669,0.0,0.0
2024-03-13,21.034689445822043,7.969436674295824,4.571564735509284,2.4598142962532163,2.2295365681611665,0.0,0.0,2.043348572278785,0.0,0.0
2024-03-14,21.036942846131446,7.968111144702056,4.569642717598321,2.468960450450215,2.22814476208771,2.2211899402768887,0.0,2.042023042685017,0.0,0.0
2024-03-15,21.0372079520502,7.9618148791316585,4.568913676321749,2.475322992500301,2.234109645259666,0.0,0.0,0.0,0.0,0.0
2024-03-18,21.041118264351816,7.973451372052949,4.54813102920346,0.0,2.245408989728781,0.0,0.0,0.0,0.0,0.0
2024-03-19,21.04125081731119,7.892281076157777,4.540840616437737,2.4750578865815474,2.2573387560726923,0.0,0.0,2.0436136781975387,0.0,0.0
2024-03-20,21.035617316537678,7.875489764337523,4.530567762086035,2.4402627347451396,2.2726486228807117,0.0,0.0,0.0,0.0,0.0
2024-03-21,21.025477015145352,7.878869864801631,4.524934261312522,0.0,2.2792928399694734,0.0,0.0,0.0,0.0,0.0
2024-03-22,21.02189808524218,7.883111559501689,4.521487884368725,0.0,2.2892343119227325,0.0,0.0,0.0,0.0,0.0
2024-03-25,21.017457561103058,7.886624212925174,4.514277533590465,2.443642835209248,2.3014291841853973,0.0,0.0,2.043282295799097,0.0,0.0
2024-03-26,21.013414695842066,7.8938483492112095,4.494962744806076,2.453584307162507,2.3277409466216903,0.0,0.0,2.041956766205329,0.0,0.0
2024-03-27,21.010564807215466,7.898230881430604,4.490522220666953,2.4598805727329047,2.328952580085114,0.0,0.0,0.0,0.0,0.0
2024-03-28,21.0057929006779,7.897037904796213,4.490257114748199,2.466508220701744,2.329151409524179,0.0,0.0,2.0409626190100028,0.0,0.0
2024-04-02,20.99863504087155,7.896308863519641,4.460113080565123,2.500110395903761,2.332796615907041,0.0,0.0,2.0422881486037707,0.0,0.0
2024-04-03,21.094744519223845,7.802878976379389,4.372650992761934,2.519198022054019,2.333600118808543,2.2204608990003165,0.0,0.0,0.0,0.0
2024-04-05,21.05695801161494,7.744069701966286,4.455196094813521,2.5369601186105086,2.3456044461921035,0.0,0.0,0.0,0.0,0.0
2024-04-08,21.051920999158625,7.697785555514135,4.427094867425642,2.54557606097,2.3489969734961536,0.0,0.0,2.0449392077913067,0.0,0.0
2024-04-09,21.043636439197574,7.665558617265653,4.413667915405569,2.5462388257668844,2.3502562266102327,0.0,0.0,2.0403661306928074,0.0,0.0
2024-04-10,21.040322615213157,7.653012479660639,4.417541112878559,2.554589662207622,2.351250373805559,0.0,0.0,0.0,0.0,0.0
2024-04-11,21.074047401902597,7.65359074194592,4.347713870790858,2.566188046153091,2.3523107974805733,0.0,0.0,2.0480542023366612,0.0,0.0
2024-04-12,21.107119365267106,7.649150217806798,4.342468750188319,2.579244512651705,2.349262079414907,0.0,0.0,2.04851813769448,0.0,0.0
2024-04-15,21.062616730588978,7.648231625798317,4.3611143453572945,2.5954159736956735,2.349924844211791,0.0,0.0,2.0497773908085595,0.0,0.0
2024-04-16,21.059236630124868,7.648236662810773,4.361416897487072,2.6020436216645133,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,21.057380888693594,7.640416038207542,4.320060374161513,2.624577624758568,2.358275680652529,0.0,0.0,2.053422597191421,0.0,0.0
2024-04-18,21.04896377577317,7.633234981633305,4.315487297063014,2.6369050499806095,2.358805892490036,0.0,0.0,2.0534888736711094,0.0,0.0
2024-04-19,21.078711973681305,7.633566364031746,4.360233862324634,2.6468465219338686,2.359998869124427,0.0,0.0,2.053687703110175,0.0,0.0
2024-04-22,21.08719536308142,7.670349810258806,4.360631521202764,2.6534741699027085,2.357679192335333,0.0,0.0,2.056736421175841,0.0,0.0
2024-04-23,21.090708016504905,7.66935566306348,4.355064296908939,2.659107670676222,0.0,0.0,0.0,2.0550132327039425,0.0,0.0
2024-04-24,21.093690458090883,7.553632555279882,4.355329402827693,2.6663980834419454,2.361059292799441,2.2191353694065485,0.0,2.054101931108227,0.0,0.0
2024-04-25,21.092364928497116,7.55495808487365,0.0,2.6759418965170747,2.3577454688150215,0.0,0.0,2.0474742831393877,0.0,0.0
2024-04-26,21.08918365747207,7.54879437226263,4.34883430781823,2.6842264564781235,2.3557571744243697,0.0,0.0,0.0,0.0,0.0
2024-04-29,21.096010134879975,7.543889912765687,4.3176180858849955,2.69058899852821,2.3574140864165796,0.0,0.0,2.0481370479362715,0.0,0.0
2024-04-30,21.097335664473743,7.530303234429566,4.288686646174299,2.717298419842633,2.3590709984087894,2.1960048779952985,0.0,2.04860098329409,0.0,0.0
2024-05-02,21.054537992235602,7.528248663559227,4.2706425100584955,2.7469902827430346,2.3579442982540866,2.195872325035922,0.0,2.0472754537003226,0.0,0.0
2024-05-03,21.04963353273866,7.527337063719353,4.26507528576467,0.0,2.355823450904058,0.0,0.0,0.0,0.0,0.0
2024-05-06,21.043933755485458,7.53363332928975,4.262357950097446,2.7463275179461504,2.356950151058761,0.0,0.0,2.0505892776847423,0.0,0.0
2024-05-07,21.03843280767132,7.533434499850684,4.256857002283309,0.0,2.3563536627415655,0.0,0.0,2.049595130489416,0.0,0.0
2024-05-08,21.035052707207214,7.536814600314794,4.25228392518481,2.7448031589133173,2.359601210246297,2.193685201206205,7.743115585764691,2.04986023640817,0.0,0.0
2024-05-09,21.032467924499365,0.0,4.251621160387926,0.0,2.3647707756619916,2.190305100742097,7.742519097447496,0.0,0.0,0.0
2024-05-10,21.02524378821333,7.54688862522743,4.248042230484753,0.0,2.3654335404588753,0.0,0.0,2.048866089212844,0.0,0.0
2024-05-13,21.023388046782053,7.541586506852357,4.2390949057268195,2.7434776293195493,2.3666265170932665,0.0,0.0,2.049992789367547,0.0,0.0
2024-05-14,21.029883141791515,7.523261921812752,4.238962352767443,0.0,2.370536829394882,0.0,0.0,0.0,0.0,0.0
2024-05-16,21.036179407361917,7.515640126648587,4.226568651065713,2.7421520997257818,2.3824003192591046,0.0,0.0,2.0566204373363863,0.0,0.0
2024-05-17,21.034588771849393,7.513254173379805,4.213976119924917,0.0,2.386284087830605,0.0,0.0,0.0,0.0,0.0
2024-05-20,21.034456218890014,7.514911085372014,4.20476368924823,0.0,2.3870131291071774,2.188581912270198,0.0,2.0564216078973208,0.0,0.0
2024-05-21,21.040752484460416,7.513585555778246,4.19031541667616,0.0,2.3847597287977718,2.1883168063514447,0.0,2.054101931108227,0.0,0.0
2024-05-22,21.05129044473087,7.512326302664167,4.179976285844771,0.0,2.3854224935946555,0.0,0.0,2.0548309723847997,0.0,0.0
2024-05-23,21.04724757946988,7.517429591600173,4.1729509789978,0.0,2.390393229571285,2.186659894359235,0.0,2.0581447963692194,0.0,0.0
2024-05-24,21.04552439099798,7.516037785526717,4.116756245431925,0.0,2.381777287211794,2.1865936178795464,0.0,0.0,0.0,0.0
2024-05-27,21.038167701752567,7.5140163528962205,4.117419010228809,0.0,2.3860852583915397,0.0,0.0,2.0584761787676613,2.323633528069482,0.0
2024-05-28,21.020538158155453,7.519649853669734,4.109465832666201,0.0,2.3890676999775176,0.0,0.0,2.0535054427910318,0.0,0.0
2024-05-29,21.020471881675764,0.0,4.109996044503708,2.7426160350836004,2.387808446863438,0.0,0.0,0.0,0.0,0.0
2024-05-30,21.029551759393076,7.518655706474409,4.1054892438848976,0.0,2.3884712116603217,2.186527341399858,0.0,0.0,0.0,0.0
2024-05-31,21.030015694750894,7.509708381716475,4.1727300463527595,0.0,2.38648291726967,0.0,0.0,0.0,0.0,0.0
2024-06-03,21.028756441636816,7.501954033592933,4.173326534669955,0.0,2.387808446863438,0.0,0.0,0.0,0.0,0.0
2024-06-04,21.02895527107588,7.472073779799017,4.173724193548085,0.0,2.3884712116603217,0.0,0.0,2.055957672539502,0.0,0.0
2024-06-05,21.027099529644605,7.472206332758394,4.172862533035656,0.0,2.3949000301900965,0.0,7.742519163723975,2.0579459669301543,0.0,0.0
2024-06-06,21.026701870766477,0.0,0.0,0.0,2.3939058829947704,0.0,0.0,2.051732546959367,0.0,0.0
2024-06-07,21.024183364538317,7.470416867806808,4.172496985111935,2.7444717765148754,2.393839606515082,0.0,0.0,2.0516662704796786,0.0,0.0
2024-06-11,21.020604434635143,7.47611664506001,4.143001731388529,2.744935711872694,2.393243118197886,2.1850692588467133,7.742519097447496,2.048021064096817,0.0,0.0
2024-06-12,21.024647299896134,7.472140056278706,4.126498887946119,0.0,2.395695347946357,2.181821711341982,7.742585373927184,2.0509372292031065,0.0,0.0
2024-06-13,21.01947773448044,7.468693679334909,4.114635398081896,0.0,2.3959604538651105,2.1817554348622936,0.0,0.0,0.0,0.0
