date,"CHINA MINSHENG BANKING CORP., LTD.",BOCI SECURITIES LTD,TIGER BROKERS (HK) GLOBAL LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,CHINA INTERNATIONAL CAPITAL CORPORATION,CMB INTERNATIONAL SECURITIES LTD
2024-03-01,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,55.92403394578561,0.0,24.050424322320175,0.0,20.025541731894208,0.0,0.0
2024-03-05,0.0,0.0,57.78692796831023,23.58490566037736,0.0,10.191459050001738,0.0,8.436707321310678,0.0,0.0
2024-03-06,0.0,0.0,41.941666771748864,17.11788961325549,0.0,7.767675876070262,27.087247645108004,6.085520093817384,0.0,0.0
2024-03-07,0.0,0.0,42.1317225746812,17.195355139358483,0.0,7.879041142726893,27.20181336980334,5.59206777343008,0.0,0.0
2024-03-08,0.0,0.0,42.116256107749564,17.189042760576218,0.0,7.91159269854933,27.191827641206107,5.591280791918782,0.0,0.0
2024-03-11,0.0,0.0,42.09973554011818,17.182300168292652,0.0,7.978083994483037,27.181161345835076,5.558718951271052,0.0,0.0
2024-03-12,0.0,0.0,42.094676652160715,17.17817022568566,0.0,7.995142192085821,27.174628074081568,5.557382855986236,0.0,0.0
2024-03-13,0.0,0.0,42.05902799721924,17.163622574732983,0.0,8.098337862605069,27.151614738039566,5.527396827403147,0.0,0.0
2024-03-14,0.0,0.0,42.829377542089276,17.47412861041034,0.0,8.729341502342583,27.64892138186686,3.318230963290944,0.0,0.0
2024-03-15,0.0,0.0,40.59305701251495,16.559732624234588,0.0,8.272547632407115,26.20209314239711,2.176087433826938,6.196482154619306,0.0
