date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA SECURITIES (INTERNATIONAL),MORGAN STANLEY HONG KONG SECURITIES LTD,BNP PARIBAS,BANK OF CHINA (HONG KONG) LTD
2024-03-01,37.73016230691634,19.05200160882088,0.0,22.340838722986835,13.163596897589683,0.0,0.0,2.98436023408173,2.7281316225975427,2.0009086070069846
2024-03-04,30.522334342226127,15.494977918710948,19.04797259933947,18.077230076952752,10.657992350432465,0.0,0.0,2.3995761983358728,2.1945462601683023,1.6053702538340628
2024-03-05,28.92289467336718,14.908447451208684,18.002991699257095,17.06956622891104,9.815340035620267,5.40617829008466,0.0,2.260855714593274,2.084432133320699,1.529293773637106
2024-03-06,28.91437107068362,15.142286193075815,17.992102749811394,16.92635500275533,9.731742561854796,5.40298199576276,0.0,2.2612343246305753,2.100536492013851,1.52838960941186
2024-03-07,28.804131018468926,15.506180839717116,17.97478355218942,16.753235749757877,9.67297103005583,5.397781085439281,0.0,2.25905766053064,2.115283750344552,1.5165753134963595
2024-03-08,28.7435941220122,15.712067354837442,17.964152525012018,16.734651252764273,9.58210408358336,5.394588615429816,0.0,2.2577215608043377,2.107552884245525,1.503567601311025
2024-03-11,28.07691229892011,15.408398542093982,17.48456182208725,16.20163865795394,9.318267666885491,5.2474563488481145,2.57956836682394,2.2074669254417634,2.0318810967215604,1.4438482742238508
2024-03-12,28.284858422315068,15.452517351438821,17.473749231165662,16.120580552242174,9.188218708139592,5.237960145513811,2.5784123355699577,2.1986077986820134,2.0232636141104576,1.441831840822446
2024-03-13,28.306857232480397,15.415028913009504,17.466823803904532,16.1578750054356,9.175768979612482,5.2358841679142385,2.5773904251119926,2.196780913573501,2.0250208470338227,1.442569711923929
2024-03-14,28.142889457385895,15.513371987456587,17.495870932491684,16.08523621859202,9.260623514338937,5.2446449934782535,2.5817029857417984,2.2004566278882125,2.031173647149125,1.4440296354774882
2024-03-15,27.96024010296776,15.778110160483278,17.46175101632325,16.053722917091235,9.254689006809992,5.23459540537239,2.5767560252419655,2.196240197074956,2.0471545091224406,1.4367406595127288
2024-03-18,27.9678401737875,15.757558478654083,17.44392085908172,16.007863428679318,9.362065229988303,5.22919691658735,2.57409859187285,2.193975193353561,2.0248342044566123,1.4386469235386996
2024-03-19,28.146226956188595,15.83918722196305,17.468468169243152,15.715893936920741,9.275055654595295,5.236198673511429,2.5775452420805975,2.2225056005602593,2.0778691672091307,1.4410493777277444
2024-03-20,28.105664359644972,16.08361776626438,17.428980902460832,15.64840663455118,9.271199609977833,5.224575920022188,2.571823882975639,2.1922739397316353,2.0356062938454156,1.4378506905259234
2024-03-21,28.141931335226534,16.11315219649139,17.42314082517676,15.658254258289222,9.216237304659728,5.222522766349045,2.5708132077107293,2.2037312140712833,2.012931248016442,1.437285644008871
2024-03-22,28.18597338650843,16.23093141192014,17.432389791119903,15.517204220142899,9.150628955467074,5.225295110077879,2.5721779079127702,2.2345386795477302,2.0145937405002012,1.436266796802979
