date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,UBS SECURITIES HONG KONG LTD,CHINA CONSTRUCTION BANK (ASIA),FUTU SECURITIES INTERNATIONAL
2024-03-01,60.68279537006552,2.865225723782292,17.566765988135717,5.804663983296782,4.902774377780942,3.577438770760378,0.0,1.8455248279378362,1.5684717728948088,1.1863391853457208
2024-03-04,60.69093038010832,2.8373364364946947,17.568267019623327,5.813510219384361,4.91314231677692,3.5843145364880558,0.0,1.83731747147599,1.5690671855522784,1.1861144340960512
2024-03-05,59.61819999496478,2.7851429623646613,17.25816572747585,5.707653439737987,4.8276335530664,3.5212999690406055,1.773250282930305,1.8048973618757354,1.541638131188866,1.1621185773548084
2024-03-06,59.61732718930624,2.785200659241539,17.25925999199847,5.720670936844774,4.830199729375896,3.505106863053306,1.7734650877017744,1.8049848519074159,1.5417128600747223,1.1620718304958662
2024-03-07,59.56666506880776,2.8275420168383216,17.250195853614862,5.726643464848763,4.8342636817879345,3.5110602897199445,1.7724701922048096,1.8043328483713077,1.5408479751707356,1.165978608635563
2024-03-08,59.56579896457682,2.8287463331475142,17.246617598600956,5.727641893227981,4.834688603756438,3.5141323522316084,1.7723049527854564,1.804164638539912,1.5397514715310339,1.16615319160228
2024-03-11,59.576369948712596,2.8394469346386733,17.246928177271933,5.731389177557988,4.8192355944138665,3.503384251799275,1.7723328989056126,1.8041930870310652,1.5404195833569703,1.1663003463120272
2024-03-12,59.58351474034366,2.842704052154161,17.248968411439044,5.731589288108079,4.820239947530598,3.4923731364257082,1.7725412345408063,1.8044051677936754,1.5406006578563274,1.163063363807939
2024-03-13,59.57294062027967,2.8439711494473743,17.25030176710587,5.732963966033167,4.821883379722744,3.4941892843731996,1.7728092882960553,1.8046780401939286,1.5408336362399215,1.1654288683080696
2024-03-14,59.59317947099406,2.8432589984583387,17.25540128693256,5.747123122605959,4.827772518710581,3.4526252249702654,1.7731202138438533,1.8024180803865475,1.5374968120022738,1.16760427109556
