date,OSHIDORI SECURITIES LTD,PLANETREE SECURITIES LTD,IMAGI BROKERAGE LTD,HOPE SECURITIES LTD,KINGSTON SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,39.72355261220944,35.87359110844492,24.402856279345645
2024-03-05,0.0,0.0,0.0,0.0,0.0,39.69567649117901,36.0063111276179,24.29801238120309
2024-03-06,0.0,0.0,0.0,0.0,0.0,39.6397258711472,35.9172320623937,24.443042066459096
2024-03-07,0.0,0.0,0.0,0.0,0.0,39.63017100962566,35.90857448035823,24.461254510016108
2024-03-08,0.0,0.0,0.0,0.0,0.0,39.68665270683397,35.88207303077808,24.43127426238795
2024-03-11,0.0,0.0,0.0,0.0,0.0,39.6897198708171,35.932403932295315,24.377876196887584
2024-03-12,0.0,0.0,0.0,0.0,0.0,39.64800990439166,35.999732633269794,24.352257462338553
2024-03-13,0.0,0.0,0.0,0.0,0.0,39.82956097785867,35.7283210539585,24.442117968182835
2024-03-14,0.0,0.0,0.0,0.0,0.0,39.825983857446126,35.72330145608587,24.450714686468007
2024-03-15,0.0,0.0,0.0,0.0,0.0,39.920864056116635,35.620199226429854,24.45893671745351
2024-03-18,0.0,0.0,0.0,0.0,0.0,39.87874146807768,35.688129715664836,24.433128816257486
2024-03-19,0.0,0.0,0.0,0.0,0.0,39.882092762009044,35.650355766970385,24.46755147102057
2024-03-20,0.0,0.0,0.0,0.0,31.606549742871803,27.086176054404703,24.680744271771246,16.62652993095225
2024-03-21,0.0,0.0,0.0,0.0,31.587676376966744,27.141658117813382,24.654063851339032,16.616601653880846
2024-03-22,0.0,0.0,0.0,0.0,31.610327122778116,27.1611207332837,24.671742674144788,16.5568094697934
2024-03-25,0.0,0.0,0.0,0.0,31.670888229402394,27.20118360917368,24.53939808653323,16.5885300748907
2024-03-26,0.0,0.0,0.0,0.0,31.67468100439913,27.20444111077348,24.530361235968673,16.59051664885872
2024-03-27,0.0,0.0,0.0,0.0,31.664726906900974,27.19140239849812,24.558567787918296,16.585302906682607
2024-03-28,0.0,0.0,0.0,0.0,31.66851820624376,27.194658095171143,24.549534990850262,16.58728870773483
2024-04-02,0.0,0.0,0.0,0.0,31.69508274372121,27.157553313669634,24.54616130149556,16.601202641113595
2024-04-03,0.0,0.0,0.0,0.0,31.734689566435854,27.191489946937175,24.576834685971452,16.496985800655516
2024-04-05,0.0,0.0,0.0,0.0,31.74231852993229,27.19798922961883,24.55874059345317,16.500951646995716
2024-04-08,0.0,0.0,0.0,0.0,31.73089430360303,27.260181576385488,24.513911251750077,16.495012868261398
2024-04-09,0.0,0.0,0.0,0.0,31.71187218938274,27.243839575978868,24.52319489015548,16.521093344482907
2024-04-10,0.0,0.0,0.0,0.0,31.788097816271332,27.297306952674965,24.44993798620526,16.46465724484844
2024-04-11,0.0,0.0,0.0,0.0,31.976408469402767,27.2414004776808,24.30462588969734,16.477565163219094
2024-04-12,0.0,0.0,0.0,0.0,31.980274777507393,27.22051201629787,24.44056698800146,16.35864621819327
2024-04-15,0.0,0.0,0.0,0.0,32.011238933509176,27.24686764289536,24.45212816380556,16.2897652597899
2024-04-16,0.0,0.0,0.0,0.0,32.05979505185673,27.288196943914183,24.501339467464526,16.15066853676456
2024-04-18,0.0,0.0,0.0,0.0,32.052024876958065,27.233110221126328,24.54387421494541,16.170990686970196
2024-04-19,0.0,0.0,0.0,0.0,32.052024876958065,27.22099196696079,24.54387421494541,16.183108941135732
2024-04-22,0.0,0.0,0.0,0.0,32.0481412017519,27.229810443487995,24.540900286274212,16.18114806848589
2024-04-23,0.0,0.0,0.0,0.0,32.063681552234044,27.230891692961478,24.516432343199813,16.18899441160466
2024-04-24,0.0,0.0,0.0,0.0,32.09042677181333,27.253605746445363,24.53688218971077,16.11908529203054
2024-04-26,0.0,0.0,0.0,0.0,32.06708301312221,27.294400206349582,24.531157104989294,16.10735967553892
2024-04-29,0.0,0.0,0.0,0.0,32.091403086283144,27.315100617722543,24.440563557767348,16.15293273822697
2024-04-30,0.0,0.0,0.0,0.0,2.5495782630409805,2.1652937586251824,1.9417390201299647,1.2958396748361662
2024-05-02,0.0,0.0,0.0,0.0,32.05639805073102,27.224705995281962,24.4139039943337,16.30499195965331
2024-05-03,0.0,0.0,0.0,0.0,32.05312024351737,27.270396907897542,24.399288973493352,16.277193875091733
2024-05-07,0.0,0.0,0.0,0.0,32.07255407574037,27.226300891865435,24.414082281747554,16.28706275064664
2024-05-08,0.0,0.0,0.0,0.0,31.822294263889578,27.11145214603137,24.41130300639473,16.65495058368432
2024-05-09,0.0,0.0,0.0,0.0,31.967527055462096,27.09375680548774,24.1714131765357,16.76730296251446
2024-05-10,0.0,0.0,0.0,0.0,32.010084082438894,26.814447831015258,24.26454438057944,16.910923705966404
2024-05-13,0.0,0.0,0.0,0.0,32.03728674903585,26.849375387102352,24.248744101635268,16.864593762226534
2024-05-14,0.0,0.0,0.0,0.0,32.06889495067605,26.789356690508875,24.260515875451137,16.88123248336394
2024-05-16,0.0,0.0,0.0,0.0,32.10791312724002,26.82195126076124,24.30220059391921,16.767935018079534
2024-05-17,0.0,0.0,0.0,0.0,30.968595487743116,27.249501652473302,24.72337062840031,17.05853223138327
2024-05-20,0.0,0.0,0.0,0.0,30.968595487743116,27.27425734320318,24.69861493767043,17.05853223138327
2024-05-21,0.0,0.0,0.0,0.0,30.964786669165445,27.28320186120096,24.695577262182223,17.05643420745137
2024-05-22,0.0,0.0,0.0,0.0,30.964786669165445,27.28320186120096,24.70795358519955,17.044057884434043
2024-05-23,0.0,0.0,0.0,0.0,30.922688658990577,27.320266111090802,24.662002522140725,17.095042707777896
2024-05-24,0.0,0.0,0.0,0.0,30.899774319182207,27.374123268787482,24.643727477807445,17.082374934222873
2024-05-27,0.0,0.0,0.0,0.0,30.903591017193577,27.377504483186133,24.646771437439185,17.072133062181106
2024-05-28,0.0,0.0,0.0,0.0,30.9074086581881,27.368533143387612,24.649816149135304,17.074242049288973
2024-05-29,0.0,0.0,0.0,0.0,30.916001800018577,27.376142376811035,24.656669501631054,17.051186321539333
2024-05-31,0.0,0.0,0.0,0.0,2.411733912611203,2.1355921568935914,1.9215202421560866,1.3301501458019698
2024-06-03,0.0,0.0,0.0,0.0,30.927466758091633,27.386294605633584,24.62872901531476,17.057509620960026
2024-06-06,0.0,0.0,0.0,0.0,30.93129030065638,27.364954485700828,24.64413678388202,17.05961842976077
2024-06-11,61.398941359927505,26.93176938577631,0.0,0.0,3.609908583779162,3.1936910207254186,2.876151626758217,1.989538023033379
2024-06-12,61.40071319444864,26.932546575702652,0.0,0.0,3.6100127575728003,3.1908974096905407,2.8762346259863376,1.9895954365990245
2024-06-13,61.400720724963584,26.932549878855568,0.0,0.0,3.6100132003242544,3.190885536499563,2.87623497874328,1.98959568061375
2024-06-19,61.40160668079038,26.93293849073526,0.0,0.0,3.6100652894885483,3.190931578037843,2.8762764801639236,1.9881814807840494
2024-06-20,61.4069229527057,26.93527039754089,0.0,0.0,3.610377856044188,3.1912078551720917,2.867867317088685,1.9883536214484427
2024-06-21,61.404333924048174,26.93413475706902,0.0,0.0,3.6102256358826113,3.191073307987639,2.8720753183884695,1.9881570566240827
2024-06-24,61.409971917710706,26.936607782527684,0.0,0.0,3.6105571178473954,3.1821845524180277,2.8723390252216614,1.988339604274534
2024-06-25,61.4108581405319,26.936996511520668,0.0,0.0,3.6106092227094426,3.1807873500603447,2.8723804766718883,1.988368298505757
2024-06-28,61.41440328761759,26.938551539696,0.0,0.0,3.610817657197268,3.173754928762494,2.873989503013646,1.9884830837130014
2024-07-03,61.41432019354859,26.938515091668492,0.0,0.0,3.6108127717385563,3.1737506346523676,2.874120915108961,1.9884803932830413
2024-07-04,61.41963866730907,26.940847964282078,0.0,0.0,3.611125467750171,3.1639221598924885,2.8743698136821814,1.990095927084013
2024-07-05,61.42407143248971,26.94279233346731,0.0,0.0,3.6113860891342053,3.1655939415868355,2.874577262092866,1.981578941229071
2024-07-08,61.420525169160854,26.94123681566784,0.0,0.0,3.6111775890176294,3.1639678264401025,2.880184710718821,1.9829078889947445
2024-07-11,61.41963866730907,26.940847964282078,0.0,0.0,3.611125467750171,3.1668088231027,2.8786998084974997,1.9828792690584827
