date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD
2024-03-06,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-07,80.75353218210361,0.0,0.0,0.0,0.0,19.24646781789639
2024-03-12,80.39887815518854,0.0,0.0,0.0,0.0,19.601121844811466
2024-03-15,62.60616355253579,0.0,22.13055083717544,0.0,0.0,15.263285610288765
2024-03-18,54.736842105263165,0.0,19.591836734693878,12.158968850698173,0.0,13.512352309344791
2024-03-19,53.26654143185139,0.0,19.07743686078063,13.254017950323524,0.0,14.402003757044458
2024-03-20,53.32499478840942,0.0,19.053575151136126,13.23744006670836,0.0,14.383989993746091
2024-03-21,53.345841150719195,0.0,19.03272878882635,13.23744006670836,0.0,14.383989993746091
2024-03-25,46.47458840372226,0.0,16.338582677165352,11.41732283464567,12.437365783822477,13.332140300644237
2024-03-28,46.50330888928635,0.0,16.329815775353246,11.411196565909497,12.43069218386693,13.324986585583975
2024-04-03,46.54493376297887,0.0,16.344432509846044,11.331901181525241,12.441818832796276,13.336913712853562
2024-04-08,46.57362676686348,0.0,16.335659330828413,11.325818572195384,12.435140454464126,13.329754875648595
2024-04-10,46.53199856989632,0.0,16.32105827672506,11.405076868072936,12.424025741866284,13.317840543439399
2024-04-15,46.523681858802505,0.0,16.318141197497766,11.420911528150134,12.421805183199284,13.315460232350313
2024-04-17,46.53199856989632,0.0,16.32105827672506,11.405076868072936,12.424025741866284,13.317840543439399
2024-04-23,46.74928160919541,0.0,15.930316091954023,11.458333333333332,12.482040229885058,13.380028735632186
2024-04-24,46.82725148301276,0.0,15.944634190185154,11.342800647132842,12.493259032895919,13.392054646773325
2024-04-25,46.45276292335116,0.0,15.811051693404634,11.24777183600713,12.388591800356506,14.09982174688057
2024-04-26,46.32938262869273,0.0,15.690783654696622,11.162214753228374,12.294356978595436,14.523261984786838
2024-05-06,46.49355237590532,0.0,15.668609786256846,11.058116940469882,12.27698286521816,14.502738032149798
2024-05-14,46.503002472624516,0.0,15.665842458495232,11.05616389968209,12.274814553161427,14.500176616036736
2024-05-16,46.63843303335098,0.0,15.56379036527263,11.046409034762661,12.263984471501676,14.487383095112053
2024-05-17,46.59732016925247,0.0,15.550070521861779,11.124823695345556,12.253173483779973,14.474612129760226
2024-05-20,46.614950634696754,0.0,15.53244005641749,11.124823695345556,12.253173483779973,14.474612129760226
2024-05-22,46.62436100828486,0.0,15.529702097655562,11.122862682883836,12.251013573065398,14.472060638110348
2024-05-28,46.46696035242291,0.0,15.524229074889867,11.048458149779735,12.246696035242291,14.713656387665196
2024-06-07,46.05772615276311,0.0,15.505103836677225,11.034846884899684,12.231608588525166,15.17071453713481
2024-06-13,45.91693065821894,0.0,15.505103836677225,11.034846884899684,12.231608588525166,15.311510031678988
2024-06-19,45.86043241342942,0.0,15.486025663561259,11.021269115837582,12.216558270346283,15.415714536825453
2024-06-27,45.86849507735584,0.0,15.488748241912798,11.0056258790436,12.218706047819971,15.418424753867793
2024-06-28,45.699772289367665,0.0,15.431774391311965,11.070239971974075,12.173760728674024,15.624452618672272
2024-07-02,45.709281961471106,0.0,15.429071803852889,11.06830122591944,12.171628721541156,15.621716287215412
2024-07-04,45.74430823117338,0.0,15.394045534150614,11.06830122591944,12.171628721541156,15.621716287215412
2024-07-15,45.690259285213735,0.0,15.399439383321653,11.07217939733707,12.175893482831114,15.662228451296425
2024-07-16,45.72230014025245,0.0,15.41023842917251,11.079943899018232,12.184431977559607,15.603085553997195
2024-07-30,45.696757230499564,0.0,15.407537248028044,11.07800175284838,12.182296231375986,15.635407537248028
2024-08-01,45.618964003511856,0.0,15.43459174714662,11.079894644424934,12.203687445127304,15.66286215978929
2024-08-16,45.626975763962065,0.0,15.437302423603793,11.239901650860554,12.205830698981384,15.489989462592202
2024-08-21,45.58694507808387,0.0,15.423758554132306,11.230040357957536,12.195121951219512,15.564134058606774
2024-08-27,45.59649122807017,0.0,15.421052631578947,11.228070175438596,12.192982456140351,15.561403508771928
2024-09-05,47.931452310888005,0.0,15.215509780162714,11.078414401938723,12.030465639605332,13.744157867405226
2024-09-09,47.92243767313019,0.0,15.21814404432133,11.080332409972298,12.032548476454293,13.746537396121884
2024-09-23,46.32667617689016,0.0,15.674037089871613,11.126961483594865,12.393009985734665,14.4793152639087
