date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,FIRST SHANGHAI SECURITIES LTD,GEO SECURITIES LTD,GRANSING SECURITIES CO LTD,TIGER BROKERS (HK) GLOBAL LTD,HANG SENG SECURITIES LTD,VALUABLE CAPITAL LTD,BOCI SECURITIES LTD
2024-03-19,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,17.824025425256163,13.565508111636978,12.34698057615032,11.093448244237463,0.0,22.567716353575616,8.229020563262715,6.060003070732703,3.5530493413894284,4.760248313758613
2024-03-21,17.874856788251353,13.663311512504075,12.2893088067369,11.087041143869133,0.0,22.496524200199786,8.218134897096135,6.051986664662346,3.573152454554334,4.745683532125938
2024-03-22,17.740469204035563,13.780156562496751,12.292833042498913,11.101245544849132,0.0,22.44256276814765,8.154158733539443,6.084575298630956,3.652235279251707,4.751763566549889
2024-03-25,17.6955617809502,13.789006629760578,12.348328012746366,11.099040387396734,0.0,22.413274697293332,8.160815676340924,6.083366655284563,3.659786486576501,4.750819673650802
2024-03-26,17.641037489512144,13.762201758949555,12.372218679127773,11.090778843617338,0.0,22.396591430660518,8.187823307368506,6.1036501018565215,3.6984149763525735,4.747283412555073
2024-03-27,17.6148069358224,13.847901491669164,12.419005992570508,11.061802015851034,0.0,22.321430595323847,8.152102975914064,6.099652378338127,3.727217314103965,4.75608030040689
2024-03-28,17.656497114525667,13.810650983766243,12.44069704325897,11.068251922538476,0.0,22.30120997487663,8.054129747204337,6.151773948018037,3.7238408886409586,4.79294837717068
2024-04-02,17.663255122966888,13.773762762369953,12.471621509598323,11.051869127219504,0.0,22.26820059264168,8.140885741032225,6.109775864229236,3.7183290044241932,4.802300275517999
2024-04-03,17.78897376109107,13.629486700395185,12.45930022139463,11.072896329107984,0.0,22.260878440404174,8.138208883308764,6.107766868988294,3.741767595459074,4.800721199850826
2024-04-05,17.75117953959453,13.611196218474683,12.499375197087584,11.089353252407506,0.0,22.21977818352763,8.132192385098836,6.1607518068930585,3.747215679024634,4.788957737891537
2024-04-08,17.75117953959453,13.611196218474683,12.49116086134506,11.089353252407506,0.0,22.21977818352763,8.132192385098836,6.1607518068930585,3.7554300147671573,4.788957737891537
2024-04-09,17.7482637356511,13.617173433528265,12.480896080187131,11.087531718245714,0.0,22.216128368781227,8.09800464754835,6.18437880284372,3.779452108223935,4.788171104990557
