date,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,DEUTSCHE BANK AG,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,FUTU SECURITIES INTERNATIONAL,DBS BANK LTD,TOTAL_CCASS_PCT
2024-03-01,6.031374752378241,0.0,12.038200430497934,0.0,8.978480338014732,0.0,0.0,0.0,0.9269854750169264,0.0,27.975040995907836
2024-03-04,6.029859237098521,0.0,12.049045836718433,0.0,8.978480338014732,0.0,2.7469257425639952,1.5456124659785349,0.9249963612122936,0.0,32.27491998158651
2024-03-05,6.065702262740515,25.327034190687275,12.126913816907955,0.0,8.961336071412894,0.0,2.747186221752697,1.5445705492237272,0.9249963612122936,0.0,57.69773947393736
2024-03-06,6.06589170215048,25.319622373772393,12.126700697571744,0.0,8.941208134104109,0.0,2.747186221752697,1.5415631985905323,0.9251858006222585,0.0,57.66735812856422
2024-03-07,6.06572594266676,25.319622373772393,12.127126936244165,0.0,8.941160774251617,0.0,2.748370218064979,1.5368272133414063,0.9275537932468216,0.0,57.66638725158815
2024-03-08,6.065631222961778,25.319622373772393,12.079932843236625,0.0,8.940923974989161,0.0,2.749199015483576,1.5356905768816158,0.9298270661664021,0.0,57.620827073491554
2024-03-11,6.065607543035532,25.319622373772393,12.079932843236625,0.0,8.939739978676881,3.7142754752209197,2.7444630302344497,1.5338435426344565,0.930987382552438,0.0,61.32847216936369
2024-03-12,6.065749622593006,25.319622373772393,12.07990916331038,0.0,8.939739978676881,3.7142754752209197,2.7442262309719934,1.5307177923700335,0.9366942447776349,0.0,61.330934881693246
2024-03-13,6.066081141560445,25.319622373772393,12.080074922794099,0.0,8.939739978676881,3.7142754752209197,2.7442262309719934,1.5280656406305229,0.9366942447776349,0.0,61.328780008404884
2024-03-14,6.067999215586341,25.319622373772393,12.080051242867853,0.0,8.936401109076247,3.7142754752209197,2.7442262309719934,1.5267395647607676,0.9366942447776349,0.0,61.32600945703415
2024-03-15,6.068093935291323,25.319622373772393,12.083982110624628,0.0,8.932730720508173,3.7142754752209197,2.7435868729633617,1.5222640587003435,0.9343262521530717,0.0,61.31888179923421
2024-03-18,6.069098508802441,25.319622373772393,12.162485683714511,0.0,8.932707040581928,3.7142754752209197,2.7435868729633617,1.5222640587003435,0.9278853122142603,0.0,61.391925325970156
2024-03-19,6.0586793649342905,25.320806370084675,12.173260050156271,0.0,8.932446561393226,3.7142754752209197,2.744131511267011,1.5222640587003435,0.9283825906654186,0.0,61.394245982422156
2024-03-20,5.916718207091737,25.320806370084675,12.177948675552907,0.0,8.911987105117001,3.7142754752209197,2.742213437241115,1.5222640587003435,0.9302533048388234,0.0,61.23646663384752
2024-03-21,5.9800534850253495,25.320806370084675,12.114708117324277,0.0,8.911987105117001,3.7142754752209197,2.742213437241115,1.5217431003229396,0.9295429070514545,0.08982608246437795,61.32515607985211
2024-03-22,6.091083212808074,25.320806370084675,12.145426428047895,0.0,8.911987105117001,3.714749073745832,2.742213437241115,1.5138103250306534,0.9328580967258427,0.08982608246437795,61.46276013126547
