date,BANK OF CHINA (HONG KONG) LTD,CHINA CONSTRUCTION BANK (ASIA),THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CHINA SECURITIES DEPOSITORY AND CLEARING,INTERACTIVE BROKERS HONG KONG LTD,KGI ASIA LTD,INDUSTRIAL AND COMMERCIAL BANK OF CHINA
2024-03-01,6.815434145105896,0.0,28.83503639121287,24.556253134579457,18.58310744111944,9.64983885141856,0.0,11.560330036563775,0.0,0.0
2024-03-04,4.182941371209933,38.711156772183976,17.71327397100826,15.064555970232748,11.36068993282143,5.873405007986684,0.0,7.093976974556973,0.0,0.0
2024-03-05,4.181728792407011,38.70749059904591,17.711596420280394,15.062965982649423,11.359614008986172,5.8521114459784,0.0,7.124492750652686,0.0,0.0
2024-03-06,4.18103243445929,38.70104487526682,17.702932958780725,15.06045763823041,11.361640571637661,5.875135967509939,0.0,7.11775555411516,0.0,0.0
2024-03-07,3.909440236584808,36.23378563737259,16.552329542784218,14.100327146803144,10.60651670917006,5.567687254441239,0.0,6.667043214444162,6.362870258399779,0.0
2024-03-08,3.8664450102350716,36.1790227537172,16.53784350521221,14.079016247004505,10.7451341516741,5.592390862592545,0.0,6.646893902259539,6.353253567304833,0.0
2024-03-11,3.868202150521969,36.19403594923769,16.58214638186104,14.091271299171815,10.758906721973007,5.61791935842143,0.0,6.531628164255139,6.355889974557911,0.0
2024-03-12,3.8685934130235444,36.22343308013578,16.5853764815759,14.102716360106252,10.842134674254401,5.564568408825381,0.0,6.452125294873025,6.36105228720572,0.0
2024-03-13,3.8648728489409074,36.18716634347422,16.573350900081866,14.095924179910794,10.919339452496667,5.570446243468759,0.0,6.434216401077118,6.354683630549676,0.0
2024-03-14,3.869991275137578,36.227936023855854,16.595690820722062,14.111805122840785,10.802014487957422,5.592921657683224,0.0,6.437797580650301,6.361843031152777,0.0
2024-03-15,3.880426835049011,36.31415348081913,16.465063210503057,14.145389259404665,10.72937395642779,5.634725329952035,0.0,6.453884593711416,6.376983334132895,0.0
2024-03-18,3.8850213582311564,36.35868406527597,16.43778006246075,14.168425973601131,10.650975348086789,5.65474027600761,0.0,6.45983907319881,6.3845338431377785,0.0
2024-03-19,3.8795499006691743,36.28599119470433,16.37935380590942,14.139792538976478,10.832980615322205,5.670833151282242,0.0,6.439729715947719,6.371769077188431,0.0
2024-03-20,3.8815732660793008,36.32641446322819,16.38702749417019,14.165504806833123,10.848879632506263,5.602678345851574,0.0,6.409054644979019,6.378867346352339,0.0
