date,BNP PARIBAS,REALINK FINANCIAL TRADE LTD,THE HONGKONG AND SHANGHAI BANKING,MIB SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,CELESTIAL SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0,0.0
2024-03-08,0.0,82.61193431122773,0.0,0.0,0.0,17.388065688772272,0.0
2024-03-11,0.0,82.68685661375015,0.0,0.0,0.0,17.31314338624986,0.0
2024-03-12,45.4556260552189,45.19747635332415,0.0,0.0,0.0,9.346897591456946,0.0
2024-03-19,45.45827724047495,45.2001124820791,0.0,0.0,0.0,9.341610277445952,0.0
2024-03-21,45.25635070286933,44.99933271727173,0.0,0.0,0.0,9.744316579858943,0.0
2024-03-22,33.77367716263284,33.584025578021524,25.369892148042396,0.0,0.0,7.272405111303239,0.0
2024-03-26,33.525241638769074,33.336985110744216,25.918863166238886,0.0,0.0,7.218910084247816,0.0
2024-03-27,33.510826315879854,33.3226507351802,25.90771846561335,0.0,0.0,7.258804483326599,0.0
2024-03-28,33.509396820569634,33.32336716118327,25.908275473017607,0.0,0.0,7.258960545229488,0.0
2024-04-03,33.505074732216514,33.31906906719293,25.917831926133005,0.0,0.0,7.25802427445755,0.0
2024-04-08,30.67708025205565,30.506774387679275,23.730238368719913,0.0,8.430654736732018,6.655252254813143,0.0
2024-04-12,30.67889175954179,30.508575838460356,23.731639659328398,0.0,8.43115257401129,6.649740168658166,0.0
2024-04-15,30.67949564291413,30.50917636933373,23.732106792975234,0.0,8.431318532836954,6.647902661939955,0.0
2024-04-16,30.680099550060618,30.50977692384927,23.732573945012554,0.0,8.431484498196214,6.646065082881345,0.0
2024-04-19,30.690369610356928,30.51998996921842,23.740518344443338,0.0,8.434306909317877,6.614815166663436,0.0
2024-04-25,30.669836360900522,30.49957071147076,23.72463486074537,0.0,8.42866397539562,6.677294091487733,0.0
2024-04-30,5.0062198069491,4.9784274426016655,3.906284513909285,0.0,1.3758059887641654,1.0745133020254012,0.0
2024-05-02,30.63607671964225,30.465998489120622,23.904909626772223,0.0,8.41938617329888,6.573628991166022,0.0
2024-05-09,30.680099550060618,30.50977692384927,23.732573945012554,0.0,8.431484498196214,6.646065082881345,0.0
2024-05-17,30.605996924663835,30.436085684137403,23.675251900347114,0.0,8.752800772564552,6.529864718287093,0.0
2024-05-20,30.562785642693864,30.393114292491617,23.641825837210067,0.0,8.74436489628709,6.657909331317359,0.0
