date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,HANG SENG SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,25.654959400278326,27.352317898862626,24.449978721331238,0.0,7.342617187119349,5.121931384409812,5.320814343096565,1.7096937663967275,1.4366529011776934,1.6110343973276577
2024-03-04,25.73234901388302,27.242178086571144,24.422709564582465,0.0,7.369347804381622,5.122172536399003,5.319619942411492,1.7341395869671987,1.4379298987483842,1.6195535660556692
2024-03-05,26.040432155732557,27.139604202431027,24.31887705603538,0.0,7.252940107055634,5.048188906713925,5.433280564008852,1.710658265612289,1.4450170959543338,1.6110016464559989
2024-03-06,26.090720184717135,27.187497391839994,24.324810914446555,0.0,7.206632804789651,5.139031037552657,5.45833548925508,1.4960002989226944,1.4620854062665178,1.6348864722097183
2024-03-07,26.399957435442957,27.242434013196952,24.239791172703978,0.0,6.898966754247024,5.330699915841382,5.46345281135488,1.2948935451248043,1.485733264628464,1.6440710874595619
2024-03-08,26.49958906104002,27.24041027995047,24.146087590815636,0.0,6.880243019575288,5.431398429052306,5.470117113029882,1.187866180970873,1.4928454889431881,1.651442836622335
2024-03-11,26.520883900735182,27.22006066062596,24.15189655064064,0.0,6.825660842120125,5.4615150708212825,5.475450917093743,1.1740410989356878,1.4969587804647155,1.6735321785626627
2024-03-12,26.45570043474088,27.18021052796188,23.759746350212975,0.0,7.212965996305753,5.5008760819855365,5.5313347879721615,1.1718404899800183,1.5012004535875942,1.6861248772532051
2024-03-13,26.538370141416795,26.948717338435486,23.60082801807607,0.0,7.473026655141029,5.504752730688148,5.542991672637826,1.1970114532664429,1.5077754747773364,1.6865265155608673
2024-03-14,23.04331195341154,23.973950527931613,20.77637354451741,11.774505908720636,6.795002097840011,4.847018521220345,4.901139258885916,1.0527789529655835,1.3338081134841682,1.5021111210227787
