date,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,STANDARD CHARTERED BANK (HONG KONG) LTD,SOUTH CHINA SECURITIES LTD,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,LONG BRIDGE HK LTD,HANG SENG SECURITIES LTD
2024-03-11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,78.83461868037703,0.0,0.0,0.0,0.0,21.165381319622963,0.0,0.0
2024-03-19,78.77399026067029,0.0,0.0,0.0,0.0,21.226009739329704,0.0,0.0
2024-03-21,53.30150402898606,19.04285633409447,0.0,0.0,0.0,13.983506633201864,0.0,13.672133003717612
2024-03-22,53.52290738923693,18.824062193373084,0.0,0.0,0.0,13.9821873348932,0.0,13.670843082496791
2024-03-25,53.543113862881306,18.82173059498641,0.0,0.0,0.0,13.959151313802476,0.0,13.67600422832981
2024-04-11,53.455253801346544,18.85732657538392,0.0,0.0,0.0,13.985551100688404,0.0,13.701868522581135
2024-04-15,45.50353058499944,16.03802415917389,14.910488813112222,0.0,0.0,11.894613244117032,0.0,11.653343198597417
2024-04-18,39.5327063624041,13.507357359455568,13.3801931219519,0.0,13.121672419334555,10.333841058677212,0.0,10.124229678176661
2024-04-26,39.36323762279116,13.503174002606466,13.417693137708273,0.0,13.158447891705555,10.404842981460462,0.0,10.152604363728086
2024-04-30,39.36323762279116,13.503174002606466,13.417693137708273,0.0,13.144434635164867,10.404842981460462,0.0,10.166617620268774
2024-05-06,39.19062386500154,13.418824909898582,13.375520353141676,0.0,13.103120721928867,10.372139803872265,0.40510714385494373,10.134663202302125
2024-05-08,39.19062386500154,13.383901880255916,13.375520353141676,0.0,13.103120721928867,10.372139803872265,0.44003017349761125,10.134663202302125
2024-05-10,39.17420688114388,13.378295352993744,13.369917336907951,0.0,13.097631814119751,10.36779490616622,0.48173592493297585,10.130417783735478
2024-05-13,39.16873760924804,13.376427554240081,13.368050707843521,0.0,13.095803199955325,10.366347415742887,0.49563007846312795,10.129003434507023
2024-05-14,39.201576167453815,13.27585725064975,13.3792583070173,0.0,13.106782550373083,10.375038426068246,0.5239918397004164,10.137495458737389
