date,CHINA CITIC BANK INTERNATIONAL LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,CMB INTERNATIONAL SECURITIES LTD,EMPEROR SECURITIES LTD,KINGSTON SECURITIES LTD,SINOLINK SECURITIES (HONG KONG) CO LTD,TAI FUNG KUENTAI SECURITIES CO LTD
2024-03-01,0.0,4.96141989689443,16.99852425348022,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,4.97033370940919,16.95901078606404,0.0,4.704996285542816,1.6293983630059379,0.0,0.0,0.0
2024-03-05,0.0,4.958093847448623,16.961804667598518,0.0,4.6916920877595905,1.6440329805674847,0.0,0.0,0.0
2024-03-06,0.0,4.95609821778114,0.0,0.0,4.704331075653654,0.0,0.0,0.0,0.0
2024-03-07,2.8398674941148174,0.0,16.95901078606404,0.0,0.0,1.7564534518357298,0.0,0.0,0.0
2024-03-08,0.0,0.0,16.957680366285718,0.0,0.0,1.83534734469025,0.0,0.0,0.0
2024-03-11,0.0,4.948514825044701,0.0,0.0,4.7044641176314865,0.0,0.0,0.0,0.0
2024-03-13,0.0,0.0,16.95435431683991,0.0,4.7218926167275095,0.0,0.0,0.0,0.0
2024-03-14,0.0,4.955166923936314,16.95847861815271,0.0,0.0,0.0,93.78155625790374,0.0,0.0
2024-03-15,0.0,4.961819022827926,0.0,0.0,0.0,0.0,93.73485852368462,5.2386609191224,0.0
2024-03-18,0.0,0.0,16.977237537027058,0.0,0.0,0.0,93.71490222700979,0.0,0.0
2024-03-19,2.97823115106035,0.0,0.0,0.0,0.0,0.0,93.68177477452956,0.0,0.0
2024-03-20,3.111273128892593,4.9684711217195385,16.786056214882127,0.0,0.0,0.0,93.65955676423158,0.0,0.0
2024-03-21,0.0,4.970599793364854,16.773417226988062,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,4.977251892256467,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-25,0.0,4.977102220031406,16.772485933143237,0.0,4.761805210077183,0.0,0.0,0.0,0.0
2024-03-26,0.0,4.983754318923017,16.739225438685175,0.0,4.8035803911165065,0.0,93.58970972586965,0.0,0.0
2024-03-27,3.104621030000981,4.986415158479662,16.540992891715135,5.278447122593132,4.819545428456376,0.0,93.4619894271507,0.0,0.0
2024-03-28,3.176463698030392,4.973110960696438,0.0,0.0,4.818215008678054,0.0,93.42207683380103,0.0,0.0
2024-04-02,3.4486675846751615,4.952888580065936,16.537400758313662,0.0,4.819412386478544,0.0,93.33892559765587,0.0,0.0
2024-04-03,0.0,4.762771593743661,16.637182241687846,0.0,4.819545428456376,0.0,93.27905670763136,0.0,0.0
2024-04-05,3.515188573591283,4.931069695701449,0.0,0.0,0.0,0.0,93.19790110115369,0.0,0.0
2024-04-08,0.0,0.0,0.0,0.0,0.0,0.0,93.11275423534106,0.0,0.0
2024-04-09,3.648230551423526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-10,3.6947952436648106,0.0,0.0,0.0,0.0,0.0,93.03652118204319,0.0,0.0
2024-04-11,3.7611831906031,0.0,0.0,0.0,0.0,0.0,93.0139040458117,0.0,0.0
2024-04-12,4.223504063570145,4.937721794593061,0.0,0.0,0.0,0.0,92.92343550088577,0.0,0.0
2024-04-15,4.290025052486266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-16,4.957496655270629,4.9796300176102175,16.869074409049446,0.0,4.816884588899732,2.2477774759702034,0.0,0.0,5.00604699903106
2024-04-17,5.213336378642032,0.0,16.828230521854945,0.0,4.840166935020374,0.0,92.69061203967935,0.0,0.0
2024-04-18,5.446159839848457,4.990672501770295,16.8296939836111,0.0,4.863449281141016,2.4007757504772824,92.63633091272379,0.0,0.0
2024-04-19,5.452944980717902,0.0,16.834350452835228,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-22,5.547271743000962,4.9796300176102175,0.0,0.0,0.0,2.446675232829407,0.0,0.0,0.0
2024-04-23,5.747366877660656,4.982290857166863,0.0,0.0,0.0,0.0,92.5332233799038,0.0,0.0
2024-04-24,5.962229671859728,0.0,0.0,0.0,0.0,0.0,92.26713942423932,0.0,0.0
2024-04-25,6.314524829159507,4.984818654745675,16.93413193620941,0.0,0.0,2.779280177410014,91.93453447965871,0.0,0.0
2024-04-26,0.0,0.0,16.931471096652768,0.0,4.840166935020374,2.7909878714592513,0.0,0.0,0.0
2024-04-30,6.315056997070837,5.026194709851503,16.918299940847376,0.0,4.837240011508064,0.0,0.0,0.0,0.0
2024-05-02,6.315589164982166,5.053202231351448,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,6.319314340361467,0.0,16.9192312346922,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-06,0.0,5.082072340541044,16.912579135800588,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,5.1120067855533,16.905927036908977,0.0,0.0,2.80748507671045,0.0,0.0,0.0
2024-05-08,0.0,5.127705738937504,16.83607999854705,0.0,4.817017630877564,2.9405270545426925,0.0,0.0,0.0
2024-05-09,0.0,5.123714479602537,16.90499574306415,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,16.917767772936045,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-13,6.385835329277589,0.0,16.851379825997757,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,6.452356318193711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,6.491204575720726,0.0,16.854705875443564,0.0,0.0,0.0,0.0,0.0,4.999394900139449
2024-05-17,6.557725564636847,0.0,0.0,0.0,0.0,0.0,91.93466752163656,0.0,0.0
2024-05-20,6.690767542469091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,5.138748223097581,16.86228926818,0.0,4.840299976998206,0.0,0.0,0.0,0.0
2024-05-22,0.0,5.14819420352367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,6.763009336431998,0.0,16.868542241138115,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-28,0.0,5.154846302415282,16.871868290583922,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-29,6.764605840165985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-30,0.0,5.165888786575358,16.8725201962753,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-03,6.767798847633959,5.159236687683745,0.0,0.0,0.0,3.1400900212910567,0.0,0.0,0.0
2024-06-04,0.0,0.0,0.0,0.0,0.0,3.2066110102071783,0.0,0.0,0.0
2024-06-07,0.0,5.159196775090396,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-11,0.0,0.0,0.0,0.0,7.8337444782236725,3.346571170886698,0.0,0.0,0.0
2024-06-12,0.0,0.0,16.87784187538859,0.0,0.0,3.399787962019595,0.0,0.0,0.0
2024-06-13,6.861194316072194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-14,6.927715304988315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-17,6.992905874126114,0.0,0.0,0.0,7.830418428777867,0.0,0.0,0.0,0.0
2024-06-18,7.0200464376038925,5.175827022319426,16.877166687351092,0.0,0.0,0.0,0.0,0.0,4.992742801247836
2024-06-19,0.0,0.0,16.8842179121762,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-20,7.086567426520013,0.0,0.0,0.0,7.821105490329611,0.0,0.0,0.0,0.0
2024-06-21,0.0,0.0,16.88554833195452,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-24,0.0,0.0,16.902178579183552,0.0,7.521761040207063,3.5494601870808684,0.0,0.0,0.0
2024-06-25,0.0,0.0,0.0,0.0,7.470273794785985,0.0,0.0,0.0,0.0
2024-06-26,7.2029791571232265,0.0,0.0,0.0,7.360248079118721,0.0,0.0,0.0,0.0
2024-06-27,0.0,5.179818281654393,0.0,0.0,7.346278671446335,0.0,0.0,0.0,0.0
2024-06-28,0.0,5.185139960767684,0.0,0.0,7.279757682530214,0.0,0.0,0.0,0.0
2024-07-03,0.0,0.0,0.0,0.0,7.662709106873747,0.0,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,0.0,6.611630314145245,0.0,0.0,0.0,0.0
2024-07-09,0.0,0.0,17.80765848790662,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-10,0.0,5.468203964289117,17.842689776825715,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-11,7.656529587508419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-12,0.0,5.475350347228612,17.850116410076563,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-15,7.726311915035254,0.0,0.0,0.0,0.0,3.8610435707958057,0.0,0.0,0.0
2024-07-16,0.0,5.4781528503421395,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-17,0.0,5.478292975497816,17.850396660387915,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-18,0.0,5.548355553336004,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,5.6884807090123815,0.0,0.0,0.0,0.0,96.748713110976,0.0,0.0
2024-07-22,0.0,5.7585432868505695,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,5.845981383992629,0.0,0.0,0.0,4.025690628715549,0.0,0.0,0.0
2024-07-24,0.0,0.0,17.810180740708798,0.0,0.0,0.0,96.67865053313781,0.0,0.0
2024-07-26,7.468797028832047,0.0,0.0,0.0,0.0,0.0,91.71328567052369,0.0,0.0
2024-07-29,0.0,5.670211011944041,0.0,0.0,0.0,0.0,91.59354789047468,0.0,0.0
2024-07-30,7.6018390066642905,5.929509826739083,16.840713185425056,0.0,0.0,0.0,91.40037093866226,0.0,0.0
2024-07-31,7.6683599955804125,6.188808641534125,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,6.326507088590497,0.0,0.0,0.0,0.0,91.26732896083001,0.0,0.0
2024-08-02,0.0,6.338746950551062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-06,7.801401973412656,6.597380555456943,16.873973679883118,0.0,0.0,0.0,91.21411216969712,0.0,0.0
2024-08-07,0.0,6.630108882003674,0.0,0.0,0.0,0.0,91.13960866211106,0.0,0.0
2024-08-08,7.866060374639125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-09,7.976485216239887,6.632503637604654,16.828739407420155,0.0,0.0,0.0,90.8336121130969,0.0,0.0
2024-08-12,8.01639780958956,6.629177588158849,0.0,0.0,0.0,3.8261875009719337,0.0,0.0,0.0
2024-08-13,0.0,0.0,0.0,0.0,0.0,0.0,90.63404914634854,0.0,0.0
2024-08-19,0.0,6.682138453822348,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-20,8.187263732299996,0.0,17.009683407361162,0.0,0.0,0.0,91.2265441806244,0.0,0.0
2024-08-22,0.0,0.0,0.0,0.0,0.0,0.0,91.00993374742083,0.0,0.0
2024-08-23,8.355156949113915,0.0,0.0,0.0,0.0,0.0,90.87572653973585,0.0,0.0
2024-08-26,8.455812354877658,0.0,17.01639376774541,0.0,0.0,0.0,90.70125716974536,0.0,0.0
2024-08-27,0.0,0.0,0.0,0.0,0.0,0.0,90.63603246681046,0.0,0.0
2024-08-28,0.0,0.0,0.0,0.0,0.0,0.0,90.52866670066247,0.0,0.0
2024-08-30,0.0,0.0,17.033169668706037,0.0,0.0,0.0,90.50263050237159,0.0,0.0
2024-09-02,0.0,0.0,0.0,0.0,0.0,0.0,90.50236208795621,0.0,0.0
2024-09-03,0.0,0.0,17.469343093682248,0.0,0.0,0.0,90.38855437583935,0.0,0.0
2024-09-04,0.0,0.0,17.48236119282769,0.0,0.0,0.0,90.25434716815435,0.0,0.0
2024-09-05,0.0,0.0,17.515912994748938,0.0,0.0,0.0,90.05974671701112,0.0,5.170678259623948
2024-09-09,0.0,6.683883147522252,0.0,0.0,0.0,4.084495710486843,89.85843590548365,0.0,0.0
2024-09-10,0.0,0.0,17.542754436285936,0.0,0.0,4.185151116250584,89.54975932780816,0.0,0.0
2024-09-11,0.0,6.704014228675,17.536044075901685,0.0,6.298310704854561,4.319358323935572,0.0,0.0,0.0
2024-09-12,0.0,6.705356300751849,0.0,0.0,6.2647589029333135,4.436789630659936,0.0,0.0,0.0
2024-09-13,0.0,0.0,0.0,0.0,0.0,4.464167901027674,0.0,0.0,0.0
2024-09-16,0.0,0.0,17.60314767974418,0.0,6.214431200051443,4.535968757139141,0.0,0.0,0.0
2024-09-17,0.0,0.0,0.0,0.0,0.0,4.545900090507831,0.0,0.0,0.0
2024-09-19,0.0,0.0,0.0,0.0,6.1808793981301955,0.0,0.0,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0,6.162627217885038,4.559320811276329,0.0,0.0,0.0
2024-09-27,0.0,6.70884568815166,17.604087130197975,0.0,0.0,0.0,89.53633860703967,0.0,0.0
2024-09-30,0.0,0.0,17.604221337405658,0.0,6.13041748804064,4.5995829735818266,0.0,0.0,0.0
2024-10-02,0.0,0.0,0.0,0.0,6.0968656861193935,4.6411872079641725,0.0,0.0,0.0
2024-10-03,8.529626319104402,0.0,17.595497868906136,5.358229477183526,0.0,0.0,0.0,0.0,0.0
2024-10-04,8.66383352678939,6.721729580089418,17.70433991433866,5.3606452069218555,5.132050070072015,4.759960586765387,0.0,0.0,5.204230061545194
