date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMB INTERNATIONAL SECURITIES LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA MERCHANTS SECURITIES (HK) CO LTD,UBS SECURITIES HONG KONG LTD,CMB WING LUNG BANK LTD
2024-03-01,25.09000211630021,15.826320550800215,17.133699863500407,14.982247006819598,7.131834306345884,2.0360986283353406,3.7569900167009016,9.28208344912574,2.9608282124660374,1.799895849605666
2024-03-04,25.052203918494197,15.835684154059557,17.140741435125708,15.023709730597698,7.137384445873655,2.038055813635264,3.747115903865687,9.26113823446068,2.962476082702721,1.8014902811848315
2024-03-05,25.151687565123904,15.723051579304759,17.1151997867735,15.079200460516413,7.13708107371768,2.038890108760643,3.7523017277850577,9.23989628475014,2.9600029456095425,1.802688467658363
2024-03-06,25.19079052367495,15.733582587140654,17.125957946807812,15.078352708403786,7.125524577253837,2.039494575883063,3.7481909970386313,9.197316937042311,2.9587952197356464,1.8019939270193075
2024-03-07,25.093570422846273,15.734482079906034,17.222064971464803,15.106467678392587,7.118136224985284,2.0366994679864825,3.743642946991057,9.185710829516932,2.9575710010694705,1.8016543768410749
2024-03-08,24.983033321694116,15.71653521030294,17.244753360532584,15.229229297206064,7.109554576504238,2.035579935719843,3.7391280019698625,9.175669897103825,2.966648098628185,1.7998683003383407
2024-03-11,25.00776539631221,15.749072764059491,17.217418188042995,15.242762783338263,7.098679859731558,2.034088714174251,3.7363109998943185,9.16894800109488,2.946709829880119,1.7982434634719207
2024-03-12,24.998508056938235,15.804870690517461,17.16590525137523,15.350817379438485,7.092728537627137,2.0370237325324045,3.7458810546263313,9.056298670312929,2.94967219498215,1.7982944316496434
2024-03-13,24.974632348542876,15.787520585181305,17.18927512226791,15.37242697807519,7.095753326221141,2.0389951017584793,3.743736448004189,9.048937863540104,2.94930175436662,1.7994204720421858
2024-03-14,25.023787202740305,15.77509552481292,17.188895306272332,15.439807307455656,7.106715540628522,2.0394966898209885,3.7298495803064666,8.947476281219554,2.949320663960029,1.799555902783225
2024-03-15,25.0894161102715,15.780776346395822,17.510251759230474,15.46820840999897,7.084241918408021,2.0410367431763468,3.7303195507047997,8.557308881324733,2.941829870193184,1.7966104102961484
2024-03-18,25.287462995180977,15.849690278662617,17.44024426096994,15.467525868706957,7.035953279455464,2.0435068675835804,3.731166978839864,8.323855245397718,3.02394569589344,1.7966485293094383
2024-03-19,25.43925019186198,15.868584221365357,17.336908723865218,15.51795645408216,7.0224916568931555,2.0446060702617284,3.734374437258866,8.19990958307866,3.0438471561584484,1.7920715051744232
2024-03-20,25.473946447444295,15.83185231146848,17.368453390850437,15.52567917026903,7.000120970205172,2.0458275761019933,3.746243226054058,8.17183693853555,3.0433409950877905,1.7926989739831911
2024-03-21,25.63144127156678,15.374875528323859,17.367310848405126,15.189654464580554,6.9920917686078665,2.0438621754056254,4.4891685706488325,8.055574714464345,3.0611545752329072,1.7948660827641054
2024-03-22,25.950646065908035,14.5086651655676,17.52240631354434,16.281874985240876,7.044596064513302,2.0644114281835275,3.76799876248535,7.948237345366346,3.098388548495497,1.8127753206951331
2024-03-25,26.334804534381977,14.019902109655554,18.05013837507685,15.796561989680766,7.093246509696911,2.075382541256169,3.8145234401980757,7.9866356045770175,3.006247360563152,1.822557534913525
2024-03-26,26.29914832569445,14.625768907363671,18.032806793780125,14.826708841918279,7.030147431326093,2.0619720345453723,4.412016975162291,7.9307198422367176,2.971949847599132,1.8087610003738732
2024-03-27,26.471466214826435,14.915918655645195,18.187811554073235,14.705950403047371,7.05291230117826,2.068812918461346,3.849780632783515,7.957629535207782,2.9802649576951565,1.809452827081707
2024-03-28,19.604916226969056,11.321564308430471,13.568122810129601,12.2700506440106,5.231415671722746,1.5357036204779344,3.0336570196653314,5.930138413497424,2.3822381533279575,1.3420227171507557
2024-04-02,25.738072002532675,15.207992286731253,17.872421868704212,15.960409423676023,6.856313019110154,2.0108344400824243,3.906456399227456,7.78285765136954,2.904841421069901,1.7598014874963657
2024-04-03,25.77945686472505,15.697951773043561,17.943034637012023,15.487228842616545,6.857657668347892,2.014642663350211,3.743242109165687,7.7934944689783165,2.9218415244677467,1.7614494482929688
2024-04-05,25.68045190940747,15.936463120848787,17.84973297524439,15.507814092594039,6.838032574040026,2.0099447433482647,3.709763864456414,7.780340782791129,2.932957693676034,1.7544982435934473
2024-04-08,25.72634678056153,16.05069862985733,17.782225978006004,15.506207529057239,6.816292633786489,2.0001988515131215,3.690076289797796,7.751431926273911,2.926366158116772,1.750155223029801
2024-04-09,25.725398599417144,15.768387654230557,17.78157058874606,15.816701210635243,6.816792263707611,2.0001251313362065,3.655851510986564,7.751146236212388,2.932434377976559,1.7515924267516716
2024-04-10,25.80623214137737,16.437446603297666,17.749912431018608,15.150314527353794,6.786137215464852,1.9943863385178486,3.6547821877479048,7.750437124903765,2.921321760761202,1.749029669556987
2024-04-11,25.882096441089764,16.50341872627686,17.753876525369645,15.013997850071506,6.77278723695035,1.9955407671858432,3.658759992692553,7.754923380467034,2.9247735954805414,1.739825484415906
2024-04-12,25.902168732072532,16.542640136416626,17.718577377871767,15.025709665019814,6.762104223971249,1.9936314327969735,3.65098128229251,7.739848353543975,2.925577576505426,1.7387612195091207
2024-04-15,25.95379772496365,16.311135881538934,17.708545806300965,15.203857039231988,6.750462891943807,1.992720565668105,3.6857612836046663,7.736312106406369,2.9195899323748176,1.737816767966696
2024-04-16,25.951861181238073,16.547711304386105,17.661368602380666,15.078398082265204,6.730274745731142,1.991004729971865,3.6868243458667287,7.696222487802112,2.920164005184623,1.7361705151734783
2024-04-17,25.94015151418031,16.508437160437857,17.66828856935444,15.123582561342245,6.736045947754415,1.9915143824276342,3.6870866088568217,7.693544381378572,2.91368435251241,1.7376645217552968
2024-04-18,25.846428967614223,16.54409011854673,17.600163992996467,15.319308080619445,6.726280000021742,1.988848430120191,3.6820011287980146,7.665276557647351,2.8895690142242207,1.738033709411614
2024-04-19,25.825254275875647,16.231473443006323,17.621908452451102,15.412852777645652,6.734219943799329,1.9887168661776267,3.8776457235540325,7.6716570837749645,2.897005124611326,1.7392663091039988
