date,CITIBANK N.A.,FUTU SECURITIES INTERNATIONAL,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-06-27,106691998.0,83977685.0,0.0,18643400.0,22282822.0,37774054.0,9742800.0,0.0,21335200.0
2024-06-28,106694798.0,83973285.0,0.0,18489800.0,22280222.0,37780169.0,9775600.0,0.0,21342400.0
2024-07-02,106515598.0,83980085.0,40026400.0,18197800.0,22282222.0,37767769.0,9792800.0,0.0,21422800.0
2024-07-03,106490798.0,83990885.0,40034400.0,18206200.0,22334123.0,37672968.0,9825600.0,0.0,21448400.0
2024-07-04,106461998.0,83999285.0,40035600.0,18259800.0,22580123.0,37468168.0,9864800.0,0.0,21486400.0
2024-07-05,106460798.0,83974885.0,40030400.0,18196600.0,22590923.0,37478053.0,9862800.0,0.0,0.0
2024-07-08,106501198.0,83983285.0,40028400.0,18141400.0,22601723.0,37386053.0,9878000.0,0.0,0.0
2024-07-09,106439598.0,83968031.0,0.0,17032200.0,22578823.0,37425549.0,9873600.0,0.0,21495600.0
2024-07-10,106472502.0,84019231.0,40030000.0,18070600.0,0.0,37295045.0,9879200.0,0.0,21513200.0
2024-07-11,106456512.0,84009231.0,0.0,18066600.0,0.0,37279035.0,9835200.0,0.0,21543600.0
2024-07-12,106452497.0,83970331.0,0.0,18000200.0,22594023.0,37283835.0,9824400.0,0.0,21557200.0
2024-07-15,106606921.0,83951931.0,40021200.0,17940600.0,22603623.0,37313035.0,9751200.0,0.0,0.0
2024-07-16,106609321.0,83955131.0,40019600.0,17979400.0,22609223.0,37313835.0,9754800.0,0.0,0.0
2024-07-17,106589720.0,83951131.0,0.0,17960600.0,22612823.0,37314235.0,9749200.0,0.0,21585200.0
2024-07-18,106526406.0,83929131.0,0.0,18057400.0,22578917.0,37394655.0,9745200.0,0.0,0.0
2024-07-19,106689618.0,83922331.0,0.0,18199800.0,22269143.0,37479855.0,9699200.0,0.0,21597200.0
2024-07-22,106706418.0,83894331.0,40017200.0,18159000.0,22273543.0,42143855.0,9676800.0,0.0,0.0
2024-07-23,106452610.0,83853931.0,40016400.0,18213400.0,22247143.0,41364775.0,9660800.0,0.0,21613600.0
2024-07-24,106535649.0,95617332.0,0.0,18328600.0,22242926.0,41259573.0,9633200.0,0.0,0.0
2024-07-25,106597549.0,95584532.0,0.0,18445400.0,22229726.0,41053773.0,9612400.0,0.0,0.0
2024-07-26,106530177.0,95557332.0,0.0,18448200.0,22227126.0,40988973.0,9590000.0,0.0,0.0
2024-07-29,106602749.0,95546532.0,0.0,18467800.0,22213032.0,41057467.0,9587200.0,0.0,0.0
2024-07-30,106598782.0,95544132.0,0.0,18516200.0,0.0,41054267.0,9584000.0,0.0,0.0
2024-07-31,106593982.0,95538332.0,40016000.0,18566600.0,22213832.0,41182767.0,9550000.0,0.0,0.0
2024-08-01,106555324.0,95540332.0,0.0,18569400.0,22211832.0,41242367.0,9548400.0,0.0,0.0
2024-08-02,106542524.0,95531932.0,0.0,18634600.0,22211432.0,41293967.0,9535600.0,0.0,0.0
2024-08-05,106451410.0,95527532.0,40016800.0,17671000.0,22213032.0,41576739.0,9536000.0,0.0,0.0
2024-08-06,106520429.0,95533932.0,40014800.0,18619400.0,22209032.0,41692100.0,9533600.0,0.0,0.0
2024-08-07,106852172.0,95531932.0,40012800.0,18682600.0,22197332.0,41428757.0,9536000.0,0.0,0.0
2024-08-08,106596892.0,95510732.0,0.0,17800600.0,22100932.0,41309157.0,9539600.0,0.0,0.0
2024-08-09,106411749.0,95502732.0,40012400.0,18771800.0,22106932.0,41380657.0,9537600.0,0.0,0.0
2024-08-12,0.0,95503932.0,0.0,18785000.0,22107332.0,46779331.0,9538400.0,0.0,0.0
2024-08-13,106568192.0,95521732.0,40012800.0,18818200.0,22110932.0,46568931.0,9540400.0,0.0,0.0
2024-08-14,106457967.0,95518532.0,0.0,18827000.0,22112132.0,46618956.0,9536800.0,0.0,0.0
2024-08-15,106452321.0,95506132.0,40012400.0,18874600.0,22135732.0,46588802.0,9490800.0,0.0,0.0
2024-08-16,106465631.0,95482932.0,40012000.0,17969400.0,22137732.0,46526372.0,9479600.0,0.0,0.0
2024-08-19,106195461.0,95446132.0,0.0,18019800.0,22129332.0,46797342.0,9487600.0,0.0,0.0
2024-08-20,106194048.0,95429732.0,0.0,18975000.0,22094532.0,46944778.0,9474400.0,0.0,0.0
2024-08-21,105992448.0,95394932.0,0.0,18978200.0,22096132.0,47225925.0,9473600.0,0.0,0.0
2024-08-22,106006538.0,95372932.0,0.0,18983800.0,22101732.0,47224435.0,9472800.0,0.0,0.0
2024-08-23,106039883.0,95371332.0,0.0,18049000.0,22106932.0,47236520.0,9464400.0,0.0,0.0
2024-08-26,106000323.0,95351332.0,0.0,18979800.0,22112132.0,47291120.0,0.0,0.0,0.0
2024-08-27,105989523.0,95332932.0,0.0,18035800.0,22116132.0,47292320.0,0.0,0.0,0.0
2024-08-28,105979523.0,95319732.0,40016000.0,18973800.0,22119732.0,47300320.0,9462800.0,0.0,0.0
2024-08-29,105980083.0,95302132.0,0.0,18978200.0,22121732.0,47256120.0,0.0,0.0,0.0
