date,CITIC SECURITIES BROKERAGE (HK) LTD,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,0.0,47.54400196085421,42.154210466921235,5.366725757084749,1.8463463598841081,1.4183248490723286,0.0,0.5360636221226445,1.1343269840607209,0.0
2024-03-04,0.0,47.54447416863811,42.1558931401056,5.367438944687857,1.8454221335335568,1.4180963424326105,0.0,0.5423577049383681,1.1263175656638964,0.0
2024-03-05,0.0,47.53666720795798,42.14897100234016,5.364590574392263,1.8451191090856758,1.4175784110852272,0.0,0.5617963002066308,1.1252773949320587,0.0
2024-03-06,0.0,47.53734479389662,42.14957179225154,5.363241644681994,1.8451454093468607,1.417598617196734,0.0,0.5618043080308169,1.1252934345954315,0.0
2024-03-07,0.0,47.533347316056215,42.146027379328345,5.362790642638857,1.8407144190611215,1.4174794094647205,0.0,0.57444202626011,1.1251988071906351,0.0
2024-03-08,0.0,47.275512322951876,41.93022934454028,5.333629668011006,1.8315649238929403,1.4098878130355479,0.0,0.5580396404927799,1.1167625849943532,0.5443737020812243
2024-03-11,0.0,47.27361697133167,41.92850095786112,5.334206968006743,1.8347535926248881,1.4098325566493668,0.0,0.558017769778249,1.1167188167852105,0.5443523669627623
2024-03-12,0.0,47.2752253739033,41.92992750215973,5.331553183433691,1.8349577805080435,1.4098805237493046,0.0,0.5573279374408417,1.1167568112001034,0.5443708876049934
2024-03-13,0.0,46.811631822971954,41.51942369728076,5.279215654113615,1.8162807077199095,1.3960774634078805,0.9806342182177176,0.5518715664782868,1.1058235006166655,0.5390413691932174
2024-03-14,0.0,46.81197602213463,41.52097408764474,5.272393740660957,1.8169802442243774,1.3961295947925167,0.9806708364004167,0.5525940787316408,1.1092198976976517,0.5390614977130803
