date,DEUTSCHE BANK AG,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,MORGAN STANLEY HONG KONG SECURITIES LTD,UBS SECURITIES HONG KONG LTD,BNP PARIBAS,GOLDMAN SACHS (ASIA) SECURITIES LTD,MERRILL LYNCH FAR EAST LTD
2024-03-01,853446390.0,313060823.0,91571928.0,68306863.0,2087349.0,8073585.0,9339952.0,14516061.0,1323690.0,5291379.0
2024-03-04,853046390.0,313977699.0,90215625.0,67287063.0,2167149.0,8087085.0,9272187.0,14491829.0,1158390.0,6896266.0
2024-03-05,852952390.0,315867106.0,89062111.0,67462563.0,2168449.0,8000811.0,9123187.0,14415622.0,1143021.0,6345708.0
2024-03-06,850474990.0,315342973.0,88571690.0,67502863.0,2186549.0,7941611.0,7781386.0,15416184.0,1131507.0,6281434.0
2024-03-07,850444990.0,316423906.0,87734535.0,67470863.0,2169149.0,8030711.0,7363686.0,15575884.0,1129208.0,6092428.0
2024-03-08,850998210.0,315302858.0,87805874.0,67677763.0,2136749.0,8020111.0,7834886.0,15537383.0,1184908.0,6232092.0
2024-03-11,850499960.0,315296537.0,88536819.0,67609386.0,2115149.0,8020411.0,6986986.0,15600017.0,1174317.0,6583792.0
2024-03-12,848244260.0,314680906.0,89589239.0,67197286.0,2102149.0,8123914.0,7645138.0,16079976.0,1177017.0,6473357.0
2024-03-13,848295650.0,314975520.0,90249971.0,67200286.0,2135249.0,8146222.0,7420938.0,15758071.0,1165609.0,6290338.0
2024-03-14,849085100.0,314150416.0,91535307.0,66589186.0,2020549.0,8395622.0,6284694.0,15513668.0,1167479.0,6390973.0
2024-03-15,847887250.0,312208176.0,93487677.0,66822686.0,2073349.0,8127022.0,8163475.0,15592971.0,994109.0,6428125.0
2024-03-18,0.0,311124695.0,93521352.0,67282286.0,2202849.0,8328322.0,6412216.0,15827671.0,1203379.0,6355705.0
2024-03-19,847809250.0,311065749.0,94468342.0,67329916.0,2194249.0,8346022.0,6694818.0,15567225.0,1197109.0,6153318.0
2024-03-20,847790350.0,310773725.0,95216839.0,67545316.0,2191649.0,7931622.0,6283698.0,15764845.0,1155930.0,6017728.0
2024-03-21,847780350.0,310732218.0,95743828.0,67603538.0,2191349.0,7960522.0,6495330.0,15681966.0,993640.0,5884408.0
2024-03-22,0.0,311615130.0,95568628.0,67695038.0,2187549.0,7886222.0,6579930.0,15338857.0,972309.0,5859613.0
2024-03-25,846650350.0,311901449.0,96297924.0,67353038.0,2183449.0,7856222.0,6726762.0,15248755.0,758709.0,5870593.0
2024-03-26,846630350.0,312055157.0,96248329.0,67050938.0,2081349.0,7724222.0,7245419.0,15294158.0,692109.0,5856293.0
2024-03-27,846382050.0,311482707.0,95813966.0,67024638.0,2154449.0,8003636.0,7280109.0,15723658.0,690209.0,5925793.0
2024-03-28,845025550.0,312243004.0,97867604.0,66896938.0,2247849.0,8066636.0,7031904.0,15742370.0,1250814.0,6214893.0
2024-04-02,844458850.0,311678337.0,98107328.0,66816138.0,2264549.0,8039336.0,7155004.0,16116105.0,1046807.0,6273542.0
2024-04-03,843689350.0,311468141.0,99487087.0,67249638.0,2262649.0,8351436.0,6976104.0,15871072.0,999500.0,6124077.0
2024-04-05,846352650.0,307431614.0,100039387.0,68404908.0,2256349.0,8219912.0,7019978.0,15790391.0,991600.0,5999769.0
2024-04-08,844782650.0,309387921.0,99898794.0,69011408.0,2203149.0,8202912.0,6873154.0,15890469.0,2070112.0,5870121.0
2024-04-09,844669650.0,309616171.0,99935900.0,68818208.0,2201649.0,8293012.0,6849354.0,15845925.0,2429105.0,5846030.0
2024-04-10,0.0,310045123.0,100302785.0,68965408.0,2121249.0,8157312.0,6876754.0,15877081.0,2167481.0,5720530.0
2024-04-11,843562550.0,309761831.0,100281717.0,68894381.0,2122749.0,8270812.0,6915444.0,15893513.0,2300250.0,5716017.0
