date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG BANK LTD,UBS SECURITIES HONG KONG LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BNP PARIBAS,HANG SENG SECURITIES LTD
2024-03-01,65.15348878894538,13.522724943854609,7.149163856127466,4.289012566296892,0.0,3.5632993197515757,1.1679744821148899,1.7150935332769721,1.4841145744839648,1.9551279351482538
2024-03-04,65.20110761062145,13.346999823399985,7.115205131826362,4.300725263825402,0.0,3.558382900112061,1.1720933096299173,1.7266517833800104,1.6149173234845906,1.9639168537202192
2024-03-05,65.14424331768166,13.498305302333177,7.064357853049639,4.310840716702376,0.0,3.5661549428671337,1.1777074808438532,1.743309679531756,1.5250463977604958,1.9700343092299062
2024-03-06,62.58646476298093,12.962071228445971,6.788142038699048,4.147875445919401,3.830892686641408,3.432819690154223,1.1614595155095633,1.7232951688089884,1.469699834730126,1.8972796281103363
2024-03-07,62.5657928995208,12.898502625980438,6.764322533000536,4.149322759135369,3.8280710703574665,3.447444971886092,1.2027771574772756,1.7753748680329033,1.4714263831489116,1.8969647314602056
2024-03-08,62.53912887725589,12.899916423203637,6.761693847388493,4.153863032928258,3.8273965548479962,3.4484542610438056,1.211446370608345,1.775984416780683,1.475497739920844,1.9066184760220533
2024-03-11,62.547515345434455,12.887870778128164,6.76591481815437,4.1543102222038595,3.8291243463436495,3.4398785935280416,1.2099462532792982,1.783703566681756,1.471803639083893,1.9099324371625155
2024-03-12,62.56614100980441,12.905010209985878,6.713890403889907,4.158429073562655,3.8301520447578072,3.4438033854287067,1.2006724661361778,1.806682804594704,1.4672388562711827,1.9079797455685763
2024-03-13,62.53783080129681,12.902261546887845,6.713985862971132,4.154706052027808,3.830405661228354,3.4687127109793234,1.1941600823530696,1.798285717180419,1.4980318981971803,1.901619666878061
2024-03-14,62.55212988896632,12.885814152679814,6.694988778728858,4.157193836114031,3.8356552862360163,3.4701907014919464,1.188015744147975,1.7982898870820132,1.5195639291768763,1.8981577953761448
