date,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA INTERNATIONAL CAPITAL CORPORATION,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,SINOMAX SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,CITIBANK N.A.,CHINA SECURITIES DEPOSITORY AND CLEARING,PHILLIP SECURITIES (HONG KONG) LTD
2024-03-01,64.19588941730868,31.722038230303752,0.0,0.0,0.40334612841200307,0.0,0.0,3.6787262239755565,0.0,0.0
2024-03-04,61.155129937758744,30.211040671318052,0.0,0.0,0.38478104836070215,4.351073791593444,0.0,3.5761784956435934,0.0,0.3217960553254682
2024-03-05,51.14372995355343,25.237010303839885,0.0,0.0,0.3243013243648335,3.638849458053662,1.986400865254204,3.013675185690172,14.38698510447771,0.2690478047660999
2024-03-06,51.14424483949879,25.235908312260502,0.0,0.0,0.32451420992620467,3.638758313481278,1.9863511106107279,3.014778412481406,14.386403735986159,0.26904106575493747
2024-03-07,50.28244801001813,24.913316064183032,0.0,1.5534241669417739,0.32592871540040025,3.585433639147432,1.9572418604322923,2.941532934037604,14.175576242658433,0.26509836718090457
2024-03-08,50.25566084695362,24.91230031467124,0.0,1.5534151459599832,0.3256364647091815,3.5854128179626845,1.957230494416777,2.971930849570888,14.173316238043206,0.26509682771242327
2024-03-11,50.25594154401806,24.910851889847578,0.0,1.553356512132078,0.32605969404192964,3.5852774861560617,1.957156618533515,2.9713831531921513,14.174886280475535,0.26508682160310043
2024-03-12,50.23879074832935,24.935767346774345,0.0,1.5527165096763618,0.3254900122620635,3.5838003066562867,1.956350245345969,2.9753829988225458,14.168900935028034,0.2628008971050365
2024-03-13,50.24173052834667,24.935603766803162,0.0,1.55272439593133,0.3254916654274741,3.5838185087960825,1.9563601816587124,2.9754706680225365,14.167449197437174,0.26135108757685277
2024-03-14,50.24355082040866,24.936690471341905,0.0,1.5527649550794458,0.3255001676862801,3.583912122721452,1.9564112842900514,2.979756819506777,14.160781035664243,0.26063232330118546
2024-03-15,50.23900731060734,24.9452834639937,0.0,1.552579695903673,0.32277696575118886,3.590739574269182,1.9561778663855487,2.9779502979829937,14.157060111236792,0.258424713869574
2024-03-18,50.256587703956214,24.904157048366567,0.0,1.553598633037639,0.3233517902593292,3.593096128267845,1.957461679560461,2.9846961590563943,14.168456542968446,0.25859431452710613
2024-03-19,50.25856249325127,24.90825364387573,0.0,1.5533962041478695,0.3270002104824268,3.593299604219971,1.9575725300261262,2.9711433698270793,14.172162985524233,0.25860895864529404
2024-03-20,50.22170322331439,24.869668227052934,0.0,1.5522838631464757,0.3305386651942112,3.5979815678174973,1.9719141615405313,3.0398248074265486,14.157661708075937,0.2584237764314707
2024-03-21,50.22954017145436,24.948503665052744,0.0,1.5525395492252938,0.32769062461681747,3.5988644617184007,1.9585972851322269,2.9662395703606137,14.159558329462337,0.2584663429772152
2024-03-22,50.281561322214095,24.867918258446338,0.0,1.5541126306912951,0.32896691458220584,3.602510943372414,1.9663926499380604,2.970334591689527,14.169474459933404,0.25872822913266
2024-03-25,50.27538282958898,24.886723070683693,0.0,1.5534728419033086,0.32774240083901357,3.6010278809066363,1.964566655272935,2.970273472368746,14.162189131159645,0.25862171727704175
2024-03-26,50.27122145826793,24.8567489567725,0.0,1.5533420152732607,0.31755084944874007,3.600869817514417,1.9967806500315834,2.976121699262017,14.168764616132707,0.25859993729684777
2024-03-27,50.27867984459458,24.860719691533152,0.0,1.5535901534809544,0.316512407881075,3.5143115460050813,1.9889671660193637,2.972740009808646,14.255692710916168,0.25878646976098907
2024-03-28,50.29075801028746,24.861529026029476,0.0,1.5538222615133557,0.3147441428958162,3.143011481400099,2.003861360157881,3.0308748390431206,14.548383513225394,0.25301536544739817
2024-04-02,50.30936710119038,24.82982990359647,0.0,1.5540594998122925,0.3134707713953834,3.1440791460534876,2.0049779420025926,3.0315411776600123,14.559573144838275,0.2531013134511045
2024-04-03,50.263713619612616,24.83307105305536,0.0,1.5526133893111038,0.3131790751158103,3.1411534627896067,2.0031122350223054,3.0941212962023656,14.546170075680292,0.2528657932105407
2024-04-05,34.91275089669109,17.286210457186158,0.0,1.0804748673907552,0.21303359434200558,2.3076029300328362,1.393382167213943,2.2309668098004547,9.99681737812579,0.17600404142460216
2024-04-08,50.184850361344736,24.921854052058915,0.0,1.5520715836429895,0.30064674448442613,3.4062412598007428,2.0088108087902206,3.1097952970553258,14.265807761998522,0.2499221308241283
2024-04-09,50.20391169837306,24.92752183817265,0.0,1.5519308728534738,0.3006757204560392,3.4333495011668593,2.0017469760121824,3.0637344915556586,14.267182683391594,0.24994621801848874
2024-04-10,50.18860349370839,24.951354127545613,0.0,1.5514442006928717,0.3005088795019582,3.4318375225015996,2.001264348667797,3.067562138822716,14.25777510643296,0.2496501821260836
2024-04-11,50.103061214673,24.999836707519165,0.0,1.551641440112066,0.2959585497089338,3.432915968203038,2.000441751882553,3.1114901780342064,14.256449618997854,0.24820457086918926
2024-04-12,34.876479110886585,17.411147461480173,0.0,1.080070724930538,0.20495074513766104,2.4394038898711794,1.3924728466784542,2.1700979035109875,9.919727203839352,0.17277090174286436
2024-04-15,50.049454622122155,25.026011537843768,0.0,1.5501788964451322,0.29415695897464456,3.5736771491107424,1.998556178747129,3.1155179334468555,14.14447610470142,0.2479706186081549
2024-04-16,34.87031593836827,17.435901187168476,0.0,1.080070724930538,0.20495074513766104,2.501490275322051,1.3924728466784542,2.139958979540288,9.859055316999243,0.17277090174286436
2024-04-17,50.092318528873335,25.052386759283774,0.0,1.5516121644460346,0.2945015043649209,3.5573140067657287,2.000476581522682,3.0420806493835677,14.165464301499394,0.24384550386055548
