date,CHEER UNION SECURITIES LTD,BONUS EVENTUS SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,THE BANK OF EAST ASIA LTD,FUTU SECURITIES INTERNATIONAL,CHINA CITIC BANK INTERNATIONAL LTD,BANK OF CHINA (HONG KONG) LTD,CMB WING LUNG BANK LTD
2024-03-05,0.0,0.0,0.0,0.0,54.60399227301996,0.0,45.39600772698004,0.0
2024-03-06,0.0,0.0,0.0,0.0,37.52740026304252,0.0,30.907496711968435,31.56510302498904
2024-03-07,0.0,0.0,0.0,0.0,37.06238483811529,0.0,30.92919189260332,32.00842326928139
2024-03-12,0.0,0.0,0.0,24.074935228858035,28.060851657476917,0.0,23.41725901813592,24.44695409552913
2024-03-13,0.0,0.0,0.0,25.999870775990182,27.292110874200425,0.0,22.930800542740844,23.777217807068553
2024-03-14,69.19026719143054,0.0,19.11812474976771,3.03980298692371,3.1908866343851274,0.0,2.680979324202845,2.779939113290073
2024-03-15,69.24048049228536,0.0,19.131999304510853,3.0420090564782547,3.169011422653291,0.0,2.6224476682214375,2.7940520558508024
2024-03-18,69.18601572134335,0.0,19.147052815542796,3.044402581387079,3.171504876037435,0.0,2.654773523381526,2.7962504823078147
2024-03-20,69.1818284979385,0.0,19.145894012179898,3.0442183303703145,3.1713129326322953,0.0,2.6061958618602716,2.850550365018724
2024-03-21,69.19020345164147,0.0,19.1482117591871,3.044586854708744,3.1474854163987014,0.0,2.606511360455175,2.863001157608819
2024-03-22,69.19858043328566,0.0,19.150530067421855,3.044955468282975,3.135759309285449,0.0,2.606826935446036,2.8633477862780263
2024-03-25,69.19439168892487,0.0,19.155424066101194,3.044771150339359,3.1355694947828785,0.0,2.6066691383993765,2.86317446145232
2024-03-26,69.25727614907491,0.0,19.17283268075825,3.0475382646299254,3.0778318855507,0.0,2.5787444808809385,2.865776539105278
