date,FULBRIGHT SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,BRIGHT SMART SECURITIES INTERNATIONAL,KGI ASIA LTD
2024-03-04,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-07,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,100.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,43.22687434885871,56.7731256511413,0.0,0.0,0.0
2024-03-25,71.23246832110081,0.0,12.413961112655103,16.35357056624408,0.0,0.0,0.0
2024-04-02,70.92894836018803,0.0,12.36106550085767,16.709986138954292,0.0,0.0,0.0
2024-04-03,70.61244157866277,0.0,12.657860127178793,16.729698294158442,0.0,0.0,0.0
2024-04-10,70.0826381475917,0.0,11.934095873862717,17.465436748269155,0.5178292302764395,0.0,0.0
2024-04-12,68.91092873249777,0.0,12.78221706551063,17.797009835626177,0.5098443663654215,0.0,0.0
2024-04-15,68.44778615858978,0.0,13.368397940181934,17.67739814130213,0.5064177599261499,0.0,0.0
2024-04-16,68.00248866288277,0.0,13.58689543797547,17.90749271706733,0.5031231820744397,0.0,0.0
2024-04-17,67.77768062470261,0.0,13.90161266356361,17.82004055753468,0.500666154199096,0.0,0.0
2024-04-18,67.74134227043673,0.0,13.66183193105806,17.363702828801962,1.2331229697032409,0.0,0.0
2024-04-19,67.74134227043673,0.0,13.66183193105806,16.916919144126876,1.6799066543783283,0.0,0.0
2024-04-24,67.74134227043673,0.0,13.66183193105806,16.47013545945179,2.1266903390534155,0.0,0.0
2024-04-25,67.73769847297551,0.0,13.649668951097688,16.468186245163828,2.1444463307629764,0.0,0.0
2024-04-29,67.61422911618008,0.0,13.860578050375233,15.903034363565126,2.62215846987956,0.0,0.0
2024-04-30,67.45780016741209,0.0,13.828510899982799,15.86624188688926,2.8474470457158514,0.0,0.0
2024-05-02,67.32619876335067,0.0,13.978858454593315,13.171015116734269,5.523927665321741,0.0,0.0
2024-05-06,67.33809345525428,0.0,13.981328135305066,13.15567481767596,5.524903591764696,0.0,0.0
2024-05-08,67.29419546953214,0.0,14.037404068489353,13.147098578051725,5.521301883926789,0.0,0.0
2024-05-10,67.33005555595521,0.0,14.04488439453441,13.1008159450645,5.524244104445871,0.0,0.0
2024-05-21,67.5994806948553,0.0,13.448420847797458,13.089378238919036,5.862720218428205,0.0,0.0
2024-05-22,67.75644367172944,0.0,12.908089237031367,13.11977119094609,6.215695900293093,0.0,0.0
2024-05-31,67.7781375975701,0.0,12.901743140780114,12.834429542942011,6.485689718707775,0.0,0.0
2024-06-05,67.76602989940491,0.0,12.917302131365346,12.832136836111513,6.484531133118224,0.0,0.0
2024-06-07,67.5089611539183,0.0,12.868300667668697,13.162805952533912,6.459932225879093,0.0,0.0
2024-06-18,67.49694942612913,0.0,12.866011037935296,13.160463922093202,6.476575613842364,0.0,0.0
2024-07-08,66.89999513262195,0.0,13.636638588714314,13.04407058121432,6.419295697449423,0.0,0.0
2024-07-18,66.88819911260069,0.0,13.651866451411326,13.041770609182487,6.418163826805497,0.0,0.0
2024-07-23,66.82928135488595,0.0,13.727925285092462,13.030282904458526,6.412510455563064,0.0,0.0
2024-07-24,65.52783024751551,0.0,15.458133169228056,12.74293622566589,6.271100357590546,0.0,0.0
2024-08-12,60.923052687594335,0.0,14.364304646321308,11.84123697410542,5.827352825721807,7.044052866257129,0.0
2024-08-14,60.99140238394565,0.0,14.268229786050076,11.85452168187859,5.833890544673818,7.051955603451868,0.0
