date,CCB INTERNATIONAL SECURITIES LTD,NANYANG COMMERCIAL BANK LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,FORTUNE ORIGIN SECURITIES LTD,BOCOM INTERNATIONAL SECURITIES LTD,EMPEROR SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,BANK OF COMMUNICATIONS TRUSTEE LTD,THE HONGKONG AND SHANGHAI BANKING,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2610769856167818,0.0,0.0,1.2610769856167818
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.260151498565385,0.0,1.3271254796241783,2.5872769781895633
2024-03-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2586707192831499,0.0,1.3271254796241783,2.585796198907328
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2586707192831499,0.0,1.3289764537269717,2.587647173010122
2024-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2583005244625913,0.0,1.3289764537269717,2.5872769781895633
2024-03-14,0.0,0.0,0.0,0.0,0.0,0.0,1.7914675991064704,1.262187570078458,0.0,1.3308274278297654,4.384482597014694
2024-03-15,0.0,0.0,0.0,0.0,0.0,0.0,1.7914675991064704,1.264223641591531,0.0,1.3308274278297654,4.386518668527767
2024-03-18,0.0,0.0,4.9431832115656755,0.0,0.0,0.0,1.7914675991064704,1.2457139005635944,0.0,1.3187960961616068,9.299160807397348
2024-03-19,0.0,0.0,4.972798797210374,0.0,0.0,0.0,1.7914675991064704,1.2444182186916388,0.0,1.3141686609046224,9.322853275913106
2024-03-20,0.0,8.02595929356633,4.985015226288812,0.0,2.3385605699614227,0.0,1.7905421120550737,1.242937439409404,0.0,1.3136133686737845,19.69662800995483
2024-03-21,0.0,8.025589098745773,4.99427009680278,0.0,2.3385605699614227,0.0,1.7896166250036767,1.230350815510407,0.0,1.3130580764429463,19.691445282467004
2024-03-22,0.0,8.025589098745773,5.016666883446583,0.0,2.3385605699614227,0.0,1.790357014644794,1.202956398789061,0.0,1.3100965178784765,19.684226483466112
2024-03-25,0.0,8.025589098745773,5.055537339605251,0.0,2.3385605699614227,0.0,1.7896166250036767,1.2042520806610164,0.0,1.3099114204681972,19.723467134445336
2024-03-26,0.0,8.025589098745773,5.082191366685479,0.0,2.3385605699614227,0.0,1.7896166250036767,1.214617535636661,0.0,1.2984353810308764,19.74901057706389
2024-03-27,0.0,8.025589098745773,5.087744288993861,0.0,2.3385605699614227,0.0,1.7896166250036767,1.2168387045600133,0.0,1.3010267447747876,19.759376032039533
2024-03-28,0.0,8.025589098745773,5.10829010153487,0.0,2.3385605699614227,0.0,1.7896166250036767,1.2077689314563245,0.0,1.2954738224664066,19.765299149168474
2024-04-02,0.0,8.025589098745773,5.10829010153487,0.0,2.3385605699614227,0.0,1.7890613327728386,1.2096199055591181,0.0,1.2954738224664066,19.766594831040425
2024-04-05,0.0,8.025589098745773,5.10829010153487,0.0,2.3385605699614227,0.0,1.7890613327728386,1.2123963667133086,0.0,1.2856636597216002,19.759561129449814
2024-04-08,0.0,8.025589098745773,5.110881465278781,0.0,2.3385605699614227,0.0,1.7890613327728386,1.2123963667133086,0.0,1.2912165820299812,19.767705415502103
2024-04-09,0.0,8.025589098745773,5.111806952330178,0.0,2.3385605699614227,0.0,1.7890613327728386,1.2123963667133086,0.0,1.2912165820299812,19.7686309025535
2024-04-10,0.0,8.025589098745773,5.111806952330178,0.0,2.3385605699614227,0.0,1.7890613327728386,1.2122112693030291,0.0,1.2919569716710986,19.76918619478434
