date,CHINA MERCHANTS SECURITIES (HK) CO LTD,EMPEROR SECURITIES LTD,CMB WING LUNG BANK LTD,SDICS INTERNATIONAL SECURITIES (HONG,MERRILL LYNCH FAR EAST LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),CHINA MERCHANTS BANK CO LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,MIRAE ASSET SECURITIES (HK) LTD
2024-03-06,99.8,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2024-03-11,84.8,15.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0
2024-03-14,82.8,15.0,0.0,2.0,0.0,0.2,0.0,0.0,0.0
2024-03-26,76.8,15.0,6.0,2.0,0.0,0.2,0.0,0.0,0.0
2024-04-17,74.8,15.0,8.0,2.0,0.0,0.2,0.0,0.0,0.0
2024-06-18,80.80000000000001,15.0,2.0,2.0,0.0,0.2,0.0,0.0,0.0
2024-06-21,81.53846153846153,14.423076923076922,1.9230769230769231,1.9230769230769231,0.0,0.19230769230769232,0.0,0.0,0.0
2024-07-08,81.53846153846153,14.423076923076922,1.9230769230769231,1.9230769230769231,0.0,0.19230769230769232,0.0,0.0,0.0
2024-09-03,81.57389635316699,14.39539347408829,1.9193857965451053,1.9193857965451053,0.0,0.19193857965451055,0.0,0.0,0.0
2025-01-02,81.28598848368523,14.39539347408829,1.9193857965451053,1.9193857965451053,0.0,0.19193857965451055,0.28790786948176583,0.0,0.0
2025-01-21,81.0172744721689,14.39539347408829,1.9193857965451053,1.9193857965451053,0.2687140115163148,0.19193857965451055,0.28790786948176583,0.0,0.0
2025-02-11,81.0172744721689,14.39539347408829,1.9193857965451053,1.9193857965451053,0.42226487523992323,0.19193857965451055,0.1343570057581574,0.0,0.0
2025-02-17,81.0172744721689,14.39539347408829,1.9193857965451053,1.9193857965451053,0.42226487523992323,0.19193857965451055,0.1343570057581574,0.0,0.0
2025-02-27,81.0427448725321,14.37607820586544,1.9168104274487254,1.9168104274487254,0.42169829403871956,0.19168104274487255,0.13417672992141078,0.0,0.0
2025-04-16,83.42550695491872,12.56913021618904,1.675884028825205,1.675884028825205,0.36869448634154517,0.16758840288252053,0.11731188201776438,0.0,0.0
