date,BOCI SECURITIES LTD,HSBC BROKING SECURITIES (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,EAST ASIA SECURITIES CO LTD,CELESTIAL SECURITIES LTD
2024-10-04,99.19484702093398,0.8051529790660225,0.0,0.0,0.0,0.0
2025-01-23,99.19484702093398,0.8051529790660225,0.0,0.0,0.0,0.0
