date,ZHONGTAI INTERNATIONAL SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,PHILLIP SECURITIES (HONG KONG) LTD,HANG SENG SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-01,0.0,0.0,0.0,0.0,0.6643056392641702,0.0,0.25894865832128816,0.0,0.0,0.9232542975854583
2024-03-04,0.0,0.0,0.0,0.0,0.6643056392641702,0.0,0.2590819994773027,0.0,0.0,0.9233876387414729
2024-03-05,0.0,0.0,3.4526025526830906,0.0,0.6643056392641702,0.0,0.2626822106896938,0.0,0.0,4.379590402636955
2024-03-06,0.0,0.0,3.4526025526830906,0.0,0.6643056392641702,0.0,0.26228218722165036,0.0,0.0,4.379190379168911
2024-03-14,0.0,0.0,3.4526025526830906,0.0,0.6643056392641702,0.0,0.2664157630580994,0.0,0.0,4.38332395500536
2024-03-20,0.0,0.0,3.4526025526830906,0.0,0.6643056392641702,0.0,0.26694912768215734,0.0,0.0,4.383857319629418
2024-03-21,0.0,0.0,3.4526025526830906,0.0,0.6643056392641702,0.0,0.266015739590056,0.0,0.0,4.382923931537317
2024-03-22,0.0,0.0,3.4526025526830906,0.0,0.6643056392641702,0.0,0.26588239843404143,0.0,0.0,4.382790590381303
2024-04-02,0.0,0.0,3.4526025526830906,0.5619196326184469,0.6643056392641702,0.0,0.2662824219020849,0.0,0.0,4.9451102464677925
2024-04-03,0.0,8.824917728506739,3.4526025526830906,0.5619196326184469,0.664839003888228,0.0,0.2662824219020849,0.0,0.0,13.770561339598588
2024-04-05,52.93563889081493,8.824917728506739,3.4526025526830906,0.5619196326184469,0.664839003888228,0.0,0.26614908074607047,0.0,0.0,66.7060668892575
2024-04-12,52.93297206769464,8.824917728506739,3.4526025526830906,0.5619196326184469,0.664839003888228,0.0,0.26614908074607047,0.0,0.0,66.7034000661372
2024-04-16,52.57881795732017,8.824917728506739,3.4526025526830906,0.5619196326184469,0.664839003888228,0.0,0.26614908074607047,0.0,0.0,66.34924595576274
2024-04-17,52.57468438148371,8.824917728506739,3.4526025526830906,0.5619196326184469,0.664839003888228,0.4480262842086736,0.2666824453701284,0.0,0.0,66.79367202875902
2024-04-18,52.547349444500746,8.824917728506739,3.5427411741488832,0.5579193979380124,0.664839003888228,0.4480262842086736,0.26681578652614285,0.0,0.0,66.85260881971742
2024-04-19,52.48934604163444,8.824917728506739,3.62914624324627,0.5579193979380124,0.664839003888228,0.4480262842086736,0.2674824923062153,0.0,0.0,66.88167719172858
2024-04-22,52.49467968787502,8.824917728506739,3.62914624324627,0.5579193979380124,0.664839003888228,0.4480262842086736,0.2674824923062153,0.0,0.0,66.88701083796916
2024-04-23,52.52934838843879,8.824917728506739,3.62914624324627,0.5579193979380124,0.664839003888228,0.4480262842086736,0.2674824923062153,0.0,0.0,66.92167953853293
2024-04-24,52.64148830064697,8.824917728506739,3.62914624324627,0.5579193979380124,0.664839003888228,0.4480262842086736,0.2674824923062153,0.0,0.0,67.0338194507411
2024-04-30,52.62815418504553,8.824917728506739,3.62914624324627,0.5579193979380124,0.664839003888228,0.4480262842086736,0.2674824923062153,0.0,0.0,67.02048533513965
