date,CITIBANK N.A.,MORGAN STANLEY HONG KONG SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,GOLDMAN SACHS (ASIA) SECURITIES LTD,HUATAI FINANCIAL HOLDINGS (HONG KONG),FUTU SECURITIES INTERNATIONAL,INTERACTIVE BROKERS HONG KONG LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,32.83959153049391,0.0,15.589251424005074,20.132274688580182,7.446640096419724,9.051029667423913,8.256694473733265,4.744118284322677,0.25231583705414545,1.6880839979671096
2024-03-04,25.47722035982984,22.394944009964735,12.092883548736115,15.643337607780264,5.801723580754745,7.021255041075401,6.40505679734827,3.660532406265288,0.1952237940391191,1.3078228542062271
2024-03-05,25.463929392228724,22.384710586418123,12.047144680087992,15.716240638881473,5.818196773603256,7.022572859893363,6.4021299912344345,3.6463358364193246,0.19056506199717,1.3081741792361354
2024-03-06,25.470134935053856,22.416987186908052,12.003626575999773,15.59818046085909,5.936932813154789,7.02489122279869,6.40458212226082,3.639244024074078,0.19232094830222402,1.3130997105886264
2024-03-07,25.46328592350891,22.409015973566845,12.0003421783615,15.640159796272341,5.960857532438096,7.024355572267933,6.403924948929035,3.6374432320153,0.18502705956883575,1.2755877830712021
2024-03-08,25.49743652768565,22.43448476483694,11.930779661597207,15.634941838543112,5.9796601326923255,7.00951305252058,6.40629552954328,3.639128421479158,0.18729706671862875,1.2804630043831104
2024-03-11,25.352021854332268,22.460959319051238,11.892006753937471,15.628441376181943,5.992993507544681,7.027100155596566,6.422762965177657,3.6573115253675534,0.25416350436706436,1.3122390384435538
2024-03-12,25.347531580120275,22.466544778581483,11.864243465341815,15.633044578038838,6.010631295929621,7.027988908725274,6.425282946763416,3.656878136399142,0.2551124718100017,1.3127418382901346
2024-03-13,25.352540463053373,22.47267750638143,11.841055537961335,15.652020140875555,6.020791156156621,7.0167400828364,6.42827513099931,3.657587887127578,0.24517310053198282,1.3131389940764115
2024-03-14,25.197363225233403,22.487332890234434,11.869668436010642,15.551796129467013,6.089125610649015,7.133775561231142,6.432078240732755,3.6629819177585587,0.26197877315950885,1.313899215523525
2024-03-15,25.209739632144124,22.49386354123548,11.87718749110776,15.640350674121825,6.08160957738242,7.017606948182626,6.433119415699674,3.666805496491219,0.2655918916150354,1.314125332019833
2024-03-18,25.33698120447656,22.46766093304556,11.866138074825436,15.62153456323974,6.054000557546039,6.993635020935061,6.424581624596574,3.6650924718030895,0.25794447279231625,1.3124310767396243
2024-03-19,25.15637304466883,22.442719777026625,11.908239823980532,15.681121667671457,6.0798197792494335,7.001074415125023,6.419569287134388,3.667832482867813,0.25090511668993265,1.3923446055859745
2024-03-20,25.15450131913407,22.446200047203433,11.90817506806915,15.664131108132004,6.117281190788916,6.988280924569692,6.416127625054741,3.6634661539330793,0.25055725333703,1.3912793097778808
2024-03-21,25.16632881386254,22.449822366313914,11.858139163445566,15.666785988707007,6.194060919417906,6.9667446248645755,6.415272270661086,3.6430183282388082,0.2457209130461423,1.3941066114424574
2024-03-22,25.19395308787863,22.449843157230273,11.833749040365987,15.592745158378015,6.291540844213146,6.951527683033161,6.4161753855382155,3.644916320253569,0.2312956022411008,1.3942537208679047
