date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,BOCOM INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,GOLDMAN SACHS (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,TOTAL_CCASS_PCT
2024-03-01,5.841121973665601,9.606575706800976,0.0,4.246925901480839,3.3681352110253373,2.393149324859551,3.3459036387771057,0.0,0.5771601442950709,0.9525566473931728,30.331528548297655
2024-03-04,5.8247357282682435,9.592164936363266,0.0,4.26660526641326,3.3688765993582552,2.392435154357971,3.352212144874393,0.37696680532651977,0.5773188488509775,0.9541040168132623,30.705419500626146
2024-03-05,5.848382707098328,9.589276116684376,0.0,4.270057090504228,3.3651445823738335,2.393799696129656,3.3532437244877866,0.37823644177377264,0.5771601442950709,0.9552546248435853,30.73055512819064
2024-03-06,5.828743018304885,9.596696189491235,0.0,4.298068444621745,3.3588430592770058,2.394434514353283,3.3548307700468523,0.3771783584995433,0.5775569056848375,0.9589048296294372,30.745256089908825
2024-03-07,5.83425800162264,9.568922892207576,0.0,4.246291083257213,3.3819059259890762,2.3747395963743845,3.3293586888238416,0.38408200668148085,0.5775569056848375,0.9635866140286822,30.66070171466973
2024-03-08,5.872743856429993,9.563756027333204,0.0,4.250298373293855,3.383594859873034,2.376842431740147,3.3293586888238416,0.3772973869164732,0.5792233035218569,0.963507261750729,30.696622189683133
2024-03-11,5.93761434365682,9.558229220526034,0.0,4.227682974077163,3.408684304411755,2.3764793950685106,3.2831359869160406,0.38114597239720854,0.5776402255766885,0.9630311480830092,30.713643570713227
2024-03-12,5.989391705021352,9.560609788864632,0.0,4.216494302885747,3.4048626987055233,2.3747395963743845,3.25361892332436,0.37728786464311886,0.5776402255766885,0.9623169775814294,30.716962082977233
2024-03-13,5.993279966641064,9.573135863348673,0.0,4.216533979024724,3.4225150096976265,2.3747395963743845,3.23735567395783,0.37728786464311886,0.5781851376693938,0.9626740628322192,30.735707154189036
2024-03-14,5.988161744713076,9.56732195999987,0.0,4.230341275388598,3.428823515794914,2.3747395963743845,3.217596956747457,0.379020918393619,0.5795922916143398,0.9641817561133321,30.72978001513959
