date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CCB INTERNATIONAL SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,ORIENT SECURITIES (HONG KONG) LTD,HAFOO SECURITIES LTD,STOCKWELL SECURITIES LTD,DL SECURITIES (HK) LTD
2024-03-01,87.79516358463727,0.0,0.0,6.46498953122253,0.0,5.739846884140202,0.0,0.0,0.0,0.0
2024-03-04,60.251190029809855,29.944767662417487,0.0,4.85270460320794,0.0,4.236715044901702,0.0,0.7146226596630201,0.0,0.0
2024-03-05,59.10289012347678,29.476451945555755,0.0,4.53138750762619,0.0,4.452938985082363,1.707834594016748,0.7284968442421592,0.0,0.0
2024-03-06,59.05908843494112,29.484283705190613,0.0,4.617974842923365,0.0,4.404349540624682,1.7064130207858499,0.7278904555343788,0.0,0.0
2024-03-07,59.0278822425059,29.468704524144968,0.0,4.627935728446703,0.0,4.4540525035679766,1.7055113703453886,0.7159136309890639,0.0,0.0
2024-03-08,59.08758086282093,29.490965540796843,0.0,4.632780677421217,0.0,4.365418743825181,1.7067997343107648,0.7164544408250612,0.0,0.0
2024-03-11,59.29153324619718,29.53861514154933,0.0,4.466305488386599,0.0,4.285192953883172,1.712691088613571,0.7056620813701528,0.0,0.0
2024-03-12,59.33008184348855,29.55781977528528,0.0,4.492235541940859,0.0,4.202104546848435,1.713804600702816,0.7039536917340569,0.0,0.0
2024-03-13,59.23432392587379,29.558700586185015,0.0,4.441710106341191,0.0,4.348247757039069,1.713855671376627,0.7031619531843029,0.0,0.0
2024-03-14,59.255794745504865,29.520643975627088,0.0,4.544259775423635,0.0,4.261628918420757,1.7143200898782383,0.7033524951454153,0.0,0.0
2024-03-15,59.25017530663759,29.517844427416552,0.0,4.556292668335015,0.0,4.258244289122101,1.714157514775071,0.703285793713672,0.0,0.0
2024-03-18,59.241025929997626,29.518704524163386,0.0,4.545565372776564,0.0,4.277634164723781,1.7138928155966848,0.703177192741963,0.0,0.0
2024-03-19,59.180784149480694,29.518384649685775,0.0,4.566646962603277,0.0,4.317140422064289,1.7138742432854026,0.7031695728805625,0.0,0.0
2024-03-20,59.17837936239447,29.51718518213508,0.0,4.571337549939915,0.0,4.316152304956662,1.713804600702816,0.7031409998710529,0.0,0.0
2024-03-21,59.178412048887374,29.519904115200475,0.0,4.549813930604894,0.0,4.334701671265121,1.7139624653490455,0.7032057686930927,0.0,0.0
2024-03-22,59.169274793548496,29.515346187872897,0.0,4.534213008435758,0.0,4.364370991308531,1.7136978264014133,0.7030971924329016,0.0,0.0
2024-03-25,59.05378964638047,29.51720913722723,0.0,4.72185307193164,0.0,4.293302050551706,1.7116068066022831,0.7022392873066651,0.0,0.0
2024-03-26,59.034522014324345,29.520020474163,0.0,4.673454955488715,0.0,4.358280538236744,1.711518826869417,0.7022031909177825,0.0,0.0
2024-03-27,59.00055600386823,29.504118106471495,0.0,4.681087431067419,0.0,4.401462917570804,1.710847700372328,0.701927840649724,0.0,0.0
2024-03-28,59.06201553325929,29.538642813552695,0.0,4.597489531592578,0.0,4.3862532333882225,1.7128496756729537,0.7027492125342562,0.0,0.0
2024-04-02,59.04823578014485,29.53608384179604,0.0,4.637158232656003,0.0,4.363132523727508,1.7127012892365452,0.7026883324390454,0.0,0.0
2024-04-03,58.958863758875864,29.49408419512559,0.0,4.710313986689642,0.0,4.424783067329824,1.7102658665384902,0.7016891254405833,0.0,0.0
