date,INDUSTRIAL AND COMMERCIAL BANK OF CHINA,KGI ASIA LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,THE HONGKONG AND SHANGHAI BANKING,DBS BANK LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BANK OF CHINA (HONG KONG) LTD,CHINA INTERNATIONAL CAPITAL CORPORATION,CHINA MERCHANTS BANK CO LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,12.474082646222094,0.0,87.5259173537779,0.0,0.0
2024-03-04,0.0,0.0,0.0,45.93023679636577,0.0,3.2673810252829756,27.78225535866825,23.020126819683007,0.0,0.0
2024-03-05,0.0,0.0,0.0,45.94131270974466,0.0,3.2681689426057687,27.733110510632486,23.057407837017088,0.0,0.0
2024-03-06,0.0,0.0,0.0,45.949202569862,0.0,3.268459323734949,27.735574634148495,23.046763472254554,0.0,0.0
2024-03-07,0.0,60.36065559641577,0.0,18.210481500300546,0.0,1.2995880087150282,10.993920858858722,9.135354035709936,0.0,0.0
2024-03-08,0.0,56.73029866303397,0.0,17.109075239316375,0.0,1.2687121056340764,10.332697808501754,8.585913418560539,0.0,5.9733027649532815
2024-03-11,0.0,56.73888431305417,0.0,17.096530400198333,0.0,1.2689041144613182,10.334261574764914,8.58721282380699,0.0,5.974206773714265
2024-03-12,0.0,56.67238716872757,0.0,17.230701956996207,0.0,1.2666888471969058,10.331622993691523,8.537738153726963,0.0,5.96086087966084
2024-03-13,0.0,56.68045608670127,0.0,17.377981461157404,0.0,1.2780260673438844,10.354851203412894,8.376750856957305,0.0,5.931934324427244
2024-03-14,0.0,56.67010617434713,0.0,17.38061409853629,0.0,1.2782196789669376,10.361154034766813,8.37233889723344,0.0,5.937567116149381
2024-03-15,0.0,51.01599195581118,0.0,15.72051512406877,9.872260796531435,1.1514581256484029,9.344722388595484,7.53138907368548,0.0,5.363662535659246
2024-03-18,0.0,50.99127383919084,0.0,15.720783299234272,9.872429206736324,1.1600072332421618,9.351705371519898,7.531517551123741,0.0,5.372283498952761
2024-03-20,0.0,50.90191519425215,0.0,15.705712650107792,9.862965052580087,1.1588951981950768,9.342740406625607,7.652116823376318,0.0,5.375654674862973
2024-03-21,0.0,50.87613456448295,0.0,15.705645733940784,9.86292303017516,1.159316323171913,9.34270060070331,7.673387350358747,0.0,5.379892397167124
2024-03-22,0.0,50.84483042262954,0.0,15.689546470480748,9.860570346864252,1.1594657429765645,9.340897971246541,7.721820348522837,0.0,5.382868697279517
