date,FUTU SECURITIES INTERNATIONAL,CCB INTERNATIONAL SECURITIES LTD,CHINA MERCHANTS BANK CO LTD,CMB INTERNATIONAL SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB WING LUNG BANK LTD,DL SECURITIES (HK) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,TOTAL_CCASS_PCT
2024-03-01,6.948571428571429,0.0,0.0,0.0,1.4481428571428572,0.0,0.0,0.0,0.29714285714285715,8.693857142857144
2024-03-04,5.230428571428571,0.0,0.0,0.0,1.4458571428571427,0.0,0.0,0.0,0.2887142857142857,6.965000000000001
2024-03-05,5.250571428571429,0.0,0.0,0.0,1.4458571428571427,0.0,1.1007142857142858,0.0,0.2887142857142857,8.085857142857144
2024-03-06,5.251571428571428,7.9515714285714285,0.0,0.0,1.4458571428571427,0.0,1.1022857142857143,0.0,0.28985714285714287,16.041142857142855
2024-03-07,5.2545714285714284,7.939714285714286,0.0,0.0,1.4527142857142856,1.4122857142857144,1.0984285714285713,0.0,0.2864285714285714,17.444142857142857
2024-03-08,5.257428571428571,7.9030000000000005,0.0,0.0,1.467,1.417142857142857,1.0984285714285713,0.0,0.2864285714285714,17.42942857142857
2024-03-11,5.258714285714286,7.8955714285714285,0.0,0.0,1.467,1.417142857142857,1.0984285714285713,0.0,0.2864285714285714,17.423285714285715
2024-03-12,5.266,7.883142857142857,0.0,0.0,1.467,1.417142857142857,1.1002857142857143,0.0,0.2864285714285714,17.419999999999998
2024-03-13,7.454,7.7945714285714285,0.0,0.0,1.467,1.4221428571428572,1.0998571428571429,0.0,0.2864285714285714,19.524
2024-03-14,7.492,7.731571428571428,0.0,0.0,1.467,1.4221428571428572,1.0998571428571429,0.0,0.2864285714285714,19.499
2024-03-15,7.584142857142857,7.633571428571429,0.0,0.0,1.467,1.4221428571428572,1.0984285714285713,0.0,0.2864285714285714,19.491714285714284
2024-03-18,7.651857142857142,7.548714285714286,0.0,0.0,1.4691428571428573,1.4221428571428572,1.0984285714285713,0.0,0.2864285714285714,19.476714285714287
2024-03-19,7.724857142857143,7.465285714285715,0.0,0.03157142857142857,1.4548571428571428,1.4135714285714287,1.0984285714285713,0.0,0.2864285714285714,19.475
2024-03-20,7.784714285714285,7.399428571428572,0.0,0.020142857142857143,1.4555714285714287,1.4092857142857143,1.1047142857142858,0.0,0.2864285714285714,19.460285714285714
2024-03-21,7.788428571428571,7.399428571428572,0.0,0.020142857142857143,1.4555714285714287,1.4092857142857143,1.102857142857143,0.0,0.2864285714285714,19.462142857142858
2024-03-22,7.817142857142858,7.399428571428572,0.0,0.020142857142857143,1.4537142857142857,1.4092857142857143,1.1005714285714285,0.0,0.2864285714285714,19.486714285714285
2024-03-25,7.8265714285714285,7.399428571428572,0.0,0.020142857142857143,1.4537142857142857,1.4092857142857143,1.1005714285714285,0.0,0.2864285714285714,19.496142857142857
2024-03-26,7.828,7.399428571428572,0.0,0.020142857142857143,1.4537142857142857,1.4092857142857143,1.1005714285714285,0.0,0.2864285714285714,19.49757142857143
2024-03-27,7.846714285714286,7.399428571428572,4.2090000000000005,0.014142857142857143,1.4537142857142857,1.4092857142857143,1.0984285714285713,0.0,0.2864285714285714,23.717142857142857
2024-03-28,7.847999999999999,7.399428571428572,4.2090000000000005,0.014142857142857143,1.4512857142857143,1.4092857142857143,1.0984285714285713,0.0,0.2864285714285714,23.716
2024-04-02,7.851,7.399428571428572,4.2090000000000005,0.014142857142857143,1.4512857142857143,1.4092857142857143,1.0984285714285713,0.0,0.2864285714285714,23.719
2024-04-03,7.851857142857142,7.399428571428572,4.2090000000000005,0.014142857142857143,1.4512857142857143,1.4092857142857143,1.1055714285714284,0.0,0.2864285714285714,23.727
