date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,BOCI SECURITIES LTD,ICBC (ASIA) SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-04,0.0,0.0,0.0,0.0,0.0,100.0
2024-03-11,88.17774094618925,0.0,0.0,0.0,0.0,11.822259053810756
2024-04-29,51.759954232625695,41.300430610699834,0.0,0.0,0.0,6.939615156674465
2024-05-20,47.797602100534625,38.13878080415045,0.0,0.0,7.655246591376419,6.408370503938503
2024-07-22,47.812727445334005,38.11920508844657,0.0,0.0,7.657669061105661,6.410398405113763
2024-09-02,42.14664979978717,33.60186446895132,11.850563538808933,0.0,6.750192123427621,5.650730069024961
2024-10-07,42.14386034893241,33.604653919806076,11.850563538808933,0.0,6.750192123427621,5.650730069024961
2024-10-10,42.12271048739313,33.587789451966756,11.89480126075665,0.0,6.7468045450806935,5.647894254802766
2024-10-23,38.148852817487324,30.419116468094398,10.780220460034517,9.426427681356849,6.1103108180958525,5.11507175493106
2024-11-19,38.15848793553496,30.40154267551154,10.782943181402022,9.428808480169119,6.111854077242379,5.116363650139985
2025-01-16,38.15921076559374,30.40022428320301,10.78314744094886,9.428987088561556,6.111969853104605,5.116460568588228
2025-02-26,38.15150198985879,30.394082947819236,10.801170683420537,9.427082281166037,6.110735136663906,5.115426961071493
2025-04-07,38.12262179920668,30.371075022457283,10.86869303672901,9.419946102526318,6.106109389666623,5.111554649414092
