date,SBI CHINA CAPITAL FINANCIAL SERVICES LTD,SINOPAC SECURITIES (ASIA) LTD,GRANSING SECURITIES CO LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,FUTU SECURITIES INTERNATIONAL,UOB KAY HIAN (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.88598724942167,3.1140127505783166,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.86337284762482,3.1366271523751843,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.61689272559224,2.7659777902227805,26.617129484184982
2024-03-06,73.02898715926456,0.0,0.0,0.0,10.052234805540493,0.0,0.0,11.909797530438212,0.5064049637699019,4.502575540986839
2024-03-07,73.03095584876915,0.0,0.0,0.0,10.052505790117019,0.0,0.0,11.913584573449185,0.5064186152551002,4.496535172409544
2024-03-08,73.04136354252365,0.0,0.0,0.0,10.053938379907375,0.0,0.0,11.901031315381605,0.5064907853341838,4.497175976853178
2024-03-11,74.13324806024575,0.0,0.0,0.0,10.204233214597334,0.0,0.0,10.544960704535006,0.5531544266427318,4.564403593979178
2024-03-12,74.13150928261267,0.0,0.0,0.0,10.203993876743667,0.0,0.0,10.587322857915748,0.553141452537727,4.524032530190187
2024-03-13,73.54444537520516,0.0,0.0,0.0,10.915884052035729,0.0,0.0,10.485639913501304,0.5875426986476047,4.466487960610207
2024-03-15,73.59125086926286,0.0,0.0,0.0,10.913129594675144,0.0,0.0,10.517925442082257,0.5258264206238824,4.451867673355851
2024-03-18,64.0352672013068,0.0,0.0,0.0,9.496036027964742,0.0,13.008854167204834,9.152149992445246,0.4339096186592239,3.8737829924191565
2024-03-19,63.92582609914063,0.0,0.0,0.0,9.483177543522753,0.0,13.064153075825757,9.175948480065955,0.46687760904944586,3.8840171923954627
2024-03-20,63.92496414580001,0.0,0.0,0.0,9.483049675694332,0.0,13.063976923383573,9.1771731196114,0.46687131383608166,3.8839648216746085
2024-03-21,63.91117605292717,0.0,0.0,0.0,9.487744629170496,0.0,13.06115913021755,9.178900881721939,0.4778922237909834,3.8831270821718693
2024-03-22,63.92517963195598,0.0,0.0,0.0,9.489823489080848,0.0,13.064020961048772,9.17585568580826,0.4779969347654391,3.8671232973407035
2024-04-02,63.92517963195598,0.0,0.0,0.0,9.489823489080848,0.0,13.064020961048772,9.167428377367402,0.5117061685288692,3.841841372018131
2024-04-03,63.92517963195598,0.0,0.0,0.0,9.688707968285087,0.0,12.865136481844534,9.167428377367402,0.5117061685288692,3.841841372018131
2024-04-05,63.90902220068882,0.0,0.0,0.0,9.68625909549401,0.0,12.912435820108314,9.139835725602078,0.5115768320562212,3.840870326050562
2024-04-08,63.94242323269319,0.0,0.0,0.0,9.69132146445086,0.0,12.902325135560655,9.136182933413634,0.4865554544987332,3.8411917793829304
2024-04-16,63.64797785826214,0.0,0.0,0.0,9.623200225441723,0.0,12.836199230344016,8.703773792072058,1.3653452328786597,3.823503661001399
2024-04-17,63.64797785826214,0.0,0.0,0.0,9.623200225441723,0.0,12.836199230344016,7.629755909768295,2.4393631151824238,3.823503661001399
2024-04-18,63.712129076338044,0.0,0.0,0.0,9.632899512630786,0.0,12.849136920492246,7.536655329486655,2.441821765408781,3.8273573956434825
2024-04-19,63.75646886748666,0.0,0.0,0.0,9.639603428490103,0.0,12.858079143201708,7.449444647290468,2.4663829084613345,3.830021005069728
2024-04-22,63.75111054382796,0.0,0.0,0.0,9.638793281441044,0.0,12.856998503842249,7.423605486772811,2.499793067829088,3.8296991162868435
2024-04-23,63.74575312075928,0.0,0.0,0.0,9.654790579551713,0.0,12.855918046109185,7.380963360126895,2.53319761184812,3.8293772816048017
2024-04-25,63.735040975483926,0.0,0.0,0.0,9.653168141754245,0.0,12.85375767533912,7.379723027274666,2.5495764056593444,3.828733774488696
2024-04-26,63.802372999996614,0.0,0.0,0.0,9.663366101055717,0.0,12.863972406793382,7.285240032233829,2.552269871269712,3.8327785886507453
2024-04-29,35.15855012344232,45.28857759801092,0.0,0.0,5.325036130320086,0.0,7.088742900688788,3.6205870264803575,1.4064384125272675,2.1120678085302704
2024-04-30,35.21894860222001,45.366378337328136,0.0,0.0,5.334183950141393,0.0,7.138064113771023,3.4178743731224195,1.408854517295892,2.115696106121118
