date,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,EVERBRIGHT SECURITIES INVESTMENT,FUTU SECURITIES INTERNATIONAL,GF SECURITIES (HONG KONG) BROKERAGE LTD,HANG SENG BANK LTD,KGI ASIA LTD,REALORD ASIA PACIFIC SECURITIES LTD,SHANGHAI PUDONG DEVELOPMENT BANK CO.,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-01,0.0,0.0,0.0,1.2762174897890546,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,1.2794900335668622,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,0.0,0.0,1.285121853091461,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,0.7400667489338508,0.0,1.2941023220631187,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-14,0.0,0.0,0.0,1.2953961184403915,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-15,1.8725328064142102,0.0,0.0,1.2995058245799636,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-18,0.0,0.0,0.0,1.3001146699339743,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-20,0.0,0.0,0.0,1.302473945680766,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.5833147939923037,0.0,0.0,0.0,0.0
2024-03-25,0.0,0.7425021303498937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,0.0,0.0,1.3175428681925305,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,1.8724567007449586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2040525720915518
2024-04-05,0.0,0.7419693906651343,0.0,1.31807560787729,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-11,0.0,0.0,0.0,1.3218808913398568,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-12,0.0,0.0,0.0,1.3211959403165947,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-17,0.0,0.0,0.0,1.3214242573243487,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-24,1.8648461338198252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-29,0.0,0.0,0.0,1.3261428088179317,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-30,0.0,0.0,0.0,1.3262189144871828,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-03,0.0,0.0,0.0,1.328502084564723,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-07,0.0,0.0,0.0,1.3308613603115145,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-08,0.0,0.0,0.0,1.3336011644045627,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-09,0.0,0.0,0.0,1.3335250587353111,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-10,0.0,0.0,0.0,1.3339055870815681,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-14,0.0,0.0,0.0,1.3322312623580386,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-16,0.0,0.0,0.0,1.34539754313852,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-17,0.0,0.0,0.0,1.3479851358930655,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-20,1.8602797936647448,0.0,0.0,1.3502683059706053,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,0.0,0.0,1.3590965636037604,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-23,1.854191340124638,0.0,0.0,1.3552151744719423,0.0,0.0,0.0,0.0,0.0,0.0
2024-05-24,1.8599753709877396,0.0,0.0,1.3556718084874504,0.10692846529812843,0.0,0.0,0.0,0.0,0.0
2024-05-27,1.859670948310734,0.0,0.0,1.3559762311644556,0.0,0.0,0.0,76.44535640345795,0.0,0.0
2024-05-28,0.0,0.0,0.0,0.0,0.1068523596288771,0.0,0.0,76.4657527228173,0.0,0.0
2024-05-30,1.8579966235872047,0.0,0.0,0.0,0.10662404262112307,0.0,0.0,76.49596667351008,0.0,0.0
2024-05-31,0.0,0.0,0.0,0.0,0.10670014829037443,0.0,0.0,76.49589056784085,0.0,0.0
2024-06-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.51240549806838,0.0,0.0
2024-06-05,0.0,0.0,0.0,0.0,0.10677625395962576,0.0,0.0,76.51232939239912,0.0,0.0
2024-06-12,0.0,0.0,0.0,0.0,0.11453903222326213,0.0,0.0,76.51225328672987,0.0,0.0
2024-06-14,0.0,0.0,0.0,1.3527036873866483,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-19,0.0,0.0,0.0,0.0,0.11461513789251347,0.0,0.0,76.51217718106062,0.0,0.0
2024-06-20,0.0,0.0,0.0,1.3538452724254182,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-21,0.0,0.0,0.0,1.3527036873866483,0.13539198559812846,0.0,0.0,76.51210107539137,0.0,0.0
2024-06-24,0.0,0.7381641072025675,0.0,1.3446364864460065,0.17352092589304827,0.0,0.0,76.51202496972212,0.0,0.0
2024-06-25,0.0,0.0,0.0,1.3492028266010867,0.0,0.0,0.0,0.0,0.0,0.0
2024-06-28,0.0,0.7345110350785033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-04,0.0,0.0,0.0,1.3496594606165948,0.1945260906064173,0.0,0.0,76.51179665271437,0.0,1.2019216133525144
2024-07-10,0.0,0.0,0.0,1.3458541771540278,0.19543935863743334,0.0,0.0,76.51461256247667,0.0,0.0
2024-07-11,0.0,0.7264438341378616,0.0,0.0,0.19551546430668465,0.0,0.0,76.54010796167586,0.0,0.0
2024-07-16,0.0,0.0,0.0,1.3486700869163273,0.19566767564518733,0.0,0.0,76.53995575033736,0.0,1.2008561339829957
2024-07-18,0.0,0.0,0.0,1.353997483763921,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-19,0.0,0.0,0.0,1.3564328651799638,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-23,0.0,0.7254544604375942,0.0,1.3568894991954719,0.0,0.0,0.0,0.0,0.0,0.0
2024-07-30,0.0,0.0,0.0,1.3593248806115146,0.0,0.0,0.0,76.54086901836837,0.0,0.0
2024-07-31,0.0,0.0,0.0,1.3594770919500172,0.19551546430668465,0.0,0.0,76.56948475000688,0.0,0.0
2024-08-02,0.0,0.0,0.0,0.0,0.1964287323377007,0.0,0.0,0.0,0.0,0.0
2024-08-05,0.0,0.0,0.0,0.0,0.19795084572272742,0.0,0.0,0.0,0.0,0.0
2024-08-06,0.0,0.0,0.0,1.3556718084874504,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-07,0.0,0.0,0.0,1.3571178162032258,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-08,0.0,0.0,0.0,1.3574983445494824,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-12,0.0,0.0,0.0,1.3575744502187337,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-14,0.0,0.0,0.0,1.3667071305288943,0.4373031755181822,0.0,0.0,76.56940864433763,0.0,0.0
2024-08-15,1.8618019070497716,0.0,0.0,1.3678487155676644,0.4522198866914442,0.0,0.0,76.56933253866838,0.0,0.0
2024-08-16,0.0,0.0,0.0,0.0,0.49027272131711275,0.0,0.0,76.69102550380127,0.0,0.0
2024-08-19,1.8960494582128733,0.0,0.0,1.3410595199911937,0.48935945328609665,0.0,0.0,0.0,0.0,0.0
2024-08-20,0.0,0.0,0.0,1.2475256524813005,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-21,0.0,0.0,0.0,1.244481425711247,0.0,0.0,0.0,0.0,0.0,0.0
2024-08-23,0.0,0.0,0.0,1.1239300456171293,0.6739918068898402,0.0,0.0,76.68874233372372,0.0,0.0
2024-08-26,1.9112705920631405,0.0,0.0,1.117765486407771,0.6816023738149738,0.0,0.0,76.85092351489833,0.0,0.0
2024-08-27,0.0,0.0,0.0,1.064263200924081,0.0,0.0,0.0,76.9318238413125,0.0,0.0
2024-08-29,0.0,0.0,0.0,1.0645676236010866,0.683885543892514,0.0,0.0,76.92954067123495,0.0,0.0
2024-09-03,1.9216209630813226,0.7132775533573803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-04,1.9140103961561887,0.0,0.0,1.061980030846541,0.0,0.0,0.0,0.0,0.0,1.2007800283137442
2024-09-05,0.0,0.0,0.0,1.0026176088304983,0.6838094382232626,0.0,0.0,77.1284047849887,0.0,1.1628032993573272
2024-09-11,0.0,0.7109943832798402,0.0,0.9988123253679313,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-12,0.0,0.7094722698948134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-13,0.0,0.7081784735175407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-16,0.0,0.0,0.0,0.9997255933989474,0.6837333325540114,0.0,0.0,77.39644895209192,0.0,0.0
2024-09-17,0.0,0.7070368884787707,0.0,0.0,0.6836572268847599,0.0,0.0,77.41167008594218,0.0,0.0
2024-09-19,0.0,0.0,0.0,0.997366317652156,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-23,0.0,0.0,0.0,0.9969857893058992,0.6851793402697867,0.0,0.0,77.41014797255716,0.0,0.0
2024-09-24,0.0,0.0,0.0,0.0,0.6874625103473267,0.0,0.0,77.40786480247961,0.0,0.0
2024-09-25,0.0,0.7051342467474873,0.0,0.9994211707219419,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-27,0.0,0.7043731900549739,0.0,1.0004866500914609,0.0,0.0,0.0,0.0,0.0,0.0
2024-09-30,1.9170546229262422,0.7081784735175407,0.0,0.0,0.6113568410959899,0.0,0.0,77.48397047173094,0.0,0.0
2024-10-02,0.0,0.0,0.0,0.9943981965513539,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-03,1.9094440560011088,0.7043731900549739,0.0,0.9944743022206052,0.0,0.0,0.0,0.0,0.0,0.0
2024-10-04,1.9090635276548518,0.7042970843857226,0.0,0.9947026192283591,0.0,0.0,0.0,0.0,0.0,1.1589980158947604
