date,FUTU SECURITIES INTERNATIONAL,CHINA INDUSTRIAL SECURITIES,GF SECURITIES (HONG KONG) BROKERAGE LTD,ICBC (ASIA) SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,BOCI SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD
2024-03-07,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.680561463207146,99.31943853679286,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-05,0.44767767207610526,65.3329602686066,0.0,21.852266368214885,12.367095691102406,0.0,0.0,0.0
2024-04-08,0.41981528127623846,65.35124545200112,0.0,21.858382311782815,12.370556954939826,0.0,0.0,0.0
2024-04-09,0.4196978175713486,65.3329602686066,0.0,21.88024622271964,12.367095691102406,0.0,0.0,0.0
2024-05-09,0.3755633450175263,58.46269404106159,0.0,19.57936905358037,11.066599899849775,10.515773660490737,0.0,0.0
2024-05-17,0.362406378352259,56.41459289683498,0.0,18.893452524764438,10.6789079487799,10.147378593863252,0.0,3.5032616574051705
2024-05-23,0.1918158567774936,29.846547314578004,47.09718670076726,10.0,5.6521739130434785,5.3708439897698215,0.0,1.8414322250639386
2024-06-05,0.18495684340320592,28.779284833538842,45.41307028360049,9.469790382244144,5.450061652281135,5.178791615289765,3.7484586929716404,1.775585696670777
2024-06-11,0.18495684340320592,28.779284833538842,45.425400739827374,9.469790382244144,5.437731196054254,5.178791615289765,3.7484586929716404,1.775585696670777
2024-06-13,0.2218661407617404,28.76864291877234,45.40860347590287,9.466288672500925,5.43572044866264,5.176876617773943,3.747072599531616,1.7749291260939233
2024-06-17,0.20959191221797557,28.751078781901125,45.419800271236596,9.493280729873012,5.4247318456417215,5.178153125385279,3.7479965478979165,1.7753667858463815
2024-06-19,0.20954024405275487,28.743991125354366,45.40860347590287,9.515592259336866,5.423394551953654,5.176876617773943,3.747072599531616,1.7749291260939233
2024-06-21,0.19721434734376928,28.743991125354366,45.40860347590287,9.527918156045851,5.423394551953654,5.176876617773943,3.747072599531616,1.7749291260939233
2024-06-28,0.18486566428395365,28.740448607345332,45.40300714813902,9.526743899433079,5.422726152329307,5.176238599950703,3.771259551392655,1.7747103771259554
2024-07-02,0.18484288354898337,28.736906962415283,45.39741219963032,9.525569932224276,5.422057917436845,5.175600739371535,3.783117683302526,1.77449168207024
2024-07-03,26.577229876722264,21.138506163886873,33.393763596809286,7.006889050036258,3.9883973894126177,3.807106598984772,2.7828136330674402,1.305293691080493
2024-07-04,48.17802755620014,21.138506163886873,11.792965917331399,7.006889050036258,3.9883973894126177,3.807106598984772,2.7828136330674402,1.305293691080493
2024-07-05,48.67657722987672,21.138506163886873,11.294416243654823,7.006889050036258,3.9883973894126177,3.807106598984772,2.7828136330674402,1.305293691080493
2024-08-12,48.67657722987672,21.138506163886873,11.466642494561276,7.006889050036258,3.9883973894126177,3.807106598984772,2.5108774474256705,1.4050036258158085
2024-08-19,48.67657722987672,21.138506163886873,11.466642494561276,7.006889050036258,3.9883973894126177,3.807106598984772,2.4474256707759245,1.4684554024655547
2024-08-26,48.66751269035533,21.138506163886873,11.466642494561276,7.006889050036258,3.9883973894126177,3.807106598984772,2.4474256707759245,1.477519941986947
2024-08-27,48.66751269035533,21.147570703408267,11.466642494561276,7.006889050036258,3.9883973894126177,3.807106598984772,2.4474256707759245,1.4684554024655547
2024-08-28,48.67657722987672,21.138506163886873,11.466642494561276,7.006889050036258,3.9883973894126177,3.807106598984772,2.4474256707759245,1.4684554024655547
2024-11-18,48.67216532221517,21.136590229312063,11.465603190428714,7.006253965376598,3.997099610260129,3.8067615335810747,2.447203843016405,1.4683223058098434
2024-11-20,48.66334390575442,21.132759401903037,11.481649297689172,7.004984141368372,3.99637516991391,3.8060715903942,2.4467603081105573,1.4680561848663345
2024-12-03,48.65893439652048,21.130844508880028,11.99710039869518,7.004349401957231,3.9960130482058718,3.8057267125770204,1.9391083725987677,1.4679231605654222
2025-02-20,48.64571066219766,21.125101911405018,12.021016396412719,7.002445873720446,3.9949270767279645,3.804692454026633,1.9385813932421416,1.4675242322674154
2025-02-21,48.62833861475781,21.113626075147128,12.014486192847443,7.016749660479856,3.992756903576279,3.802625622453599,1.937528293345405,1.4938886373924853
2025-02-24,48.59753890698516,21.10025334781035,12.015924719507781,7.012305465074195,3.9902280130293155,3.8002171552660156,1.9363011219688746,1.5472312703583062
2025-02-25,48.588490770901196,21.10025334781035,12.024972855591749,7.012305465074195,3.9902280130293155,3.8002171552660156,1.9363011219688746,1.5472312703583062
2025-02-26,48.57969965623304,21.096435679392076,12.049936674506965,7.01103672878596,3.989506061154333,3.7995295820517456,1.9359507870454133,1.5379048308304686
