date,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,BOCI SECURITIES LTD,CITIBANK N.A.,GUOYUAN SECURITIES BROKERAGE (HONG KONG),SHENWAN HONGYUAN SECURITIES (H.K.) LTD,UBS SECURITIES HONG KONG LTD
2024-03-01,48.61010062057094,27.997425240058682,5.983241509787074,7.835388724864932,0.0,0.0,8.06501853322263,0.0,0.0,1.5088253714957427
2024-03-04,45.59361533907017,26.267625668837873,5.627104546043993,7.359255421268847,6.068317564598974,0.0,7.666641026175477,0.0,0.0,1.4174404340046651
2024-03-05,45.57211931870739,26.25761158216808,5.693238731927308,7.349971152612084,6.062723748043801,0.0,7.6462855851787745,0.0,0.0,1.4180498813625626
2024-03-06,43.494231762094756,25.072707235015713,5.418330948592268,7.0146902060905045,5.878925075362455,4.4918390718022705,7.2745022803425,0.0,0.0,1.3547734206995292
2024-03-07,43.52569435456771,25.07007436399859,5.409171175234872,7.020511075422455,5.879298112099712,4.488284261579397,7.252203267456368,0.0,0.0,1.3547633896408937
2024-03-08,43.54425604040796,25.054945848548567,5.405829598128459,7.022405356555872,5.881844687028138,4.4794130164362755,7.278549575493686,0.0,0.0,1.3327558774010428
2024-03-11,43.5371391288515,25.07372388091278,5.4259208901983405,7.026765069549488,5.885659726479257,4.482684322160587,7.233416877454251,0.0,0.0,1.3346901043938013
2024-03-12,43.529512324435174,25.08926476650377,5.421616958173666,7.02154555844843,5.885376939713475,4.484079548111018,7.224923792833235,0.0,0.0,1.3436801117812252
2024-03-13,43.61998780594663,25.134197253750777,5.382271052771569,7.04503382650648,5.889833966637497,4.490804927008171,7.0929538989907694,0.0,0.0,1.3449172683881063
2024-03-14,43.045219310583114,24.873734153436732,5.462549973418528,6.9662824452682015,5.831127183095424,4.443349377245507,7.145856339605294,0.0,0.8906114216737322,1.3412697956734663
2024-03-15,43.004950340915435,24.859076608304843,5.477844992396335,6.961309887873904,5.835104066554398,4.441087886677863,7.191307932779551,0.0,0.8901581353893212,1.3391601491083467
2024-03-18,43.063293070514995,24.90635539595995,5.496555453155083,6.970355603271247,5.846773571702794,4.449534268434528,7.029571294866882,0.0,0.8918511024341422,1.3457102396603784
2024-03-19,42.95736733869685,24.913791813843673,5.5041774399686085,6.958506843754662,5.835956945263282,4.4413025574881,7.157092580586105,0.0,0.8902011633529734,1.3416033170457502
