date,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,BANK OF CHINA (HONG KONG) LTD,CITIBANK N.A.,UBS SECURITIES HONG KONG LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,HANG SENG BANK LTD,BOCI SECURITIES LTD,DBS BANK LTD,TOTAL_CCASS_PCT
2024-03-01,28.48206555608109,16.971970746709957,5.112765871478517,5.723775880058659,7.8910506038185195,2.2296357361689787,3.265447961800546,1.8997333501291773,0.8034214560570805,0.26719215475627406,72.64705931705879
2024-03-04,28.689322168850524,17.02252465305094,5.101000858014113,5.609581569571635,7.8475331024697015,2.228304103018736,3.3038432614994098,1.8997333501291773,0.8089830987857081,0.26719215475627406,72.77801832014622
2024-03-05,28.64719914246124,17.104190483886686,5.131304680573943,5.587075930683868,7.749637328605146,2.1816718678325517,3.324331022320251,1.8997571178331458,0.8085315124103065,0.26766750883564394,72.70136659544278
2024-03-06,28.593009585515013,17.122753060686076,5.106705106966552,5.589623828549291,7.740645245627337,2.18011175574406,3.3307007669838073,1.8998284209450513,0.8137604072833753,0.26766750883564394,72.6448056871362
2024-03-07,28.601380570852715,17.147114957253784,5.101452444389515,5.591620315682643,7.731337812753275,2.1913063443132206,3.3280568475943517,1.901016806143476,0.8141169228429026,0.26761997342770694,72.67502299525358
2024-03-08,28.59915840937018,17.14573643042361,5.039323666215872,5.599273516360499,7.795043078963443,2.1889533416203393,3.3299107285038945,1.9010405738474445,0.8152340049294218,0.26761997342770694,72.6812937236624
2024-03-11,28.598544370738153,17.183099261062086,5.072099329988425,5.592666094657258,7.759173525629903,2.1936831147100695,3.3300771024316735,1.9010405738474445,0.8157093590087917,0.2671446193483371,72.71323735142215
2024-03-12,28.605641407143146,17.18820931741531,5.092729697033078,5.579175545884741,7.822880289205422,2.1961139804011514,3.352394976458089,1.9029657578688925,0.8146873477381464,0.2677625796515179,72.8225608987995
2024-03-13,28.583079557635493,17.28886554372188,5.115689299066642,5.482098735795827,7.741850410824763,2.1869634143732815,3.3550094238946233,1.902894454756987,0.816541228647689,0.2677625796515179,72.74075464836869
2024-03-14,28.566026657856767,17.25856172116205,5.155904254181333,5.453973413446341,7.8263258219466225,2.1881362554933106,3.3723360800876554,1.9031321317966718,0.816205509829134,0.2677625796515179,72.80836442545142
2024-03-15,28.569075792831182,17.29675642143942,5.088665419654466,5.4620306650916595,7.850662287071082,2.1837217609967223,3.3837683456965006,1.9031321317966718,0.8216483140379189,0.2677625796515179,72.82722371826715
2024-03-18,28.5689848575958,17.210527191441724,5.129736012112022,5.457895084601142,7.98896220697392,2.194685636463461,3.4054682594197354,1.9031321317966718,0.8124026771941749,0.2677625796515179,72.93955663725016
2024-03-19,28.59999527022691,17.243017642766656,5.177271420049009,5.4621732713154705,7.828081542238776,2.1797874691911137,3.4056108656435464,1.9067923582078201,0.814518002847371,0.2677625796515179,72.88501042213818
2024-03-20,28.568748654153765,17.1815781280081,5.182096263954613,5.459107237503535,7.821143392934812,2.1914820114132514,3.4035193076943187,1.9086937745252996,0.8111429888838448,0.2663365174134083,72.79384827648495
2024-03-21,28.56626112625642,17.22704574569983,5.194859520985695,5.453980543757531,7.69215775100478,2.1817339015399098,3.3966979766553616,1.9105476554348422,0.812307606378301,0.2663365174134083,72.70192834512608
2024-03-22,28.528018890571115,17.27969120999004,5.235074476100386,5.409354302786288,7.683974791973171,2.1780499074247928,3.3973872400704472,1.9108091001784955,0.8132107791291038,0.2668118714927782,72.70238256971662
2024-03-25,28.530128250530613,17.29659004751164,5.2226915023327996,5.405480167039423,7.784048353016954,2.179681655373046,3.434441090557329,1.9140391311478138,0.8132820822410092,0.2663365174134083,72.84671879716403
2024-03-26,28.543016430613754,17.270778321001856,5.244534022279846,5.3528133118156385,7.773340384418844,2.179684816477674,3.4374543600664547,1.9183173178621424,0.812355141786238,0.2663365174134083,72.79863062373586
2024-03-27,28.526569179467554,17.26514537516132,5.176296944186301,5.351596405372452,7.877231775518789,2.180394757795213,3.4085813532855287,1.9183173178621424,0.8073639239528543,0.26548088007054255,72.7769779126727
2024-03-28,28.523494969565455,17.244586311228577,5.175560145363278,5.3429449611279205,7.882993684921055,2.180383111620268,3.341991377077,1.9108304911120673,0.808885057006838,0.26524320303085763,72.67691331205332
2024-04-02,28.529348955052896,17.27325016221458,5.182262637882393,5.341613969705684,7.89566526991793,2.191822151024745,3.2902181875224303,1.9108304911120673,0.8077442072163503,0.26524320303085763,72.68799923467994
2024-04-03,28.552566080158957,17.268710530756596,5.237831529760731,5.347532127993839,7.872907574529578,2.1915539324854603,3.3036000465846995,1.9108304911120673,0.8075065301766653,0.2535019572704218,72.74654080082902
2024-04-05,28.57248151466824,17.115242466232033,5.238615863991691,5.3489819579359175,8.032928109825807,2.1957132806799464,3.319001518756284,1.9108304911120673,0.8072688531369804,0.252788926151367,72.79385298249034
2024-04-08,28.500268099700765,17.15365107584512,5.304547474800292,5.341281221850125,8.097589764675964,2.2868035765640933,3.312507611607196,1.913135958397011,0.80522483059569,0.252788926151367,72.96779854018763
2024-04-09,28.543127021740318,17.15365107584512,5.304547474800292,5.379190709679873,8.021257097630597,2.2875879107950534,3.3205173278445783,1.9148472330827424,0.8103586546528846,0.252788926151367,72.98787343222283
