date,UBS SECURITIES HONG KONG LTD,NANYANG COMMERCIAL BANK LTD,CITYLINE SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,TAI FUNG KUENTAI SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,BRIGHT SMART SECURITIES INTERNATIONAL,EVERBRIGHT SECURITIES INVESTMENT,BOCI SECURITIES LTD
2024-03-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
2024-03-04,0.0,0.0,96.99829013343685,0.0,0.0,0.0,0.0,3.001709866563149,0.0,0.0
2024-03-05,0.40566094523688406,0.0,77.1546236430968,0.0,20.052087807902865,0.0,0.0,2.387627603763454,0.0,0.0
2024-03-06,0.4055189632186807,0.0,77.12761939408739,0.0,20.045069543192927,0.0,0.0,2.4217920995010016,0.0,0.0
2024-03-07,0.18383586044901498,52.1058122763543,34.96463436174772,0.0,9.069674234587097,0.0,2.578160615686546,1.0978826511753224,0.0,0.0
2024-03-08,0.18380086448132252,52.11572285622612,34.95797830883446,0.0,9.067154494654881,0.0,2.577669823381975,1.0976736524212338,0.0,0.0
2024-03-12,0.18385482216306234,52.154031485531036,34.96824078215404,0.0,9.02141758642179,0.0,2.5744594316623632,1.0979958920677046,0.0,0.0
2024-03-13,0.1838489873729019,52.15237633269818,34.96713103510013,0.0,9.024304869612026,0.0,2.5743777289885714,1.0979610462281895,0.0,0.0
2024-03-15,0.18385044603572198,52.15279011105738,34.967408465260036,0.0,9.023583065995304,0.0,2.574398154170846,1.0979697574807172,0.0,0.0
2024-03-19,0.18380815420911129,52.140793203765604,34.95936477753598,0.0,9.020714116222962,0.0,2.5976025610002087,1.0977171872661302,0.0,0.0
2024-03-20,0.10566928524774966,29.975168260622908,20.0977541211524,42.51283324179583,5.184176430842228,0.0,1.4933331285528457,0.6310655317860339,0.0,0.0
2024-03-21,0.10566446680482472,29.97380141464595,20.09683767811103,42.51089468737037,5.183940036149236,0.0,1.4932650336430435,0.6355966832755419,0.0,0.0
2024-03-22,0.10565386777704601,29.970794792236035,20.094821797586043,42.50663048988455,5.182052202637547,0.0,1.4931152466990387,0.6469316031797407,0.0,0.0
2024-03-25,0.10565396412226666,29.970822122450237,20.094840121951076,42.506669251463094,5.181965738636799,0.0,1.4931166082631815,0.6469321931133549,0.0,0.0
