date,CITIBANK N.A.,BNP PARIBAS,UBS SECURITIES HONG KONG LTD,THE HONGKONG AND SHANGHAI BANKING,GOLDMAN SACHS (ASIA) SECURITIES LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,MORGAN STANLEY HONG KONG SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING
2024-03-01,15.231252805688214,50.421455154454485,6.578862232786542,9.39228739801205,4.016759711543135,6.253722612960135,2.142825384489486,2.2169095203997173,1.7110966127075695,2.0348285669586574
2024-03-04,15.83642526246786,50.606308587081315,6.584186349752116,8.366772094040824,4.304690570299458,6.239080892823458,2.1539275491786567,2.211910588453357,1.6393160069280357,2.057382098974922
2024-03-05,12.463777625426273,50.593604439565794,6.557049260003117,8.340162236364673,7.703900945265165,6.234935928277217,2.1631571966402405,2.210441094608656,1.6314796913144882,2.1014915825343694
2024-03-06,12.326315642237281,50.62679062623978,6.5607620991030915,8.296814853595844,7.714571599577985,6.24411244861881,2.2143953144968775,2.213502771149801,1.634685370112274,2.1680492748682587
2024-03-07,12.127660597382613,50.73365455550637,6.569613080866684,8.150908618238406,7.724979160698229,6.2524009314399205,2.2384916554453325,2.216488959700029,1.7174023824568478,2.2684000582655686
2024-03-08,12.12122296380988,50.653361729667104,6.582724675038473,8.251373710616255,7.7403966275252465,6.26447268402824,2.2460776516711527,2.220912615000289,1.6443606839483433,2.27509665869502
2024-03-11,12.012959686721608,50.68806714063619,6.589827794037577,8.273714675997361,7.748748937709819,6.27123239176902,2.2460581496035186,2.223309100858307,1.6571291795011327,2.28895294316546
2024-03-12,12.003543386336363,50.68766765732696,6.586544426479551,8.25724504487774,7.744250109491987,6.267591391464135,2.288162541046515,2.222018274971404,1.6477566883325034,2.295220479672838
2024-03-13,11.995541016467119,50.70262598420484,6.584981218940192,8.237926074989236,7.742412139628888,6.2661038821599595,2.293857963620848,2.221490915631647,1.6335324688297965,2.3215283355274767
2024-03-14,11.96988308920647,50.71641821472469,6.579397659292018,8.300775343509917,7.732233055707074,6.257865726385116,2.262399613692405,2.2185702828812905,1.6293532227799519,2.333103791821068
2024-03-15,11.962957305861075,50.68659697608277,6.578714567849183,8.396556999313683,7.731258388892556,6.258431144769442,2.23340459548289,2.218290626692086,1.6302312289206822,2.3035581661356375
2024-03-18,11.897731127126494,50.67060810574833,6.575565594081533,8.578374043171145,7.728034985450777,6.255821809073046,2.226517258133861,2.2173657519457937,1.7213305626426953,2.1286507626263282
2024-03-19,11.967120051261253,50.621944855940896,6.569145227562688,8.676833888650231,7.71994841007146,6.249713639621131,2.225695643266269,2.2152007213290146,1.62728426868095,2.127113293616111
2024-03-20,11.914168983399255,50.626563305166826,6.57055742003229,8.705190375787106,7.729780614942997,6.253374384420228,2.229705622383053,2.2164982663026196,1.6318909311001062,2.1222700964655115
2024-03-21,11.89000604691687,50.547942154098244,6.5664612673782665,8.760887423394953,7.719654825252313,6.249475966912566,2.2229064017925286,2.215116478628339,1.6238416345038154,2.2037078011221003
2024-03-22,11.950293720591088,50.54472404481752,6.56760696459515,8.706772676004121,7.72100172835407,6.250566357448766,2.183664949902927,2.2155029657606464,1.621555139736165,2.23831145278954
2024-03-25,9.986542297445961,50.52245567736361,8.523530747887511,8.72201267485547,7.723717845575101,6.252765200490377,2.1819977052977837,2.216282342060544,1.6371440037467162,2.233551505276925
2024-03-26,9.992012534418361,50.538375758079866,8.530353851629686,8.742984517597625,7.72921037688748,6.25644451399406,2.1591838802980536,2.217586468680951,1.638378109643886,2.1954699887700295
2024-03-27,9.911871292883195,50.610098659072314,8.525617695258864,8.758409065923292,7.729521030765271,6.2566895746704185,2.159893822100468,2.2174813971603036,1.6338331277921891,2.1965843343736897
2024-03-28,9.874840461825443,50.542721187733996,8.51881260521283,8.924777994989372,7.722505669068417,6.2509014861214185,2.159112937791774,2.2154299962510295,1.6215017324127754,2.1693959285929534
2024-04-02,9.86080843902722,50.53380004197923,8.517820948135215,8.927213022434682,7.718868284177893,6.249380084408175,2.1585874330897825,2.2148907845870243,1.6908687672242628,2.1277621949365235
2024-04-03,9.844575006862547,50.4710653853341,8.509816476142568,9.063476858062746,7.711369785478141,6.2433091208016,2.1563553873312116,2.2127391277564024,1.6340403638742205,2.1532524883564594
2024-04-05,9.81355388836009,50.529357945444694,8.518020180950332,9.076559810576033,7.723316322973371,6.248931065946288,2.160325229258726,2.2147316445059424,1.585160880126155,2.130043031858363
