date,24,217,457,48,Others
2024-02-29,100.0,0.0,0.0,0.0,0.0
2024-03-04,100.0,0.0,0.0,0.0,0.0
2024-03-05,42.857142857142854,57.14285714285714,0.0,0.0,0.0
2024-04-08,62.857142857142854,37.142857142857146,0.0,0.0,0.0
2024-04-10,100.0,0.0,0.0,0.0,0.0
2024-04-11,36.39705882352941,63.60294117647059,0.0,0.0,0.0
2024-05-02,100.0,0.0,0.0,0.0,0.0
2024-05-07,100.0,0.0,0.0,0.0,0.0
2024-05-08,18.796992481203006,81.203007518797,0.0,0.0,0.0
2024-05-20,100.0,0.0,0.0,0.0,0.0
2024-05-21,0.0,0.0,0.0,0.0,0.0
2024-05-23,27.835051546391753,0.0,72.16494845360825,0.0,0.0
2024-06-03,100.0,0.0,0.0,0.0,0.0
2024-06-18,100.0,0.0,0.0,0.0,0.0
2024-07-10,100.0,0.0,0.0,0.0,0.0
2024-07-11,100.0,0.0,0.0,0.0,0.0
2024-07-12,7.142857142857142,92.85714285714286,0.0,0.0,0.0
2024-07-15,0.0,0.0,0.0,0.0,0.0
2024-07-17,100.0,0.0,0.0,0.0,0.0
2024-07-22,100.0,0.0,0.0,0.0,0.0
2024-07-31,100.0,0.0,0.0,0.0,0.0
2024-08-01,0.0,100.0,0.0,0.0,0.0
2024-08-06,26.60098522167488,73.39901477832512,0.0,0.0,0.0
2024-08-08,65.02463054187191,34.97536945812808,0.0,0.0,0.0
2024-08-09,100.0,0.0,0.0,0.0,0.0
2024-08-29,61.57635467980296,38.42364532019704,0.0,0.0,0.0
2024-09-03,100.0,0.0,0.0,0.0,0.0
2024-10-30,100.0,0.0,0.0,0.0,0.0
2024-11-08,100.0,0.0,0.0,0.0,0.0
2024-11-12,100.0,0.0,0.0,0.0,0.0
2025-03-10,98.23008849557522,0.0,0.0,1.7699115044247788,0.0
2025-04-02,100.0,0.0,0.0,0.0,0.0
2025-04-09,100.0,0.0,0.0,0.0,0.0
