date,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA SECURITIES DEPOSITORY AND CLEARING,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,CITIC SECURITIES BROKERAGE (HK) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD
2024-03-01,38.97996581517234,15.564593946398123,29.886588989195534,9.640150881000372,2.4724887071791763,0.0,1.7904170627821312,1.6657945982723268,0.0,0.0
2024-03-04,38.49132952518354,15.403333211300337,29.399733738534156,9.498329881704242,2.516828878063746,0.0,1.7677963527786957,1.6537431954624826,0.0,1.2689052169728032
2024-03-05,38.444773653022516,15.411097829110481,29.443228914026093,9.46397062689794,2.5570781532285256,0.0,1.7564668875326914,1.6565408966103283,0.0,1.2668430395714276
2024-03-06,38.515865818270136,15.483607091475275,29.345744095685934,9.386785582307105,2.5748001673455216,0.0,1.7583433105153312,1.6667510986024199,0.0,1.268102835798279
2024-03-07,38.595250905598085,15.538341743329525,29.340117804175563,9.342311182748286,2.6274332809249885,0.0,1.7541542507681993,1.5587465069719628,0.0,1.2436443254833875
2024-03-08,38.76375024993501,15.510784454896736,29.247813327187476,9.280058959406887,2.6353304374016515,0.0,1.7474543123213868,1.5689823704613275,0.0,1.2458258883895261
2024-03-11,38.796608070720914,15.488565133618378,29.306536382920346,9.23665785888664,2.6366710398938795,0.0,1.7215978272328083,1.5689555508959265,0.0,1.2444081358311134
2024-03-12,38.61542699248825,15.416490785644832,29.11984922199139,9.186870598216618,2.6396649567172723,0.38138552816713767,1.7157498080797684,1.5830879648774043,0.08991183743719451,1.251562306380122
2024-03-13,38.63611348858236,15.44093619314161,29.036454289596442,9.19922926321157,2.6631187872565127,0.3817619908775495,1.7189244338150687,1.582372122868585,0.09000058871777501,1.2510888419325312
2024-03-14,38.5067323980411,15.464015897522444,28.95897003631987,9.370480961174108,2.6651380419181474,0.370042395446315,1.7026321451576114,1.6202333049764002,0.08997645195524433,1.251778367488759
2024-03-15,38.539490283242294,15.540965297866979,28.874458861157613,9.305758531519754,2.661445992290868,0.36973517845867543,1.6925698079988776,1.6749351811215882,0.08990175161045047,1.2507391147329
2024-03-18,38.56052330706827,15.562076297178928,28.82868841222071,9.282154603375758,2.658768945420031,0.36993170205867154,1.6888209827371405,1.709743383039376,0.08981132287226506,1.2494810440288437
2024-03-19,38.599222647883565,15.61608346314113,28.721790268373514,9.222487959828339,2.699848208845624,0.3704274754662837,1.6928090070139685,1.739324195478182,0.08979371145086348,1.2482130625185306
2024-03-20,38.24898483696473,15.727082641118418,28.710874376948475,9.448397606836672,2.70725697552409,0.37128766986550454,1.6885372573004205,1.7544141028504945,0.09000222742980933,1.2531623051613836
2024-03-21,38.14005527702785,16.067411010009337,28.753015256839255,9.213377113150147,2.7127333219544076,0.3715227889433961,1.6951924805191987,1.702677655825128,0.0900592216217499,1.2539558741095382
2024-03-22,37.995568448057,16.16853599762564,28.748302124013364,9.400422340714758,2.694532720157036,0.37163826279175366,1.7011930206302317,1.5753742538709026,0.090087213134546,1.2543456190047728
2024-03-25,37.996048987769846,16.212786045378145,28.85734337226505,9.26979050263207,2.692515913533098,0.3717534200059873,1.7082221362085366,1.554903223424969,0.09011512789344277,1.2465212708888578
2024-03-26,38.208176913441356,16.300397534489203,28.71719295691186,9.15609684996367,2.6594864972703243,0.3715533450777785,1.71095105224865,1.51742614146546,0.09006662860124118,1.268652080530456
