date,CHINA INTERNATIONAL CAPITAL CORPORATION,FUTU SECURITIES INTERNATIONAL,THE HONGKONG AND SHANGHAI BANKING,QUAM SECURITIES LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,HUATAI FINANCIAL HOLDINGS (HONG KONG),CMB INTERNATIONAL SECURITIES LTD,MERRILL LYNCH FAR EAST LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,ORIENTAL PATRON SECURITIES LTD
2024-03-01,0.0,9.250308447249282,12.783456834688995,0.0,17.411037421685418,0.0,0.0,35.593006968522545,24.962190327853758,0.0
2024-03-04,38.63593376045839,3.945825859748887,5.3233692079680495,0.0,7.453240534337451,18.851851500806756,0.0,15.157352188588714,10.632426948091755,0.0
2024-03-05,30.576502511003373,3.0676031551310627,4.205300711754777,21.09118979640114,5.75761296668253,14.897521126177185,0.0,11.991538862404628,8.412730870445301,0.0
2024-03-06,30.41458688887207,2.911530165941804,4.196948820985885,20.980045673790244,5.752283041151973,15.455246557597704,0.0,11.921176979329543,8.36818187233078,0.0
2024-03-07,30.3260745652567,2.884928738746044,4.172481850979656,20.91810066606781,6.065099262924869,15.403929693118561,0.0,11.88037685876994,8.34900836413642,0.0
2024-03-08,30.27641966988818,2.85095396389058,4.079787602513829,20.883850071001618,6.3339027995635035,15.380019870442602,0.0,11.860461251014224,8.334604771685465,0.0
2024-03-11,30.480532335879097,2.5691255187002526,3.759701225266802,21.02464143142744,6.349175589883722,15.483589849239793,0.0,11.94158568869373,8.391648360909164,0.0
2024-03-12,30.477631399738193,2.5550517273882267,3.776513461422005,21.022640444649852,6.356962115626702,15.482116223225336,0.0,11.938234928814001,8.390849699135686,0.0
2024-03-13,30.518327800161334,1.9661450411516033,3.808674364560707,21.164007962649293,6.634354814645311,15.441020089423471,0.0,12.020195651207873,8.447274276200412,0.0
2024-03-14,30.451226848870466,1.9381231054256542,3.7642666250269614,21.20469999705781,6.731814984782399,15.403310959162289,0.0,12.042445823764893,8.464111655909527,0.0
2024-03-15,30.43589783169738,1.917852665508199,3.7589294639177937,21.223791485330562,6.773612221502912,15.363022506666587,0.0,12.05309109232873,8.473802733047838,0.0
2024-03-18,30.40805005942592,1.9608438551505503,3.8328810909337054,21.20437246522185,6.747118278077771,15.339522997439357,0.0,12.041161751118223,8.466049502632622,0.0
2024-03-19,30.383870926418748,1.9557610941792851,3.8403649575755683,21.187511688514093,6.808231570374714,15.327952104051557,0.0,12.036598473971404,8.459709184914633,0.0
2024-03-20,30.26798465091084,1.9937005005296147,3.8624679269094595,21.151398369785017,6.938268378994975,15.32406510135232,0.0,12.014675511851138,8.447439559666638,0.0
2024-03-21,25.295864529562067,1.6080126401924775,3.1915113507277506,17.794967045697245,6.094597416766937,12.89014702794144,15.89507255512887,10.107095071944837,7.122732362038375,0.0
2024-03-22,24.769261086375316,1.6603472095087997,3.227709145127469,17.853868035767505,6.739849617035314,12.507560037196352,15.947684931894242,10.14665267991879,7.147067257176211,0.0
