date,CMB WING LUNG BANK LTD,CHINA SECURITIES DEPOSITORY AND CLEARING,CHINA INTERNATIONAL CAPITAL CORPORATION,THE HONGKONG AND SHANGHAI BANKING,CHINA SECURITIES DEPOSITORY AND CLEARING,CITIBANK N.A.,BANK OF CHINA (HONG KONG) LTD,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,FUTU SECURITIES INTERNATIONAL,VALUABLE CAPITAL LTD,TOTAL_CCASS_PCT
2024-03-01,65.43227263095321,8.596003988651004,0.0,4.777971071497554,2.8603417778844586,1.9528813643549243,0.7365150966783744,1.1573791918809293,0.5116377847328616,0.4923696187434718,86.51737252537679
2024-03-04,65.43367906642689,8.552756097835402,0.0,4.782444825536367,2.8493247000073136,1.9039147897003919,0.7468289568186804,1.1573791918809293,0.5024959541539541,0.4923696187434718,86.42119320110339
2024-03-05,65.43250703686549,8.512789889791716,0.0,4.827216354781787,2.854130021209047,1.885836702527646,0.7210443064679155,1.1573791918809293,0.5035507807592126,0.492252415787332,86.38670670007107
2024-03-06,65.43238983390934,8.513803929768237,0.0,4.8533686708059625,2.9332420166034394,1.8392345803102783,0.7211615094240553,1.1573791918809293,0.4998002861627377,0.49365885126101006,86.444038870126
2024-03-07,65.43356186347074,8.51239749429456,6.62454548693609,4.881145771411105,2.8858920223229436,1.8261274221162915,0.7244431921959709,1.1257343937231723,0.5035507807592126,0.4923696187434718,93.00976804597356
2024-03-08,65.4375467639795,8.49798153068936,6.619271353909798,4.882751451910221,2.899253159322886,1.7772775816060744,0.757494425827406,1.1130764744600694,0.504664208842541,0.49283843056803117,92.98215538111589
2024-03-11,65.42805332453217,8.331553332970785,6.619271353909798,4.954189232142489,2.9965316129189534,1.7438161376281496,0.7837478880027303,1.1130764744600694,0.5208382167898391,0.4942448660417093,92.9853224393967
2024-03-12,65.42887374522515,8.212592332488846,6.619271353909798,4.965323512975774,3.0605244269713068,1.7523305807828409,0.8122282063447117,1.1130764744600694,0.5236510877371954,0.49553409855924746,92.98340581945494
2024-03-13,65.43250703686549,8.10675806309457,6.619271353909798,4.995081460742636,3.0895907600939876,1.8055106017106006,0.8203152103183607,1.1130764744600694,0.5293940325880476,0.49623731629608653,93.00774231007965
2024-03-14,65.43156941321638,7.8498491832360395,6.619271353909798,5.031787199749467,3.23503962866353,1.8687422997657817,0.8472718902305242,1.1130764744600694,0.5401767045529129,0.49623731629608653,93.03302146408058
2024-03-15,65.43156941321638,7.754680382850489,6.626303531278187,5.023114298198075,3.2673876445581262,1.9697240151670001,0.8557105030725928,1.1072163266530775,0.543809996193248,0.4969405340329256,93.07645664522009
2024-03-18,65.43555431372512,7.757926904735562,6.62466268989223,5.031069566049022,3.3472028576893575,1.7768490875984269,0.8452794399761469,1.1072163266530775,0.5698290524562927,0.4984641724627435,92.99405441123798
2024-03-19,65.4369607491988,7.778789030928454,6.6176305125238395,4.934407600002251,3.334779344338535,1.8557069869839085,0.8594609976690676,1.1072163266530775,0.5729935322720684,0.4983469695066037,92.9962920500766
2024-03-20,65.43028018069883,7.835866870568556,6.6220842248571525,4.897312864383991,3.4661638581712966,1.8524482759913963,0.8029691728096642,1.1072163266530775,0.570297864280852,0.495885707427667,93.08052534584247
2024-03-21,65.42277919150588,7.795865150029161,6.6220842248571525,4.91057906698946,3.7764000830734554,1.7266614925468295,0.775895289941361,1.1013561788460853,0.5555302918072321,0.4964717222083663,93.18362269180498
2024-03-22,65.4225447855936,7.79527913524846,6.6220842248571525,4.932019824176813,3.775931271248896,1.7294978040854139,0.7721447953448861,1.1013561788460853,0.5667817755966569,0.495885707427667,93.21352550242563
2024-03-25,65.41902869690941,7.824111062458862,6.6220842248571525,4.950680410041574,3.689552692573833,1.7247555380740835,0.7680426918799917,1.1013561788460853,0.5664301667282373,0.495182489690828,93.16122415206006
2024-03-26,65.39511929385688,8.137746173089075,6.623725066243111,4.949104381890361,3.7328005833894347,1.7644266290742092,0.705221907389037,1.1001841492846869,0.5029061645004435,0.4915491980504929,93.40278354676774
2024-03-27,65.39277523473407,8.251923417713211,6.62442828397995,4.908963072630203,3.69928053793344,1.7086849031341007,0.7136605202311055,1.1001841492846869,0.4899200769601491,0.4937760542171499,93.38359625081807
2024-03-28,65.39277523473407,8.386472411361748,6.620326180515056,4.9985351974541645,3.644663960372274,1.4837484036957374,0.7477665804677992,1.1001841492846869,0.5039844316969301,0.4934244453487303,93.37188099493122
2024-04-02,65.39289243769022,8.489259403896389,6.620326180515056,4.977550594172107,3.64067905986352,1.3944268587920032,0.748704204116918,1.1001841492846869,0.5103133913284814,0.4934244453487303,93.36776072500811
2024-04-03,65.38070333025168,8.649358641983412,6.620326180515056,4.9004310490320915,3.6178244834162507,1.332804943339403,0.7168250000468812,1.100301352240827,0.462728991135706,0.4931900394364507,93.27449401139776
2024-04-05,65.38093773616396,8.660036300099575,6.620326180515056,4.87286585137165,3.702679423661495,1.197945596263007,0.718465841432839,1.100301352240827,0.4593301054076506,0.49354164830487024,93.20643003546093
2024-04-08,65.39523649681301,8.5523790559255,6.619036947997517,4.881817109943873,3.720611475950891,1.1081248839690734,0.7580804406081052,1.100301352240827,0.48581797349525463,0.49553409855924746,93.1169398355033
2024-04-09,65.39898699140949,8.5523790559255,6.6176305125238395,4.898542206190942,3.720611475950891,0.9798780104751313,0.7769501165466196,1.100301352240827,0.5268390081441989,0.4956513015153873,93.06777003092283
2024-04-10,65.39593971454985,8.550034996802705,6.6176305125238395,4.810269744947615,3.686622618670337,1.0147059237186904,0.7835134820904507,1.100301352240827,0.5315271263897927,0.4829933822522845,92.9735388541864
2024-04-11,65.39183761108495,8.577812097407845,6.623373457374691,4.782999195518909,3.7296361035736587,1.0574146809360485,0.7818726407044929,1.100301352240827,0.5351604180301278,0.47971169948036896,93.06011925635194
2024-04-12,65.39101719039199,8.602190312284932,6.623373457374691,4.769286449650548,3.7442864730911385,1.0471874337803297,0.7879671944237646,1.100301352240827,0.5412549717493995,0.48135254086632673,93.08821737585394
2024-04-15,65.39230642290951,8.636530778433906,6.623373457374691,4.819631682678153,3.774407632819078,1.0042211816683326,0.8022659550728253,1.100301352240827,0.5455914811265736,0.4810009319979072,93.17963087632182
2024-04-16,65.39629132341828,8.57382719689909,6.623373457374691,4.779899880546747,3.8691076213800697,1.0133756701665033,0.8076572910552579,1.100301352240827,0.5665708102756051,0.4815869467786065,93.21199155013568
2024-04-17,65.40215147122527,8.557653188951793,6.623373457374691,4.738175628160963,3.922434966423697,0.9893598468298006,0.8138690477306695,1.0994809315478478,0.5662192014071855,0.4819385556470259,93.19465629529894
2024-04-18,65.40742560425156,8.542045974500386,6.623373457374691,4.729830777683807,3.9435470865220354,0.9262929361309522,0.8315666941077854,1.0994809315478478,0.5830964270913227,0.4822901645154455,93.16895005372584
2024-04-19,65.40859763381296,8.454846975132345,6.623373457374691,4.713891175648788,4.048326529311053,0.9164109688840216,0.8435213956340492,1.0994809315478478,0.5901286044597132,0.4825245704277252,93.1811022422332
2024-04-22,65.4149265934445,8.429062324781581,6.623373457374691,4.710961101745292,4.059343607188198,0.8796326812473394,0.8435213956340492,1.0994809315478478,0.5874329364684968,0.4825245704277252,93.13025959985973
2024-04-23,65.42406842402342,8.42870133967667,6.623373457374691,4.625780806093804,4.1541607987053295,0.9531540956338618,0.8709468873707721,1.0994809315478478,0.609349889266647,0.4820557586031658,93.2710723882962
2024-04-24,65.41996632055852,8.446985000834486,6.623373457374691,4.643189312778122,4.16834235639825,0.9540952353716646,0.8609846360988856,1.0994809315478478,0.5822760063983438,0.4807665260856276,93.27945978344644
2024-04-25,65.40918364859365,8.458939702360748,6.627475560839585,4.577104894770498,4.340865107836096,0.9112223940157107,0.8446934251954477,1.0994809315478478,0.5727825669510167,0.490411157346375,93.33215938945698
2024-04-26,65.40836322790068,8.511329423755258,6.627475560839585,4.565482698030802,4.334301742292265,0.8372012262242083,0.8295742438534083,1.0877606359338639,0.5677428398370035,0.48912192482883676,93.25835352349591
2024-04-29,65.40941805450593,8.604622976842572,6.62442828397995,4.5733586194804445,4.334301742292265,0.7842966322433771,0.8173851364148647,1.081900488126872,0.5614138802054521,0.489707939609536,93.28083375370126
2024-04-30,65.40555035695333,8.66509970221073,6.62442828397995,4.566340154857921,4.321878228941442,0.9075398771337969,0.798046648651791,1.081900488126872,0.5494591786791884,0.491934795776193,93.4121777153112
2024-05-02,65.4087148367691,8.815002283113586,6.62442828397995,4.501323572983687,4.3535230270991985,0.874891938874439,0.7907800653711208,1.081900488126872,0.5527408614511039,0.4912315780393539,93.49453693580841
2024-05-03,65.40648798060245,8.85496849115727,6.62442828397995,4.472624905534418,4.390090349414829,0.8705826205830893,0.7802317993185351,1.081900488126872,0.5475839313809509,0.49134878099549373,93.52024763109385
2024-05-06,65.40672238651473,8.85496849115727,6.62442828397995,4.484631645173208,4.390090349414829,0.8701138087585301,0.7797629874939758,1.081900488126872,0.5427786101792174,0.4909971721270743,93.52639422292565
2024-05-07,65.40297189191826,8.85496849115727,6.62442828397995,4.488756251605681,4.390090349414829,0.9254203601224911,0.7572600199151263,1.0760403403198797,0.5669224191440246,0.489707939609536,93.57656634718704
2024-05-08,65.38949355196216,8.999010924253135,6.62442828397995,4.401756497263076,4.312150383581835,1.0892028183091647,0.7026434423539605,1.0701801925128878,0.560007444731774,0.48759828639901887,93.63647182534697
2024-05-09,65.39242362586566,9.100039872445679,6.62442828397995,4.433196190247589,4.368525005485099,1.0960216862973806,0.6912747556083959,1.0643200447058956,0.5392625214950222,0.48885353005927656,93.79834551618995
