date,CHINA PA SECURITIES (HONG KONG) CO LTD,GF SECURITIES (HONG KONG) BROKERAGE LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD,CORE PACIFIC - YAMAICHI INTERNATIONAL,ICBC INTERNATIONAL SECURITIES LTD,CITIBANK N.A.,FOUNDER SECURITIES (HONG KONG) LTD,ICBC (ASIA) SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252091245708169,0.0,0.0,2.252091245708169
2024-03-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252091245708169,0.0,1.4648088390749565,3.7169000847831257
2024-03-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252091245708169,0.0,1.4959820782813997,3.7480733239895687
2024-03-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1687403387390694,0.0,1.4959820782813997,3.664722417020469
2024-03-11,0.0,0.0,9.073764521616933,11.123574451834447,0.0,0.0,0.0,2.1687403387390694,0.0,1.4959820782813997,23.86206139047185
2024-03-12,0.0,0.0,9.078432172407204,11.123574451834447,0.0,0.0,0.0,2.1552374918100754,0.0,1.4959820782813997,23.853226194333125
2024-03-13,0.0,0.0,9.081099401430215,11.123574451834447,0.0,0.0,0.0,2.1552374918100754,0.0,1.4959820782813997,23.855893423356136
2024-03-14,0.0,0.0,9.085100244964732,11.12507476815989,0.0,0.0,0.0,2.1505698410198058,0.0,1.4959820782813997,23.856726932425826
2024-03-15,0.0,0.0,9.09260182659195,11.127075189927147,0.0,0.0,0.0,2.1505698410198058,0.0,1.4959820782813997,23.866228935820306
2024-03-18,0.0,0.0,9.11760709868268,11.127075189927147,0.0,0.0,0.0,2.1535704736706935,0.0,1.4959820782813997,23.89423484056192
2024-03-21,0.0,0.0,9.117273695054804,11.144078774948845,0.0,0.0,0.0,2.1535704736706935,0.0,1.4959820782813997,23.91090502195574
2024-03-22,0.0,0.0,9.144112687098854,11.141578247739771,0.0,0.0,0.0,2.1512366482755585,0.0,1.461808206424069,23.898735789538254
2024-03-25,0.0,0.0,9.144279388912793,11.141578247739771,0.0,0.0,0.0,2.1514033500894967,0.0,1.461808206424069,23.899069193166127
2024-03-26,0.0,0.0,9.141945563517657,11.142578458623401,0.0,0.0,0.0,2.1514033500894967,0.0,1.461808206424069,23.897735578654625
2024-03-27,0.0,0.0,9.142779072587349,11.160582254528727,0.0,0.0,0.0,2.1514033500894967,0.0,1.461808206424069,23.91657288362964
2024-03-28,0.0,0.0,9.143279178029164,11.167250327086254,0.0,0.0,0.0,2.1512033079127706,0.0,1.461808206424069,23.92354101945226
2024-04-02,0.0,0.0,9.143279178029164,11.17125117062077,0.0,0.0,0.0,2.1512033079127706,0.0,1.461808206424069,23.92754186298677
2024-04-03,0.0,0.0,9.135694245494976,11.187921352014591,0.0,0.0,0.0,2.1512033079127706,0.0,1.461808206424069,23.936627111846406
