date,CITIBANK N.A.,THE HONGKONG AND SHANGHAI BANKING,ABN AMRO CLEARING HONG KONG LTD,UBS SECURITIES HONG KONG LTD,BANK OF CHINA (HONG KONG) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,INTERACTIVE BROKERS HONG KONG LTD,FUTU SECURITIES INTERNATIONAL,BNP PARIBAS
2024-03-01,44.67752974833339,30.970585032110225,11.8938436732717,0.0,0.0,0.0,0.0,0.0,3.8117888313259094,8.64625271495877
2024-03-04,44.63725328816368,14.575711395604454,27.41490421801795,0.0,0.0,0.0,0.0,0.0,3.809862632548705,9.562268465665218
2024-03-05,43.931602491742964,14.345290354947949,26.68537564279443,0.0,0.0,0.0,0.0,1.6810206669732568,3.967382973089734,9.389327870451664
2024-03-06,40.002033350119056,13.081748617560201,24.275341022997505,0.0,0.0,5.921337944378343,2.8554272179798983,1.6401828108841419,3.7688462167773626,8.455082819303481
2024-03-07,39.931813795913115,13.079743551257586,24.339123522175605,0.0,0.0,5.920430368829709,2.8549895608239844,1.6399314167180883,3.740473110286777,8.493494673995135
2024-03-08,39.916609087226895,13.080460317838508,24.364283274959693,0.0,0.0,5.920754806890472,2.85514601351727,1.739296180696195,3.7406780872507204,8.382772231620246
2024-03-11,39.80906087177532,13.04565383149066,24.50899097725251,0.0,0.0,5.921178040411743,2.855350108018808,1.7394205108654213,3.7409454822722075,8.37940017791333
2024-03-12,39.764942712128644,12.934818674401363,24.439067835761538,0.0,0.0,5.917709310688073,2.8536773939535376,1.9765387234893765,3.738753970937737,8.374491378639728
2024-03-13,44.8467916382497,14.689731782885673,17.917598758152327,0.0,0.0,6.716464301834573,3.238858372246182,2.2343167630516083,4.193848601615015,6.16238978196492
2024-03-14,39.22262947920137,14.683765456002737,24.81767995605227,0.0,0.0,6.713736367647987,3.237542889563314,2.053295629542241,4.192145243648742,5.079204978341333
2024-03-15,39.569170800595145,14.698412355312504,24.454843811355964,0.0,0.0,6.714256379219038,3.2377936530238025,2.0444482871666287,4.205979515889056,5.075095197437865
2024-03-18,39.487484972608755,14.685450605774838,24.662738548587964,0.0,0.0,6.708335432968838,3.2349384146912095,2.0426453967591227,4.202270485843657,4.976136142765616
