date,THE HONGKONG AND SHANGHAI BANKING,CITIBANK N.A.,INTERACTIVE BROKERS HONG KONG LTD,DEUTSCHE BANK AG,STANDARD CHARTERED BANK (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,DBS BANK LTD
2024-03-15,0.0,0.0,70.57784060788124,0.0,29.422159392118747,0.0,0.0
2024-03-20,0.0,0.0,55.49571941452638,0.0,22.990886495443245,0.0,21.513394090030378
2024-03-22,0.0,0.0,55.5724033358605,0.0,22.951271624508927,0.0,21.476325039630577
2024-03-26,0.0,0.0,55.45573906433556,0.0,23.011540322023357,0.0,21.532720613641075
2024-03-27,0.0,0.0,55.42493603485236,0.0,23.027453149851322,0.0,21.547610815296313
2024-04-03,0.0,41.047421379107796,32.913910552489355,0.0,13.45156138190839,0.0,12.587106686494456
2024-04-08,0.0,41.102212173971715,32.95784459903018,0.0,13.33603505682407,0.0,12.603908170174035
2024-04-10,0.0,41.12883009426207,32.97918820157804,0.0,13.279911203900044,0.0,12.61207050025984
2024-04-11,0.0,41.36851528775149,32.844918352382315,0.0,13.225844024811781,0.0,12.560722335054406
2024-04-19,0.0,40.15453121267912,34.8156247969651,0.0,12.837723641137616,0.0,12.192120349218168
2024-04-23,0.0,40.1561024194617,34.81307419733551,0.0,12.838225968467775,0.0,12.192597414735017
2024-04-29,0.0,39.96531844424422,35.122781068458835,0.0,12.777230811133544,0.0,12.134669676163403
2024-05-02,0.0,39.94043197704193,35.1709639854505,0.0,12.761490639403805,0.0,12.127113398103768
2024-05-03,0.0,40.31097125309152,34.953975685965005,0.0,12.682758246572895,0.0,12.052294814370583
2024-05-13,62.734307792400266,15.007070654600096,13.05019324199998,0.0,4.721569418571988,0.0,4.486858892427667
2024-05-21,62.683803959856085,15.001310132481501,13.111758384155308,0.0,4.718851469832648,0.0,4.484276053674454
2024-05-22,62.65855559242597,15.035546697866536,13.10647710777409,0.0,4.71695076680839,0.0,4.482469835125021
2024-05-24,62.64631963975157,15.034681582248139,13.105722987004425,0.0,4.731063868319345,0.0,4.482211922676522
2024-05-28,62.6369775925778,15.035546697866536,13.113669774390143,0.0,4.731336100040498,0.0,4.482469835125021
2024-06-06,62.633199526484795,15.03964594751752,13.113481132594218,0.0,4.731268039173144,0.0,4.482405354230319
2024-06-07,62.694399516476395,15.016748058872992,13.089206865951864,0.0,4.724064674872784,0.0,4.475580883825963
2024-06-11,62.751915303011465,15.036963961633521,13.002613497996682,0.0,4.7286151918300625,0.0,4.479892045528269
2024-06-12,62.68882563038645,15.122384304630298,12.989540898938994,0.0,4.723861125233343,0.0,4.475388040810914
2024-06-14,62.65283131305892,15.113701419061204,13.039500074983584,0.0,4.721148805220278,0.0,4.472818387676007
2024-06-17,62.56123261850054,15.237805533319914,13.020436272765384,0.0,4.714246466438281,0.0,4.466279108975884
2024-06-18,59.54909219602273,14.519157341581504,12.393540337791508,0.0,4.487269283465023,4.799700011927623,4.251240829211618
2024-06-19,59.540968864897906,14.517176724944214,12.40549108723646,0.0,4.486657157017893,4.799045265548479,4.250660900355048
2024-06-20,59.53417993603233,14.516186619249657,12.414193333703674,0.0,4.486351156417029,4.7987179593417775,4.250370995255537
2024-06-21,59.51794287967077,14.51222754665397,12.438081051328084,0.0,4.485127571298989,4.797409180854315,4.249211770193872
2024-06-24,59.461182863411146,14.593754009426066,12.426219322771047,0.0,4.480850274377149,4.792834072745153,4.245159457269442
2024-06-27,59.45794270361938,14.598407968040705,12.425542193015561,0.0,4.480606103807497,4.792572901549034,4.244928129967819
2024-06-28,59.44431969935119,14.598407968040705,12.43916519728375,0.0,4.480606103807497,4.792572901549034,4.244928129967819
2024-07-02,59.44431969935119,14.591596465906608,12.445976699417844,0.0,4.480606103807497,4.792572901549034,4.244928129967819
2024-07-04,59.45484909697035,14.594181081591758,12.43046821804987,0.0,4.481399755471449,4.793421812024492,4.245680035892074
2024-07-05,59.45241890491615,14.593584550552812,12.434047585983002,0.0,4.481216580133475,4.793225882915648,4.245506495498908
2024-07-29,59.451608885045516,14.593385717709886,12.433878176128827,0.0,4.482517992490012,4.793160576771994,4.245448651853762
2024-07-30,59.43946123514656,14.610836711363609,12.431337582160008,0.0,4.481602086928165,4.792181198119539,4.244581186282115
2024-08-01,59.44917895786329,14.6132254285032,12.417021032810997,0.0,4.4823347814294685,4.792964669017894,4.245275130375145
2024-08-02,59.63849656222974,14.341308811826108,12.456563390106894,0.0,4.496608904262857,4.808228001579554,4.258794329994852
2024-08-05,59.6344212936919,14.34716211446306,12.455712197608767,0.0,4.496301638153702,4.8078994416488525,4.258503314433719
2024-08-06,59.60998137360979,14.341282230196963,12.49159039263641,0.0,4.494458922984885,4.805929024638549,4.256758055933404
2024-08-09,54.56981433644671,13.127441796830436,11.419138762951855,8.47274834289769,4.114441630720797,4.399576187500232,3.896838942652281
2024-08-12,54.55616885484494,13.12415920795424,11.441288893513526,8.470629685668687,4.113412792007376,4.398476049325821,3.895864516685406
2024-08-14,54.560943997078596,13.125307927305881,11.433537607995524,8.471371095162914,4.1137728270237615,4.39886103509714,3.8962055103361823
2024-08-20,54.56151215396796,13.12514381223,11.433394646329212,8.471265171574847,4.113721389591329,4.398806033003737,3.8961567933029113
2024-08-21,54.56276252521101,13.12514381223,11.433394646329212,8.471265171574847,4.112471018348292,4.398806033003737,3.8961567933029113
