date,CENTRAL WEALTH SECURITIES INVESTMENT LTD,THE HONGKONG AND SHANGHAI BANKING,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,VC BROKERAGE LTD,KGI ASIA LTD,GET NICE SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,SHENWAN HONGYUAN SECURITIES (H.K.) LTD
2024-03-01,55.91076977505293,9.640629377680833,14.58169629722591,13.087268772606937,4.21097268337233,0.0,0.0,2.5686630940610597,0.0,0.0
2024-03-04,54.349652031940686,9.402941096054406,14.248822957238938,12.714599272119612,4.1755726132846105,0.0,0.0,2.4090680327561276,2.6993439966056134,0.0
2024-03-05,54.38203306156644,9.40642653703205,14.288463199943294,12.72549471038815,4.204696651365691,0.0,0.0,2.342975575031119,2.649910264673257,0.0
2024-03-06,50.04471688004273,8.506499691639462,12.650954095435399,11.524755559570563,3.9577478493085496,7.900291104792916,0.96790897213143,2.0571552480553406,2.3899705990236186,0.0
2024-03-07,50.083055657819585,8.514001119642808,12.655162090233373,11.509757650247483,3.9537952738978066,7.9073721371971315,0.968776509125331,2.015966831715115,2.392112730121363,0.0
2024-03-08,50.45428666914733,8.667463354832691,12.554708000056062,11.542349074150268,3.9513949962816923,7.499256416776701,0.9501144979311144,1.987856873582329,2.392570117241816,0.0
2024-03-11,50.50877800702626,8.565932699934178,12.3937101572332,11.586760110115017,4.1520170400953855,7.506732942561528,0.9497061505764333,1.9651917595831723,2.3711711328748297,0.0
2024-03-12,50.324228822679785,8.403428268528877,12.250336487846976,11.555218574690375,4.167699590469071,7.478264789733505,0.953225041163902,1.957739066144328,2.317245963250743,0.5926133954924448
2024-03-13,50.02496283463939,8.564217365690642,12.285792694725478,11.465511926228148,4.337607360025896,7.472127828302605,0.9438561226262561,1.9561324676246838,2.357664326759792,0.5921270733771108
2024-03-14,50.08196168491658,8.4879940871152,12.340300307391647,11.489341580672912,4.233974269176834,7.485175183466336,0.9560719750901612,1.9595481419331091,2.37247176216227,0.5931610080749553
2024-03-15,50.088102638499684,8.458821325184003,12.352782725642694,11.501137049630064,4.225713802096169,7.4901361076337185,0.9567056276701914,1.9608468650085475,2.372199723250587,0.5935541353843345
2024-03-18,49.937970746981165,8.46956946711109,12.352640981746609,11.504875936400225,4.360987264004942,7.489528294254471,0.9566279924347106,1.9606877452085756,2.3736056025071304,0.5935059693510862
