date,HAITONG INTERNATIONAL SECURITIES CO LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,HUATAI FINANCIAL HOLDINGS (HONG KONG),FUTU SECURITIES INTERNATIONAL,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,ZHONGTAI INTERNATIONAL SECURITIES LTD,TOTAL_CCASS_PCT
2024-03-13,0.0,0.0,0.0,0.0,1.1730769230769231,0.0,0.0,1.1730769230769231
2024-03-19,0.0,0.0,0.0,0.0,1.17,0.0,0.0,1.17
2024-03-21,0.0,1.4523076923076923,0.0,0.0,1.1684615384615384,0.0,0.0,2.6207692307692305
2024-03-26,0.0,1.4538461538461538,0.0,0.0,1.166923076923077,0.0,0.0,2.6207692307692305
2024-03-28,0.0,1.4538461538461538,0.0,0.0,0.6146153846153847,0.0,0.0,2.0684615384615386
2024-04-15,0.0,1.4576923076923078,0.0,0.0,0.6146153846153847,0.0,0.0,2.0723076923076924
2024-05-03,0.0,1.4576923076923078,0.0,0.0,0.6184615384615385,0.0,0.0,2.0761538461538462
2024-07-11,0.0,1.4576923076923078,0.0,0.0,0.6261538461538462,0.0,0.0,2.083846153846154
2024-07-15,0.0,1.4576923076923078,1.0726615384615386,0.0,0.6261538461538462,0.0,0.0,3.1565076923076925
2024-07-16,0.0,1.4653846153846155,1.0726615384615386,0.0,0.6261538461538462,0.0,0.0,3.1642
2024-07-19,0.0,1.4653846153846155,1.0726615384615386,0.0,0.6315384615384615,0.0,0.0,3.1695846153846152
2024-07-22,0.0,1.4676923076923076,1.0726615384615386,0.0,0.6292307692307693,0.0,0.0,3.1695846153846152
2024-07-29,0.0,1.47,1.0726615384615386,0.0,0.6261538461538462,0.0,0.0,3.1688153846153844
2024-07-30,0.0,1.4715384615384615,1.0726615384615386,0.0,0.6261538461538462,0.0,0.0,3.1703538461538465
2024-08-02,0.0,1.4730769230769232,1.0726615384615386,0.0,0.6246153846153846,0.0,0.0,3.1703538461538465
2024-08-08,0.0,1.4769230769230768,1.0726615384615386,0.0,0.6207692307692307,0.0,0.0,3.1703538461538465
2024-08-09,0.0,1.4807692307692308,1.0726615384615386,0.0,0.6169230769230769,0.0,0.0,3.1703538461538465
2024-08-12,0.0,1.483076923076923,1.0726615384615386,0.0,0.6146153846153847,0.0,0.0,3.1703538461538465
2024-08-14,0.0,1.4861538461538462,1.0726615384615386,0.0,0.6115384615384616,0.0,0.0,3.1703538461538465
2024-08-28,0.0,1.4884615384615385,1.0726615384615386,0.0,0.6092307692307692,0.0,0.0,3.1703538461538465
2024-09-24,0.0,1.4907692307692308,1.0726615384615386,0.0,0.6092307692307692,0.0,0.0,3.1726615384615386
2024-10-03,0.0,1.493076923076923,1.0726615384615386,0.0,0.6092307692307692,0.0,0.0,3.1749692307692303
2024-10-08,0.0,1.493076923076923,1.0726615384615386,0.0,0.61,0.0,0.0,3.1757384615384616
