date,PRIME SECURITIES LTD,FUTU SECURITIES INTERNATIONAL,STANDARD CHARTERED BANK (HONG KONG) LTD,CMB INTERNATIONAL SECURITIES LTD,CMB WING LUNG BANK LTD,THE HONGKONG AND SHANGHAI BANKING,GF SECURITIES (HONG KONG) BROKERAGE LTD,CITIBANK N.A.,BRIGHT SMART SECURITIES INTERNATIONAL
2025-03-28,156022000.0,4186000.0,954000.0,0.0,0.0,4020000.0,96000.0,0.0,902000.0
2025-04-02,155840000.0,4370000.0,944000.0,80000.0,982000.0,3938000.0,122000.0,2222000.0,1120000.0
2025-04-03,0.0,4470000.0,0.0,0.0,0.0,3934000.0,120000.0,2242000.0,1100000.0
2025-04-07,0.0,4554000.0,938000.0,0.0,0.0,3944000.0,0.0,2226000.0,1028000.0
2025-04-08,155812000.0,4582000.0,936000.0,0.0,980000.0,3934000.0,98000.0,2192000.0,982000.0
2025-04-09,0.0,4312000.0,1082000.0,0.0,976000.0,3944000.0,0.0,0.0,976000.0
2025-04-10,0.0,4678000.0,4902000.0,0.0,890000.0,3480000.0,128000.0,2172000.0,870000.0
2025-04-11,155156000.0,5134000.0,6100000.0,4346000.0,168000.0,1684000.0,102000.0,1820000.0,698000.0
2025-04-14,151372000.0,5172100.0,7830000.0,6302000.0,214000.0,1864000.0,112000.0,1684000.0,758000.0
2025-04-15,149434000.0,6146200.0,7852000.0,6324000.0,432000.0,2012000.0,110000.0,1600000.0,692000.0
2025-04-16,148256000.0,6580200.0,7810000.0,6378000.0,646000.0,2030000.0,212000.0,1552000.0,588000.0
2025-04-17,148054000.0,6190200.0,7814000.0,6450000.0,1086000.0,1951400.0,196000.0,1470000.0,674000.0
2025-04-22,148004000.0,6294200.0,7774000.0,6432000.0,1120000.0,2103900.0,198000.0,1501294.0,638000.0
2025-04-23,147904000.0,6832200.0,7738000.0,6416000.0,1480000.0,2262000.0,894000.0,1360000.0,596000.0
2025-04-24,0.0,7147632.0,7718000.0,6414000.0,1992000.0,1656000.0,908000.0,1146000.0,588000.0
2025-04-25,0.0,7506632.0,7696000.0,6408000.0,2000000.0,1568000.0,0.0,940000.0,610000.0
2025-04-28,0.0,7886332.0,7692000.0,6414000.0,2066000.0,1415100.0,1048000.0,690000.0,0.0
2025-04-29,0.0,7831332.0,7434000.0,6682000.0,2216000.0,1220000.0,1134000.0,688000.0,598000.0
2025-04-30,0.0,7876232.0,7428000.0,6684000.0,2248000.0,1226000.0,1132000.0,774000.0,600000.0
2025-05-02,147806000.0,7870232.0,7176000.0,6708000.0,2252000.0,1234000.0,1140000.0,708000.0,594000.0
