date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,SDICS INTERNATIONAL SECURITIES (HONG,HUATAI FINANCIAL HOLDINGS (HONG KONG),DBS BANK LTD,HAITONG INTERNATIONAL SECURITIES CO LTD,FORTUNE ORIGIN SECURITIES LTD,SOOCHOW SECURITIES INTERNATIONAL,CMBC SECURITIES CO LTD,SDHG INTERNATIONAL SECURITIES LTD,FUTU SECURITIES INTERNATIONAL
2024-03-01,0.0,29.222703817777685,13.691545811826987,0.0,29.521600480528353,10.864929529915111,8.778745508486299,5.058378030450187,0.0,2.862096821015374
2024-03-04,49.71392770266488,14.737597969434479,6.879442519352224,0.0,14.826555501684826,5.457382535180183,4.405018530178104,2.5416283434976616,0.0,1.4384468980076321
2024-03-05,49.776942031613245,14.758802704909627,6.889064000356569,0.0,14.8228107063786,5.4637590662375715,4.331989417728406,2.5181649299042066,0.0,1.4384671428717732
2024-03-06,49.79426979828982,14.759431191759045,6.888395901802149,0.0,14.828331383806608,5.460971504251359,4.305540534993037,2.5190415240174167,0.0,1.4440181610805685
2024-03-07,49.794449423793914,14.754975243097709,6.888420750677154,0.0,14.841190977664064,5.459728630384055,4.297439522548084,2.5190506110891904,0.0,1.4447448407458303
2024-03-08,49.799030312056075,14.756332641235087,6.889775994523246,0.0,14.842556307300859,5.457885908267833,4.2902587316073015,2.5192823535727333,0.0,1.4448777514368687
2024-03-11,49.813047674394774,14.760486233385905,6.890452274072991,0.0,14.846734169570228,5.448235215660258,4.270896756240381,2.519991477693469,0.0,1.4501561989820002
2024-03-12,49.831749770617094,14.766027994966716,6.905132949666301,0.0,14.852308312570702,5.446670677197245,4.227916065351818,2.520937597742243,0.0,1.4492566318878768
2024-03-13,49.87694445893791,14.779419979716216,6.9224161841306335,0.0,14.847350569684718,5.429569202987731,4.168336627003392,2.5228626181865796,0.0,1.453100359352821
2024-03-14,49.889473021854066,14.783132414290723,6.924155022137563,0.0,14.84800796635637,5.42081319028762,4.156733840150543,2.523496334693949,0.0,1.4541882102291723
2024-03-15,49.90056469823378,14.786419073994384,6.9020159200596,0.0,14.851309049516221,5.423645140691589,4.1675993470947805,2.5240573709806533,0.0,1.4443893994289971
