date,GUOTAI JUNAN SECURITIES (HONG KONG) LTD,BANK OF CHINA (HONG KONG) LTD,BOCI SECURITIES LTD,THE HONGKONG AND SHANGHAI BANKING,INTERACTIVE BROKERS HONG KONG LTD,BANK OF COMMUNICATIONS TRUSTEE LTD,CHINA INDUSTRIAL SECURITIES,REALINK FINANCIAL TRADE LTD,HAITONG INTERNATIONAL SECURITIES CO LTD
2024-03-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.38965952080706,37.61034047919294
2024-03-22,0.0,59.884740666499624,0.0,0.0,0.0,0.0,0.0,25.169130543723377,14.946128789777
2024-03-28,0.0,40.64625850340136,32.125850340136054,0.0,0.0,0.0,0.0,17.083333333333332,10.144557823129253
2024-05-06,0.0,40.85884353741497,32.125850340136054,0.0,0.0,0.0,0.0,17.083333333333332,9.931972789115646
2024-05-10,0.0,35.99250936329588,28.299625468164795,0.0,11.865168539325843,0.0,0.0,15.093632958801498,8.749063670411985
2024-05-14,0.0,35.89303055202809,28.22140882946142,0.0,12.108762232016135,0.0,0.0,15.051916037947263,8.724882348547098
2024-05-16,0.0,36.08101038786339,28.234063223974292,0.0,12.11419176444212,0.0,0.0,15.028772139600926,8.541962484119274
2024-05-17,0.0,36.09056265411343,28.229843831726818,0.0,12.112381379361876,0.0,0.0,15.026526189942466,8.540685944855413
2024-05-27,0.0,36.04746622882304,28.19613403985372,0.0,12.217329651466526,0.0,0.0,15.008582730054481,8.530487349802224
2024-05-30,43.89142164038646,20.201597724706176,15.801580994604542,0.0,6.913714500815593,0.0,0.0,8.411058597180977,4.780626542306245
2024-05-31,43.841231335480366,20.201597724706176,15.809946045422226,0.0,6.913714500815593,0.0,0.0,8.452883851269396,4.780626542306245
2024-06-11,43.83389787981432,20.198218542215532,15.80730146782085,0.0,6.92928532597332,0.0,0.0,8.451469911763477,4.779826872412495
2024-07-10,43.7844611528822,20.175438596491226,15.914786967418545,0.0,6.921470342522975,0.0,0.0,8.429406850459483,4.774436090225564
2024-07-29,43.394342762063225,20.50748752079867,15.848585690515806,0.0,7.100665557404326,0.0,0.0,8.394342762063228,4.754575707154742
2024-09-09,43.427620632279535,20.50748752079867,15.848585690515806,0.0,7.100665557404326,0.0,0.0,8.477537437603994,4.63810316139767
2024-09-20,43.405953766838515,20.497255945451524,15.840678529851987,0.0,7.097122900382505,0.0,0.0,8.52319973390986,4.6357891235656075
2024-09-24,42.21251819505095,19.933689147662946,15.405143134400776,0.0,6.901989325570111,0.0,0.0,11.038330907326541,4.508329289988679
2024-09-25,42.13755247013239,19.898288666451407,15.377784953180498,0.0,6.889731998708427,0.0,0.0,11.196319018404909,4.500322893122377
2024-09-30,42.13925327951564,19.899091826437942,15.378405650857719,0.0,6.890010090817356,0.0,0.0,11.192734611503532,4.50050454086781
