date,SORRENTO SECURITIES LTD,BANK OF CHINA (HONG KONG) LTD,THE HONGKONG AND SHANGHAI BANKING,SHENWAN HONGYUAN SECURITIES (H.K.) LTD,HANG SENG SECURITIES LTD,STANDARD CHARTERED BANK (HONG KONG) LTD,DBS BANK (HONG KONG) LTD,CHRISTFUND SECURITIES LTD,CHINA CONSTRUCTION BANK (ASIA)
2024-03-21,0.0,4.775268019919449,95.22473198008055,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-22,0.0,4.790990915563586,95.20900908443642,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-26,0.0,4.791259960136291,95.20874003986371,0.0,0.0,0.0,0.0,0.0,0.0
2024-04-03,0.0,4.724089136563356,93.86953646038097,0.0,0.0,1.406374403055664,0.0,0.0,0.0
2024-04-22,0.0,4.5306836769397165,89.69010234747768,4.435456789755089,0.0,1.34375718582752,0.0,0.0,0.0
2024-04-29,0.0,4.541264442182453,89.67952158223494,4.435456789755089,0.0,1.34375718582752,0.0,0.0,0.0
2024-05-03,0.0,4.571555621206,89.65106427628888,4.4340493207069755,0.0,1.3433307817981535,0.0,0.0,0.0
2024-06-03,0.0,4.576885422596135,89.62480987035798,4.433064623734519,0.0,1.3430324599577383,0.022207623353631894,0.0,0.0
2024-06-11,0.0,4.570830408152577,89.63049695697917,4.433345921095697,0.0,1.3431176812479806,0.022209032524572906,0.0,0.0
2024-06-12,0.0,4.570878748531049,89.63038729075731,4.433392807460009,0.0,1.3431318858478556,0.02220926740378344,0.0,0.0
2024-06-13,0.0,4.5718879811299376,89.62943938400181,4.433345921095697,0.0,1.3431176812479806,0.022209032524572906,0.0,0.0
2024-06-14,0.0,4.572806835748571,89.62735511650463,4.4342369316349775,0.0,1.3433876200325432,0.022213496079278278,0.0,0.0
2024-06-20,0.0,4.574825623117032,89.6254590262354,4.434143124186497,0.0,1.3433592003141344,0.022213026146926634,0.0,0.0
2024-06-27,0.0,4.574486912459048,89.61882334201489,4.4338148293707125,0.0,1.3506635346150764,0.02221138154026359,0.0,0.0
2024-07-02,0.0,4.574148251952229,89.6121886403064,4.433486583163872,0.0,1.3579667874003842,0.022209737177109088,0.0,0.0
2024-07-09,0.0,4.574583681814805,89.6111997866393,4.43390862292894,0.0,1.3580960572139213,0.022211851403031425,0.0,0.0
2024-07-11,0.0,4.571742932576389,89.5969846801402,4.433205267952862,0.0,1.3758587914138056,0.022208327916748594,0.0,0.0
2024-07-16,0.0,4.570776177374663,89.57592358715318,4.43226780836331,0.0,1.3988287954352716,0.022203631673575742,0.0,0.0
2024-07-29,0.0,4.5703895897668305,89.56834742488334,4.431892935531473,0.0,1.407168296085971,0.022201753732385716,0.0,0.0
2024-09-10,0.0,4.569380672095952,89.56929437508128,4.431939791167569,0.0,1.407183173197527,0.02220198845766196,0.0,0.0
2024-09-17,0.0,4.5794688889071535,89.5598257740427,4.431471279385685,0.0,1.407034416236247,0.022199641428220274,0.0,0.0
2024-09-30,0.0,4.578460163207675,89.56077254406009,4.431518126106344,0.0,1.4070492905170666,0.022199876108834258,0.0,0.0
2024-10-02,0.0,4.582591822494389,89.55676479482767,4.431424433655474,0.0,1.4070195422699037,0.022199406752567975,0.0,0.0
2024-10-03,82.72872544299643,4.582591822494389,6.828039351831236,4.431424433655474,0.0,1.4070195422699037,0.022199406752567975,0.0,0.0
2024-10-07,82.67715989528305,4.642066338603718,6.823783374392925,4.428662287534544,0.0,1.4061425345201521,0.02218556966560721,0.0,0.0
